SourceFiscalYear,Organization,AccountTitle,BudgetActivityTitle,AGtitle,SAG.Title,FiscalYear,OriginType,Type,Amount,Amount2
2012,Army,Operation and Maitenance,Army - Administration and Servicewide Activities,Support to Other Nations,Misc. Support of Other Nations,2010,Total,Obligated,14114.0,0.0
2012,Army,Operation and Maitenance,Army - Undistributed,Undistributed,Adj to Match Continuing Resolution,2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Maneuver Units,2010,Total,Obligated,1299.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Modular Support Brigades,2010,Total,Obligated,9771.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Echelons Above Brigade,2010,Total,Obligated,423447.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Theater Level Assets,2010,Total,Obligated,148435.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Land Forces Operations Support,2010,Total,Obligated,531960.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Aviation Assets,2010,Total,Obligated,60332.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Force Readiness Operations Support,2010,Total,Obligated,322755.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Land Forces Systems Readiness,2010,Total,Obligated,108480.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Land Forces Depot Maintenance,2010,Total,Obligated,122244.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Base Operations Support,2010,Total,Obligated,518822.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,"Facilities Sustainment, Restoration & Modernization",2010,Total,Obligated,208285.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Additional Activities,2010,Total,Obligated,234316.0,0.0
2012,Army,Operation and Maitenance,Army - Administration and Servicewide Activities,Logistics Operations and Technical Support,Servicewide Transportation,2010,Total,Obligated,9263.0,0.0
2012,Army,Operation and Maitenance,Army - Administration and Servicewide Activities,Servicewide Support,Administration,2010,Total,Obligated,74943.0,0.0
2012,Army,Operation and Maitenance,Army - Administration and Servicewide Activities,Servicewide Support,Servicewide Communications,2010,Total,Obligated,4435.0,0.0
2012,Army,Operation and Maitenance,Army - Administration and Servicewide Activities,Servicewide Support,Manpower Management,2010,Total,Obligated,16821.0,0.0
2012,Army,Operation and Maitenance,Army - Administration and Servicewide Activities,Servicewide Support,Recruiting and Advertising,2010,Total,Obligated,56177.0,0.0
2012,Army,Operation and Maitenance,Army - Undistributed,Undistributed,Adj to Match Continuing Resolution,2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Maneuver Units,2010,Total,Obligated,619811.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Modular Support Brigades,2010,Total,Obligated,213472.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Echelons Above Brigade,2010,Total,Obligated,544309.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Theater Level Assets,2010,Total,Obligated,314174.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Land Forces Operations Support,2010,Total,Obligated,78161.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Aviation Assets,2010,Total,Obligated,686871.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Force Readiness Operations Support,2010,Total,Obligated,500703.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Land Forces Systems Readiness,2010,Total,Obligated,131184.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Land Forces Depot Maintenance,2010,Total,Obligated,336085.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Base Operations Support,2010,Total,Obligated,940043.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,"Facilities Sustainment, Restoration & Modernization",2010,Total,Obligated,532388.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Management and Operational Headquarters,2010,Total,Obligated,790320.0,0.0
2012,Army,Operation and Maitenance,Army - Operating Forces,Land Forces,Additional Activities,2010,Total,Obligated,453151.0,0.0
2012,Army,Operation and Maitenance,Army - Administration and Servicewide Activities,Logistics Operations and Technical Support,Servicewide Transportation,2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Administration and Servicewide Activities,Servicewide Support,Administration,2010,Total,Obligated,110489.0,0.0
2012,Army,Operation and Maitenance,Army - Administration and Servicewide Activities,Servicewide Support,Servicewide Communications,2010,Total,Obligated,44396.0,0.0
2012,Army,Operation and Maitenance,Army - Administration and Servicewide Activities,Servicewide Support,Manpower Management,2010,Total,Obligated,7255.0,0.0
2012,Army,Operation and Maitenance,Army - Administration and Servicewide Activities,Servicewide Support,Recruiting and Advertising,2010,Total,Obligated,416225.0,0.0
2012,Army,Operation and Maitenance,Army - Undistributed,Undistributed,Adj to Match Continuing Resolution,2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Defense,Defense Forces,Infrastructure,2010,Total,Obligated,1153650.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Defense,Defense Forces,Equipment and Transportation,2010,Total,Obligated,1633908.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Defense,Defense Forces,Training and Operations,2010,Total,Obligated,338627.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Defense,Defense Forces,"Sustainment, Restoration and Modernization",2010,Total,Obligated,2214631.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Interior,Interior Forces,Infrastructure,2010,Total,Obligated,810102.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Interior,Interior Forces,Equipment and Transportation,2010,Total,Obligated,1282082.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Interior,Interior Forces,Training and Operations,2010,Total,Obligated,417871.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Interior,Interior Forces,"Sustainment, Restoration and Modernization",2010,Total,Obligated,1217159.0,0.0
2012,Army,Operation and Maitenance,Army - Associated Activities,Related Activities,"Sustainment, Restoration and Modernization",2010,Total,Obligated,19119.0,0.0
2012,Army,Operation and Maitenance,Army - Associated Activities,Related Activities,Training and Operations,2010,Total,Obligated,17600.0,0.0
2012,Army,Operation and Maitenance,Army - Associated Activities,Related Activities,Infrastructure,2010,Total,Obligated,61920.0,0.0
2012,Army,Operation and Maitenance,Army - Associated Activities,Related Activities,Coin Activities,2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Associated Activities,Related Activities,Equipment and Transportation,2010,Total,Obligated,100.0,0.0
2012,Army,Operation and Maitenance,Army - Contributions,Related Activities,Contributions,2010,Total,Obligated,115992.0,0.0
2012,Army,Operation and Maitenance,Army - Undistributed,Undistributed,Adj to Match Continuing Resolution,2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Defense,Administration,Iraq Security Forces Fund,2010,Total,Obligated,740730.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Defense,Defense Forces,Equipment and Transportation,2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Defense,Defense Forces,Training and Operations,2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Defense,Defense Forces,"Sustainment, Restoration and Modernization",2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Interior,Administration,Iraq Interior Forces,2010,Total,Obligated,259270.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Interior,Interior Forces,Equipment and Transportation,2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Ministry of Interior,Interior Forces,"Sustainment, Restoration and Modernization",2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Associated Activities,Related Activities,Quick Response Force,2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Undistributed,Undistributed,Adj to Match Continuing Resolution,2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Power,Administration,Power,2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Power,Administration,Transportation,2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Power,Administration,Water,2010,Total,Obligated,0.0,0.0
2012,Army,Operation and Maitenance,Army - Power,Administration,Other Related Activities,2010,Total,Obligated,0.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Air Operations,Mission and Other Flight Operations,2010,Total,Obligated,4982715.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Air Operations,Fleet Air Training,2010,Total,Obligated,125395.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Air Operations,Aviation Technical Data & Engineering Services,2010,Total,Obligated,55230.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Air Operations,Air Operations and Safety Support,2010,Total,Obligated,136777.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Air Operations,Air Systems Support,2010,Total,Obligated,513112.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Air Operations,Aircraft Depot Maintenance,2010,Total,Obligated,1293148.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Air Operations,Aircraft Depot Operations Support,2010,Total,Obligated,35036.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Air Operations,Aviation Logistics,2010,Total,Obligated,0.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Ship Operations,Mission and Other Ship Operations,2010,Total,Obligated,4550975.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Ship Operations,Ship Operations Support & Training,2010,Total,Obligated,717586.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Ship Operations,Ship Depot Maintenance,2010,Total,Obligated,6265286.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Ship Operations,Ship Depot Operations Support,2010,Total,Obligated,1180711.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Combat Related Operations,Combat Communications,2010,Total,Obligated,695359.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Combat Related Operations,Electronic Warfare,2010,Total,Obligated,79898.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Combat Related Operations,Space Systems and Surveillance,2010,Total,Obligated,201871.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Combat Related Operations,Warfare Tactics,2010,Total,Obligated,474110.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Combat Related Operations,Operational Meteorology and Oceanography,2010,Total,Obligated,343674.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Combat Related Operations,Combat Support Forces,2010,Total,Obligated,2474781.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Combat Related Operations,Equipment and Transportation,2010,Total,Obligated,182326.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Combat Related Operations,Depot Operations Support,2010,Total,Obligated,4575.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Combat Related Operations,Combatant Commanders Core Operations,2010,Total,Obligated,190112.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Combat Related Operations,Combatant Commanders Direct Mission Support,2010,Total,Obligated,283736.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Weapons Support,Cruise Missile,2010,Total,Obligated,126775.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Weapons Support,Fleet Ballistic Missile,2010,Total,Obligated,1108483.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Weapons Support,In-Service Weapons Systems Support,2010,Total,Obligated,136573.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Weapons Support,Weapons Maintenance,2010,Total,Obligated,551799.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Weapons Support,Other Weapon Systems Support,2010,Total,Obligated,348727.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Base Support,Enterprise Information,2010,Total,Obligated,973127.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Base Support,"Sustainment, Restoration and Modernization",2010,Total,Obligated,1814916.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Base Support,Base Support,2010,Total,Obligated,4391125.0,0.0
2012,Navy,Operation and Maitenance,Navy - Mobilization,Ready Reserve and Prepositioning Force,Ship Prepositioning and Surge,2010,Total,Obligated,410811.0,0.0
2012,Navy,Operation and Maitenance,Navy - Mobilization,Activations/Inactivations,Aircraft Activations/Inactivations,2010,Total,Obligated,6587.0,0.0
2012,Navy,Operation and Maitenance,Navy - Mobilization,Activations/Inactivations,Ship Activations/Inactivations,2010,Total,Obligated,208988.0,0.0
2012,Navy,Operation and Maitenance,Navy - Mobilization,Mobilization Preparation,Expeditionary Health Services Systems,2010,Total,Obligated,26850.0,0.0
2012,Navy,Operation and Maitenance,Navy - Mobilization,Mobilization Preparation,Industrial Preparedness,2010,Total,Obligated,2257.0,0.0
2012,Navy,Operation and Maitenance,Navy - Mobilization,Mobilization Preparation,Coast Guard Support,2010,Total,Obligated,25094.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,Accession Training,Officer Acquisition,2010,Total,Obligated,145930.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,Accession Training,Recruit Training,2010,Total,Obligated,10437.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,Accession Training,Reserve Officers Training Corps,2010,Total,Obligated,132892.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,Basic Skills and Advanced Training,Specialized Skill Training,2010,Total,Obligated,593979.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,Basic Skills and Advanced Training,Flight Training,2010,Total,Obligated,1437583.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,Basic Skills and Advanced Training,Professional Development Education,2010,Total,Obligated,172013.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,Basic Skills and Advanced Training,Training and Operations,2010,Total,Obligated,160066.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,"Recruiting, and Other Training & Education",Recruiting and Advertising,2010,Total,Obligated,247385.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,"Recruiting, and Other Training & Education",Off-Duty and Voluntary Education,2010,Total,Obligated,149734.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,"Recruiting, and Other Training & Education",Civilian Education and Training,2010,Total,Obligated,101259.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,"Recruiting, and Other Training & Education",Junior Reserve Officer Training Corps,2010,Total,Obligated,52648.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Servicewide Support,Administration,2010,Total,Obligated,824816.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Servicewide Support,External Relations,2010,Total,Obligated,11337.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Servicewide Support,Civilian Manpower and Personnel Management,2010,Total,Obligated,118736.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Servicewide Support,Military Manpower and Personnel Management,2010,Total,Obligated,211558.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Servicewide Support,Other Personnel Support,2010,Total,Obligated,296941.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Servicewide Support,Servicewide Communications,2010,Total,Obligated,435024.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Servicewide Support,Medical Activities,2010,Total,Obligated,21548.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Logistics Operations and Technical Support,Servicewide Transportation,2010,Total,Obligated,423768.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Logistics Operations and Technical Support,Environmental Programs,2010,Total,Obligated,285681.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Logistics Operations and Technical Support,"Planning, Engineering and Design",2010,Total,Obligated,247959.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Logistics Operations and Technical Support,Acquisition and Program Management,2010,Total,Obligated,783833.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Logistics Operations and Technical Support,"Hull, Mechanical and Electrical Support",2010,Total,Obligated,59188.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Logistics Operations and Technical Support,Combat/Weapons Systems,2010,Total,Obligated,16341.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Logistics Operations and Technical Support,Space and Electronic Warfare Systems,2010,Total,Obligated,70103.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Investigations and Security Programs,Naval Investigative Service,2010,Total,Obligated,559411.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Support to Other Nations,International Headquarters and Agencies,2010,Total,Obligated,4885.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Cancelled Accounts,Cancelled Account Adjustments,2010,Total,Obligated,3553.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Cancelled Accounts,Judgment Fund,2010,Total,Obligated,400.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,NA,Classified Programs,2010,Total,Obligated,632020.0,0.0
2012,Navy,Operation and Maitenance,Navy - Undistributed,Undistributed,Adj to Match Continuing Resolution,2010,Total,Obligated,0.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Expeditionary Forces,Operating Forces,2010,Total,Obligated,2737312.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Expeditionary Forces,Field Logistics,2010,Total,Obligated,1752177.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Expeditionary Forces,Depot Maintenance,2010,Total,Obligated,499991.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,USMC Prepositioning,Maritime Prepositioning,2010,Total,Obligated,71124.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,USMC Prepositioning,Norway Prepositioning,2010,Total,Obligated,5551.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Base Support,"Sustainment, Restoration and Modernization",2010,Total,Obligated,728248.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Base Support,Base Support,2010,Total,Obligated,2535828.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,Accession Training,Recruit Training,2010,Total,Obligated,16921.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,Accession Training,Officer Acquisition,2010,Total,Obligated,536.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,Basic Skills and Advanced Training,Specialized Skill Training,2010,Total,Obligated,86815.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,Basic Skills and Advanced Training,Flight Training,2010,Total,Obligated,368.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,Basic Skills and Advanced Training,Professional Development Education,2010,Total,Obligated,28678.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,Basic Skills and Advanced Training,Training and Operations,2010,Total,Obligated,574356.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,"Recruiting, and Other Training & Education",Recruiting and Advertising,2010,Total,Obligated,240319.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,"Recruiting, and Other Training & Education",Off-Duty and Voluntary Education,2010,Total,Obligated,53162.0,0.0
2012,Navy,Operation and Maitenance,Navy - Training and Recruiting,"Recruiting, and Other Training & Education",Junior Reserve Officer Training Corps,2010,Total,Obligated,19241.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Servicewide Support,Special Support,2010,Total,Obligated,343190.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Servicewide Support,Servicewide Transportation,2010,Total,Obligated,549611.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Servicewide Support,Administration,2010,Total,Obligated,83906.0,0.0
2012,Navy,Operation and Maitenance,Navy - Administration and Servicewide Activities,Servicewide Support,Acquisition and Program Management,2010,Total,Obligated,0.0,0.0
2012,Navy,Operation and Maitenance,Navy - Undistributed,Undistributed,Adj to Match Continuing Resolution,2010,Total,Obligated,0.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Air Operations,Mission and Other Flight Operations,2010,Total,Obligated,609104.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Air Operations,Intermediate Maintenance,2010,Total,Obligated,16715.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Air Operations,Air Operations and Safety Support,2010,Total,Obligated,2304.0,0.0
2012,Navy,Operation and Maitenance,Navy - Operating Forces,Air Operations,Aircraft Depot Maintenance,2010,Total,Obligated,156315.0,0.0
