"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","ProgramElement","ProgramElementTitle","LineNumber","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"1",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","01","Basic Research","1   ","0601101A","In-House Laboratory Independent Research","1   ","Y","Y","U",2015,"Total",13125,NA,NA,NA,NA
"2",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","01","Basic Research","2   ","0601102A","Defense Research Sciences","2   ","Y","Y","U",2015,"Total",249855,NA,NA,NA,NA
"3",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","01","Basic Research","3   ","0601103A","University Research Initiatives","3   ","Y","Y","U",2015,"Total",79122,NA,NA,NA,NA
"4",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","01","Basic Research","4   ","0601104A","University and Industry Research Centers","4   ","Y","Y","U",2015,"Total",105766,NA,NA,NA,NA
"5",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","5   ","0602105A","Materials Technology","5   ","Y","Y","U",2015,"Total",45563,NA,NA,NA,NA
"6",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","6   ","0602120A","Sensors and Electronic Survivability","6   ","Y","Y","U",2015,"Total",45792,NA,NA,NA,NA
"7",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","7   ","0602122A","TRACTOR HIP","7   ","Y","Y","U",2015,"Total",16358,NA,NA,NA,NA
"8",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","8   ","0602211A","Aviation Technology","8   ","Y","Y","U",2015,"Total",62046,NA,NA,NA,NA
"9",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","9   ","0602270A","Electronic Warfare Technology","9   ","Y","Y","U",2015,"Total",19333,NA,NA,NA,NA
"10",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","10  ","0602303A","Missile Technology","10  ","Y","Y","U",2015,"Total",61144,NA,NA,NA,NA
"11",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","11  ","0602307A","Advanced Weapons Technology","11  ","Y","Y","U",2015,"Total",37464,NA,NA,NA,NA
"12",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","12  ","0602308A","Advanced Concepts and Simulation","12  ","Y","Y","U",2015,"Total",26505,NA,NA,NA,NA
"13",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","13  ","0602601A","Combat Vehicle and Automotive Technology","13  ","Y","Y","U",2015,"Total",71811,NA,NA,NA,NA
"14",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","14  ","0602618A","Ballistics Technology","14  ","Y","Y","U",2015,"Total",83610,NA,NA,NA,NA
"15",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","15  ","0602622A","Chemical, Smoke and Equipment Defeating Technology","15  ","Y","Y","U",2015,"Total",3865,NA,NA,NA,NA
"16",2017,"2040A","Research, Development, Test & Eval, Army","ARMY","02","Applied Research","16  ","0602623A","Joint Service Small Arms Program","16  ","Y","Y","U",2015,"Total",6633,NA,NA,NA,NA
