"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineNumber","LineItem","LineItemTitle","CostType","CostTypeTitle","LineNumber","AddOrNonAdd","Classified","FiscalYear","OriginType","PBtotal","PBtype","QuantPBtotal","QuantPBtype"
"1",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","1  ","9440A11300","Utility F/W Aircraft","A","Weapon System Cost","1  ","Add","U",2011,"Total",0,NA,0,NA
"2",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","2  ","9462A02700","C-12 Cargo Airplane","A","Weapon System Cost","2  ","Add","U",2011,"Total",78060,NA,0,NA
"3",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","3  ","9670A00005","MQ-1 UAV","A","Weapon System Cost","3  ","Add","U",2011,"Total",455851,NA,39,NA
"4",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","4  ","9675A00010","RQ-11 (RAVEN)","A","Weapon System Cost","4  ","Add","U",2011,"Total",37467,NA,206,NA
"5",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","5  ","9680A00015","BCT Unmanned Aerial Veh (UAVS) Incr 1","A","Weapon System Cost","5  ","Add","U",2011,"Total",26415,NA,0,NA
"6",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","6  ","4742A05001","Helicopter, Light Utility (LUH)","A","Weapon System Cost","6  ","Add","U",2011,"Total",303544,NA,50,NA
"7",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","7  ","5757A05111","AH-64 Apache Block IIIA Reman","A","Weapon System Cost","7  ","Add","U",2011,"Total",388687,NA,16,NA
"8",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","7  ","5757A05111","AH-64 Apache Block IIIA Reman","B","Less: Advance Procurement (PY)","7  ","Add","U",2011,"Total",-57890,NA,0,NA
"9",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","8  ","5757A05111","AH-64 Apache Block IIIA Reman","C","Advance Procurement (CY)","8  ","Add","U",2011,"Total",160237,NA,0,NA
"10",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","5840A05133","AH-64 Apache Block IIIB New Build","A","Weapon System Cost","9  ","Add","U",2011,"Total",0,NA,0,NA
"11",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","5840A05133","AH-64 Apache Block IIIB New Build","B","Less: Advance Procurement (PY)","9  ","Add","U",2011,"Total",0,NA,0,NA
"12",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","10 ","5840A05133","AH-64 Apache Block IIIB New Build","C","Advance Procurement (CY)","10 ","Add","U",2011,"Total",0,NA,0,NA
"13",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","11 ","5871A05121","AH-64 Block II/WRA","A","Weapon System Cost","11 ","Add","U",2011,"Total",34600,NA,0,NA
"14",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","12 ","6337A02345","Kiowa Warrior (OH-58F) WRA","A","Weapon System Cost","12 ","Add","U",2011,"Total",0,NA,0,NA
"15",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","13 ","6772AA0005","UH-60 Blackhawk M Model (MYP)","A","Weapon System Cost","13 ","Add","U",2011,"Total",1791146,NA,99,NA
"16",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","13 ","6772AA0005","UH-60 Blackhawk M Model (MYP)","B","Less: Advance Procurement (PY)","13 ","Add","U",2011,"Total",-102220,NA,0,NA
"17",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","14 ","6772AA0005","UH-60 Blackhawk M Model (MYP)","C","Advance Procurement (CY)","14 ","Add","U",2011,"Total",99962,NA,0,NA
"18",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","15 ","6775A05101","CH-47 Helicopter","A","Weapon System Cost","15 ","Add","U",2011,"Total",1404136,NA,49,NA
"19",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","15 ","6775A05101","CH-47 Helicopter","B","Less: Advance Procurement (PY)","15 ","Add","U",2011,"Total",-50676,NA,0,NA
"20",2013,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","16 ","6775A05101","CH-47 Helicopter","C","Advance Procurement (CY)","16 ","Add","U",2011,"Total",66358,NA,0,NA
"21",2013,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","17 ","0330A01234","C12 Aircraft Mods","A","Weapon System Cost","17 ","Add","U",2011,"Total",122340,NA,0,NA
"22",2013,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","18 ","0420A00020","MQ-1 Payload - UAS","A","Weapon System Cost","18 ","Add","U",2011,"Total",83556,NA,0,NA
"23",2013,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","19 ","0430A00025","MQ-1 Weaponization - UAS","A","Weapon System Cost","19 ","Add","U",2011,"Total",14644,NA,0,NA
"24",2013,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","20 ","1032AZ2000","Guardrail Mods (MIP)","A","Weapon System Cost","20 ","Add","U",2011,"Total",31650,NA,0,NA
"25",2013,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","21 ","1036AZ2001","Multi Sensor ABN Recon (MIP)","A","Weapon System Cost","21 ","Add","U",2011,"Total",103084,NA,0,NA
"26",2013,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","22 ","2706AA6605","AH-64 Mods","A","Weapon System Cost","22 ","Add","U",2011,"Total",1045740,NA,0,NA
"27",2013,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","23 ","3264AA0252","CH-47 Cargo Helicopter Mods (MYP)","A","Weapon System Cost","23 ","Add","U",2011,"Total",139902,NA,0,NA
"28",2013,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","24 ","4194AA0270","Utility/Cargo Airplane Mods","A","Weapon System Cost","24 ","Add","U",2011,"Total",16338,NA,0,NA
"29",2013,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","25 ","5310AA0560","Aircraft Long Range Mods","A","Weapon System Cost","25 ","Add","U",2011,"Total",808,NA,0,NA
"30",2013,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","26 ","6949AA0480","Utility Helicopter Mods","A","Weapon System Cost","26 ","Add","U",2011,"Total",128460,NA,0,NA
"31",2013,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","27 ","7542AZ2200","Kiowa Warrior Mods","A","Weapon System Cost","27 ","Add","U",2011,"Total",202437,NA,9,NA
