"ID","SourceFiscalYear","AccountDSI","TreasuryAgencyCode","MainAccountCode","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","BSA","BSA.Title","LineItem","LineItemTitle","CostType","CostTypeTitle","AddOrNonAdd","Classified","Category","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","QuantPBtotal","QuantPBtype","QuantEnactedTotal","QuantEnactedType","QuantSpecialTotal","QuantActualTotal"
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","13 ","20",,"6772AA0005","UH-60 Blackhawk M Model (MYP)","B","Less: Advance Procurement (PY)","Add","U",,2011,"Total",-102220,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","14 ","20",,"6772AA0005","UH-60 Blackhawk M Model (MYP)","C","Advance Procurement (CY)","Add","U",,2011,"Total",99962,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","15 ","20",,"6775A05101","CH-47 Helicopter","A","Weapon System Cost","Add","U",,2011,"Total",1404136,,,,,,49,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","15 ","20",,"6775A05101","CH-47 Helicopter","B","Less: Advance Procurement (PY)","Add","U",,2011,"Total",-50676,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","16 ","20",,"6775A05101","CH-47 Helicopter","C","Advance Procurement (CY)","Add","U",,2011,"Total",66358,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","17 ","10",,"0330A01234","C12 Aircraft Mods","A","Weapon System Cost","Add","U",,2011,"Total",122340,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","18 ","10",,"0420A00020","MQ-1 Payload - UAS","A","Weapon System Cost","Add","U",,2011,"Total",83556,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","19 ","10",,"0430A00025","MQ-1 Weaponization - UAS","A","Weapon System Cost","Add","U",,2011,"Total",14644,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","20 ","10",,"1032AZ2000","Guardrail Mods (MIP)","A","Weapon System Cost","Add","U",,2011,"Total",31650,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","21 ","10",,"1036AZ2001","Multi Sensor ABN Recon (MIP)","A","Weapon System Cost","Add","U",,2011,"Total",103084,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","22 ","10",,"2706AA6605","AH-64 Mods","A","Weapon System Cost","Add","U",,2011,"Total",1045740,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","23 ","10",,"3264AA0252","CH-47 Cargo Helicopter Mods (MYP)","A","Weapon System Cost","Add","U",,2011,"Total",139902,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","24 ","10",,"4194AA0270","Utility/Cargo Airplane Mods","A","Weapon System Cost","Add","U",,2011,"Total",16338,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","25 ","10",,"5310AA0560","Aircraft Long Range Mods","A","Weapon System Cost","Add","U",,2011,"Total",808,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","26 ","10",,"6949AA0480","Utility Helicopter Mods","A","Weapon System Cost","Add","U",,2011,"Total",128460,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","27 ","10",,"7542AZ2200","Kiowa Warrior Mods","A","Weapon System Cost","Add","U",,2011,"Total",202437,,,,,,9,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","28 ","10",,"8472AA0700","Airborne Avionics","A","Weapon System Cost","Add","U",,2011,"Total",209231,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","29 ","10",,"8658AA0712","Network and Mission Plan","A","Weapon System Cost","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","30 ","10",,"8659AA0723","Comms, Nav Surveillance","A","Weapon System Cost","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","31 ","10",,"8859AA0711","GATM Rollup","A","Weapon System Cost","Add","U",,2011,"Total",97591,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","32 ","10",,"9555A00018","RQ-7 UAV MODS","A","Weapon System Cost","Add","U",,2011,"Total",548998,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","03","Spares and Repair Parts","33 ","10",,"0420AA0950","Spare Parts (AIR)","A","Weapon System Cost","Add","U",,2011,"Total",10398,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","34 ","10",,"3632AZ3504","Aircraft Survivability Equipment","A","Weapon System Cost","Add","U",,2011,"Total",24338,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","35 ","10",,"5044AZ3507","Survivability CM","A","Weapon System Cost","Add","U",,2011,"Total",345783,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","36 ","10",,"5397AZ3517","CMWS","A","Weapon System Cost","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","37 ","30",,"0832AZ3000","Avionics Support Equipment","A","Weapon System Cost","Add","U",,2011,"Total",4857,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","38 ","30",,"5212AZ3100","Common Ground Equipment","A","Weapon System Cost","Add","U",,2011,"Total",141324,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","39 ","30",,"6380AZ3110","Aircrew Integrated Systems","A","Weapon System Cost","Add","U",,2011,"Total",52125,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","40 ","30",,"6818AA0050","Air Traffic Control","A","Weapon System Cost","Add","U",,2011,"Total",82374,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","41 ","30",,"8132AZ3300","Industrial Facilities","A","Weapon System Cost","Add","U",,2011,"Total",1557,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","42 ","30",,"9154A50100","Launcher, 2.75 Rocket","A","Weapon System Cost","Add","U",,2011,"Total",2875,,,,,,495,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","1  ","10",,"7152C49100","Patriot System Summary","A","Weapon System Cost","Add","U",,2011,"Total",628422,,,,,,78,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","2  ","10",,"8260C53101","MSE Missile","A","Weapon System Cost","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","3  ","10",,"9001C81001","Surface-Launched Amraam System Summary:","A","Weapon System Cost","Add","U",,2011,"Total",2355,,,,,,0,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","4  ","20",,"1338C70000","Hellfire Sys Summary","A","Weapon System Cost","Add","U",,2011,"Total",222160,,,,,,1473,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","5  ","30",,"0648CC0007","Javelin (Aaws-M) System Summary","A","Weapon System Cost","Add","U",,2011,"Total",163009,,,,,,715,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","6  ","30",,"2104C59300","Tow 2 System Summary","A","Weapon System Cost","Add","U",,2011,"Total",88605,,,,,,0,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","6  ","30",,"2104C59300","Tow 2 System Summary","B","Less: Advance Procurement (PY)","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","7  ","30",,"2104C59300","Tow 2 System Summary","C","Advance Procurement (CY)","Add","U",,2011,"Total",48355,,,,,,0,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","8  ","30",,"6005C64400","Guided MLRS Rocket (GMLRS)","A","Weapon System Cost","Add","U",,2011,"Total",264548,,,,,,2592,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","9  ","30",,"6060C65405","MLRS Reduced Range Practice Rockets (RRPR)","A","Weapon System Cost","Add","U",,2011,"Total",15796,,,,,,2149,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","10 ","30",,"6200C02901","High Mobility Artillery Rocket System","A","Weapon System Cost","Add","U",,2011,"Total",203369,,,,,,44,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","03","Modification of Missiles","11 ","10",,"0962C50700","Patriot Mods","A","Weapon System Cost","Add","U",,2011,"Total",56849,,,,,,0,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","03","Modification of Missiles","12 ","10",,"3972C61700","Itas/Tow Mods","A","Weapon System Cost","Add","U",,2011,"Total",53805,,,,,,0,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","03","Modification of Missiles","13 ","10",,"6552C67500","MLRS Mods","A","Weapon System Cost","Add","U",,2011,"Total",8170,,,,,,0,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","03","Modification of Missiles","14 ","10",,"6580C67501","Himars Modifications","A","Weapon System Cost","Add","U",,2011,"Total",39149,,,,,,0,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","03","Modification of Missiles","15 ","10",,"6700C71500","Hellfire Modifications","A","Weapon System Cost","Add","U",,2011,"Total",8,,,,,,0,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","04","Spares and Repair Parts","16 ","10",,"1242CA0250","Spares and Repair Parts","A","Weapon System Cost","Add","U",,2011,"Total",19458,,,,,,0,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","17 ","10",,"1242C93000","Air Defense Targets","A","Weapon System Cost","Add","U",,2011,"Total",3592,,,,,,0,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","18 ","10",,"3902CL2000","Items Less Than $5 Million (Missiles)","A","Weapon System Cost","Add","U",,2011,"Total",1200,,,,,,0,,,,,
,2013,"2032A",,,"Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","19 ","10",,"4662CA0100","Production Base Support","A","Weapon System Cost","Add","U",,2011,"Total",4484,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","1  ","10",,"7180G85100","Stryker Vehicle","A","Weapon System Cost","Add","U",,2011,"Total",1386014,,,,,,292,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","2  ","10",,"7310G86200","FCS Spin Outs","A","Weapon System Cost","Add","U",,2011,"Total",41871,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","2  ","10",,"7310G86200","FCS Spin Outs","B","Less: Advance Procurement (PY)","Add","U",,2011,"Total",-41871,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","3  ","20",,"0230GM0100","STRYKER (MOD)","A","Weapon System Cost","Add","U",,2011,"Total",84573,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","4  ","20",,"1284GZ2300","Fist Vehicle (MOD)","A","Weapon System Cost","Add","U",,2011,"Total",30908,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","5  ","20",,"1678GZ2400","Bradley Program (MOD)","A","Weapon System Cost","Add","U",,2011,"Total",202987,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","6  ","20",,"2072GA0400","Howitzer, Med Sp Ft 155mm M109a6 (MOD)","A","Weapon System Cost","Add","U",,2011,"Total",5244,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","7  ","20",,"2073GZ0410","Paladin PIM Mod In Service","A","Weapon System Cost","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","8  ","20",,"3700GA0570","Improved Recovery Vehicle (M88a2 Hercules)","A","Weapon System Cost","Add","U",,2011,"Total",120218,,,,,,29,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","9  ","20",,"4872G82925","Assault Breacher Vehicle","A","Weapon System Cost","Add","U",,2011,"Total",77492,,,,,,19,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10 ","20",,"5129G80571","M88 FOV MODS","A","Weapon System Cost","Add","U",,2011,"Total",9105,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","11 ","20",,"6406GA0700","M1 Abrams Tank (MOD)","A","Weapon System Cost","Add","U",,2011,"Total",229612,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","12 ","20",,"6500GA0750","Abrams Upgrade Program","A","Weapon System Cost","Add","U",,2011,"Total",181973,,,,,,21,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","13 ","30",,"5960GA0050","Production Base Support (TCV-WTCV)","A","Weapon System Cost","Add","U",,2011,"Total",3126,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","14 ","10",,"1696G16101","Integrated Air Burst Weapon System Family","A","Weapon System Cost","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","15 ","10",,"2472G13000","M240 Medium Machine Gun (7.62MM)","A","Weapon System Cost","Add","U",,2011,"Total",20362,,,,,,479,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","16 ","10",,"5000GB2000","Machine Gun, Cal .50 M2 Roll","A","Weapon System Cost","Add","U",,2011,"Total",79496,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","17 ","10",,"5237G12800","Lightweight .50 Caliber Machine Gun","A","Weapon System Cost","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","18 ","10",,"6106G13400","Mk-19 Grenade Machine Gun (40MM)","A","Weapon System Cost","Add","U",,2011,"Total",4439,,,,,,196,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","19 ","10",,"6580G02200","Mortar Systems","A","Weapon System Cost","Add","U",,2011,"Total",25585,,,,,,409,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20 ","10",,"8165G01500","M107, Cal. 50, Sniper Rifle","A","Weapon System Cost","Add","U",,2011,"Total",232,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","21 ","10",,"8181G01501","Xm320 Grenade Launcher Module (GLM)","A","Weapon System Cost","Add","U",,2011,"Total",38690,,,,,,13655,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","22 ","10",,"8182G01505","M110 Semi-Automatic Sniper System (SASS)","A","Weapon System Cost","Add","U",,2011,"Total",18429,,,,,,844,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","23 ","10",,"8198G14904","M4 Carbine","A","Weapon System Cost","Add","U",,2011,"Total",20066,,,,,,11494,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","24 ","10",,"8201G13501","Carbine","A","Weapon System Cost","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","25 ","10",,"8262G18300","Shotgun, Modular Accessory System (MASS)","A","Weapon System Cost","Add","U",,2011,"Total",7112,,,,,,2401,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","26 ","10",,"8310G04700","Common Remotely Operated Weapons Station","A","Weapon System Cost","Add","U",,2011,"Total",160000,,,,,,725,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","27 ","10",,"9582G01700","Howitzer Lt Wt 155mm (T)","A","Weapon System Cost","Add","U",,2011,"Total",62000,,,,,,14,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","28 ","20",,"3000GB3000","MK-19 Grenade Machine Gun Mods","A","Weapon System Cost","Add","U",,2011,"Total",2968,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","29 ","20",,"3005GZ1700","M777 Mods","A","Weapon System Cost","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","30 ","20",,"3010GB3007","M4 Carbine Mods","A","Weapon System Cost","Add","U",,2011,"Total",56864,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","31 ","20",,"3015GB4000","M2 50 Cal Machine Gun Mods","A","Weapon System Cost","Add","U",,2011,"Total",60000,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","32 ","20",,"3020GZ1290","M249 Saw Machine Gun Mods","A","Weapon System Cost","Add","U",,2011,"Total",5888,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","33 ","20",,"3030GZ1300","M240 Medium Machine Gun Mods","A","Weapon System Cost","Add","U",,2011,"Total",15762,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","34 ","20",,"3181GZ1500","Sniper Rifles Modifications","A","Weapon System Cost","Add","U",,2011,"Total",20900,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","35 ","20",,"3640GC0401","M119 Modifications","A","Weapon System Cost","Add","U",,2011,"Total",61086,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","36 ","20",,"6456GZ2800","M16 Rifle Mods","A","Weapon System Cost","Add","U",,2011,"Total",3832,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","37 ","20",,"9280GC0925","Modifications Less Than $5.0m (WOCV-WTCV)","A","Weapon System Cost","Add","U",,2011,"Total",6048,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","38 ","30",,"1862GL3200","Items Less Than $5 Million (WOCV-WTCV)","A","Weapon System Cost","Add","U",,2011,"Total",4664,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","39 ","30",,"3270GC0050","Production Base Support (WOCV-WTCV)","A","Weapon System Cost","Add","U",,2011,"Total",7824,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","40 ","30",,"3400GC0075","Industrial Preparedness","A","Weapon System Cost","Add","U",,2011,"Total",405,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","41 ","30",,"4010GC0076","Small Arms Equipment (Soldier Enh Prog)","A","Weapon System Cost","Add","U",,2011,"Total",4018,,,,,,0,,,,,
,2013,"2033A",,,"Procurement of W&TCV, Army","ARMY","03","Spare and Repair Parts","42 ","10",,"4540GE0150","Spares and Repair Parts (WTCV)","A","Weapon System Cost","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","1  ","30",,"0132E00700","Ctg, 5.56mm, All Types","A","Weapon System Cost","Add","U",,2011,"Total",205351,,,,,,0,,,,,
,2013,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","2  ","30",,"0612E02000","CTG, 7.62mm, All Types","A","Weapon System Cost","Add","U",,2011,"Total",91107,,,,,,0,,,,,
,2013,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","3  ","30",,"1450EA3000","CTG, Handgun, All Types","A","Weapon System Cost","Add","U",,2011,"Total",6415,,,,,,0,,,,,
,2013,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","4  ","30",,"1722E08000","CTG, .50 Cal, All Types","A","Weapon System Cost","Add","U",,2011,"Total",206812,,,,,,0,,,,,
,2013,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","5  ","30",,"2382E08900","CTG, 20mm, All Types","A","Weapon System Cost","Add","U",,2011,"Total",10500,,,,,,0,,,,,
,2013,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","6  ","30",,"2650E08200","CTG, 25mm, All Types","A","Weapon System Cost","Add","U",,2011,"Total",12638,,,,,,0,,,,,
,2013,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","7  ","30",,"2938ER8120","CTG, 30mm, All Types","A","Weapon System Cost","Add","U",,2011,"Total",111164,,,,,,0,,,,,
,2013,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","8  ","30",,"3222ER8001","CTG, 40mm, All Types","A","Weapon System Cost","Add","U",,2011,"Total",176876,,,,,,0,,,,,
,2013,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","9  ","33",,"0050E89600","60MM Mortar, All Types","A","Weapon System Cost","Add","U",,2011,"Total",14258,,,,,,0,,,,,
,2013,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","10 ","33",,"3584E76000","81MM Mortar, All Types","A","Weapon System Cost","Add","U",,2011,"Total",23901,,,,,,0,,,,,
,2013,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","11 ","33",,"6780E25500","120MM Mortar, ALL TYPES","A","Weapon System Cost","Add","U",,2011,"Total",94254,,,,,,0,,,,,
,2013,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","12 ","35",,"1120E22203","Cartridges, Tank, 105MM and 120MM, All Types","A","Weapon System Cost","Add","U",,2011,"Total",121904,,,,,,0,,,,,
