"ID","SourceFiscalYear","AccountDSI","TreasuryAgencyCode","MainAccountCode","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","BSA","BSA.Title","LineItem","LineItemTitle","CostType","CostTypeTitle","AddOrNonAdd","Classified","Category","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","QuantPBtotal","QuantPBtype","QuantEnactedTotal","QuantEnactedType","QuantSpecialTotal","QuantActualTotal"
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","1  ","10",,"9440A11300","Utility F/W Aircraft","A","Weapon System Cost","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","2  ","10",,"9462A02700","C-12 Cargo Airplane","A","Weapon System Cost","Add","U",,2011,"Total",78060,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","3  ","10",,"9670A00005","MQ-1 UAV","A","Weapon System Cost","Add","U",,2011,"Total",455851,,,,,,39,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","4  ","10",,"9675A00010","RQ-11 (RAVEN)","A","Weapon System Cost","Add","U",,2011,"Total",37467,,,,,,206,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","5  ","10",,"9680A00015","BCT Unmanned Aerial Veh (UAVS) Incr 1","A","Weapon System Cost","Add","U",,2011,"Total",26415,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","6  ","20",,"4742A05001","Helicopter, Light Utility (LUH)","A","Weapon System Cost","Add","U",,2011,"Total",303544,,,,,,50,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","7  ","20",,"5757A05111","AH-64 Apache Block IIIA Reman","A","Weapon System Cost","Add","U",,2011,"Total",388687,,,,,,16,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","7  ","20",,"5757A05111","AH-64 Apache Block IIIA Reman","B","Less: Advance Procurement (PY)","Add","U",,2011,"Total",-57890,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","8  ","20",,"5757A05111","AH-64 Apache Block IIIA Reman","C","Advance Procurement (CY)","Add","U",,2011,"Total",160237,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","9  ","20",,"5840A05133","AH-64 Apache Block IIIB New Build","A","Weapon System Cost","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","9  ","20",,"5840A05133","AH-64 Apache Block IIIB New Build","B","Less: Advance Procurement (PY)","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","10 ","20",,"5840A05133","AH-64 Apache Block IIIB New Build","C","Advance Procurement (CY)","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","11 ","20",,"5871A05121","AH-64 Block II/WRA","A","Weapon System Cost","Add","U",,2011,"Total",34600,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","12 ","20",,"6337A02345","Kiowa Warrior (OH-58F) WRA","A","Weapon System Cost","Add","U",,2011,"Total",0,,,,,,0,,,,,
,2013,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","13 ","20",,"6772AA0005","UH-60 Blackhawk M Model (MYP)","A","Weapon System Cost","Add","U",,2011,"Total",1791146,,,,,,99,,,,,
