"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","LineNumber","SAG","SAG.Title","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","PBtotal","PBtype"
"1",2011,"493001A","Working Capital Fund, Army","ARMY","20","Undistributed","010","010","200","Prepositioned War Reserve Stocks","U",2009,"Total",545400,NA,NA,NA
"2",2011,"493001A","Working Capital Fund, Army","ARMY","20","Undistributed","","","ES17","Fuel Costs","U",2009,"Total",0,NA,NA,NA
"3",2011,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","U",2009,"Total",1262174,NA,NA,NA
"4",2011,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","U",2009,"Total",0,NA,NA,NA
"5",2011,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","U",2009,"Total",46198,NA,NA,NA
"6",2011,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","U",2009,"Total",6500,NA,NA,NA
"7",2011,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","050","0220","LG Med Spd Ro/Ro Maintenance","U",2009,"Total",94029,NA,NA,NA
"8",2011,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","060","0230","DoD Mobilization Alterations","U",2009,"Total",142685,NA,NA,NA
"9",2011,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","070","0250","TAH Maintenance","U",2009,"Total",26247,NA,NA,NA
"10",2011,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","080","0300","Strategic Sealift Support","U",2009,"Total",0,NA,NA,NA
"11",2011,"4557N","National Defense Sealift Fund","NAVY","04","Ready Reserve Force","090","090","0900","Research And Development","U",2009,"Total",84561,NA,NA,NA
"12",2011,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","100","0500","Ready Reserve Force","U",2009,"Total",292700,NA,NA,NA
"13",2011,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","110","0510","MARAD Ship Financing Guarantee Program","U",2009,"Total",48000,NA,NA,NA
"14",2011,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","010","ES08","Inventory Augmentation","U",2009,"Total",1576,NA,NA,NA
"15",2011,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","","","ES17","Fuel Costs","U",2009,"Total",0,NA,NA,NA
"16",2011,"493003F","Working Capital Fund, Air Force","AF","20","Undistributed","010","010","200","Transportation fallen Heroes","U",2009,"Total",15000,NA,NA,NA
"17",2011,"493003F","Working Capital Fund, Air Force","AF","20","Undistributed","020","020","210","Prepositioned War Reserve Stocks","U",2009,"Total",61465,NA,NA,NA
"18",2011,"493003F","Working Capital Fund, Air Force","AF","20","Undistributed","030","030","ES17","Fuel Costs","U",2009,"Total",0,NA,NA,NA
"19",2011,"4640D","Defense Coalition Support, Defense","DSCA","20","Coalition Support","010","010","110","Coalition Support","U",2009,"Total",0,NA,NA,NA
"20",2011,"493005D","Working Capital Fund, Defense-Wide","DLA","02","Distribution Depots","010","010","ES08","Defense Logistics Agency (DLA)","U",2009,"Total",33600,NA,NA,NA
"21",2011,"493005D","Working Capital Fund, Defense-Wide","DLA","12","Defense Reutilization and Marketing","020","020","ES08","Defense Logistics Agency (DLA)","U",2009,"Total",34416,NA,NA,NA
"22",2011,"493005D","Working Capital Fund, Defense-Wide","DISA","17","Information Services","030","030","ES08","SWA Transmission Costs (DISA)","U",2009,"Total",13100,NA,NA,NA
"23",2011,"493005D","Working Capital Fund, Defense-Wide","DLA","20","Undistributed","040","040","ES08","Defense Logistics Agency (DLA)","U",2009,"Total",0,NA,NA,NA
"24",2011,"493005D","Working Capital Fund, Defense-Wide","DLA","25","Supply Management - Def","050","050","ES08","Defense Logistics Agency (DLA)","U",2009,"Total",32909,NA,NA,NA
"25",2011,"493005D","Working Capital Fund, Defense-Wide","DLA","25","Supply Management - Def","060","060","ES17","Fuel Costs","U",2009,"Total",322410,NA,NA,NA
"26",2011,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","070","070","010","Supply Chain Management - Def","U",2009,"Total",0,NA,NA,NA
"27",2011,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","080","080","010","Energy Management - Def","U",2009,"Total",0,NA,NA,NA
"28",2011,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","010","ES11","Working Capital Fund, DECA","U",2009,"Total",1291084,NA,NA,NA
"29",2011,"493001A","Working Capital Fund, Army","ARMY","20","Undistributed","010","010","200","Prepositioned War Reserve Stocks","U",2010,"Total",NA,38367,38367,NA
"30",2011,"493001A","Working Capital Fund, Army","ARMY","20","Undistributed","","","ES17","Fuel Costs","U",2010,"Total",NA,8792,8792,NA
"31",2011,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","U",2010,"Total",NA,937410,937410,NA
"32",2011,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","U",2010,"Total",NA,119702,119702,NA
"33",2011,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","U",2010,"Total",NA,29654,29654,NA
"34",2011,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","U",2010,"Total",NA,1434,1434,NA
"35",2011,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","050","0220","LG Med Spd Ro/Ro Maintenance","U",2010,"Total",NA,96086,96086,NA
