"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","LineNumber","SAG","SAG.Title","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","PBtotal","PBtype"
"35",2011,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","350","350","421","Servicewide Transportation","U",2009,"Total",3250015,NA,NA,NA
"36",2011,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","360","360","422","Central Supply Activities","U",2009,"Total",625467,NA,NA,NA
"37",2011,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","370","370","423","Logistic Support Activities","U",2009,"Total",486409,NA,NA,NA
"38",2011,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","380","380","424","Ammunition Management","U",2009,"Total",441553,NA,NA,NA
"39",2011,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","390","390","431","Administration","U",2009,"Total",1016022,NA,NA,NA
"40",2011,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","400","400","432","Servicewide Communications","U",2009,"Total",1206633,NA,NA,NA
"41",2011,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","410","410","433","Manpower Management","U",2009,"Total",329932,NA,NA,NA
"42",2011,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","420","420","434","Other Personnel Support","U",2009,"Total",224303,NA,NA,NA
"43",2011,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","430","430","435","Other Service Support","U",2009,"Total",1829227,NA,NA,NA
"44",2011,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","440","440","436","Army Claims Activities","U",2009,"Total",185729,NA,NA,NA
"45",2011,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","450","450","437","Real Estate Management","U",2009,"Total",58589,NA,NA,NA
"46",2011,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","460","460","441","Support Of NATO Operations","U",2009,"Total",408051,NA,NA,NA
"47",2011,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","470","470","442","Misc. Support Of Other Nations","U",2009,"Total",24439,NA,NA,NA
"48",2011,"2022A","Operation & Maintenance, Army, RA","ARMY","01","Operating Forces","010","010","132","Facilities Sustainment, Restoration, & Modernization","U",2009,"Total",1474525,NA,NA,NA
"49",2011,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","010","010","111","Maneuver Units","U",2009,"Total",1447,NA,NA,NA
"50",2011,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","020","020","112","Modular Support Brigades","U",2009,"Total",16151,NA,NA,NA
"51",2011,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","030","030","113","Echelons Above Brigade","U",2009,"Total",498931,NA,NA,NA
"52",2011,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","040","040","114","Theater Level Assets","U",2009,"Total",163892,NA,NA,NA
"53",2011,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","050","050","115","Land Forces Operations Support","U",2009,"Total",591501,NA,NA,NA
"54",2011,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","060","060","116","Aviation Assets","U",2009,"Total",59645,NA,NA,NA
"55",2011,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","070","070","121","Force Readiness Operations Support","U",2009,"Total",272048,NA,NA,NA
"56",2011,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","080","080","122","Land Forces Systems Readiness","U",2009,"Total",128301,NA,NA,NA
"57",2011,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","090","090","123","Land Forces Depot Maintenance","U",2009,"Total",94955,NA,NA,NA
"58",2011,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","100","100","131","Base Operations Support","U",2009,"Total",577054,NA,NA,NA
"59",2011,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","110","110","132","Facilities Sustainment, Restoration, & Modernization","U",2009,"Total",237427,NA,NA,NA
"60",2011,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","120","120","135","Additional Activities","U",2009,"Total",12009,NA,NA,NA
"61",2011,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","130","130","421","Servicewide Transportation","U",2009,"Total",0,NA,NA,NA
"62",2011,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","140","140","431","Administration","U",2009,"Total",74179,NA,NA,NA
"63",2011,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","150","150","432","Servicewide Communications","U",2009,"Total",5770,NA,NA,NA
"64",2011,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","160","160","433","Manpower Management","U",2009,"Total",9114,NA,NA,NA
"65",2011,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","170","170","434","Recruiting And Advertising","U",2009,"Total",51200,NA,NA,NA
"66",2011,"2081A","Operation & Maintenance, Army Res, RA","ARMY","01","Operating Forces","010","010","132","Facilities Sustainment, Restoration, & Modernization","U",2009,"Total",98269,NA,NA,NA
"67",2011,"2065A","Operation & Maintenance, ANG","ARMY","01","Operating Forces","010","010","111","Maneuver Units","U",2009,"Total",620839,NA,NA,NA
"68",2011,"2065A","Operation & Maintenance, ANG","ARMY","01","Operating Forces","020","020","112","Modular Support Brigades","U",2009,"Total",265665,NA,NA,NA
"69",2011,"2065A","Operation & Maintenance, ANG","ARMY","01","Operating Forces","030","030","113","Echelons Above Brigade","U",2009,"Total",529522,NA,NA,NA
"70",2011,"2065A","Operation & Maintenance, ANG","ARMY","01","Operating Forces","040","040","114","Theater Level Assets","U",2009,"Total",403853,NA,NA,NA
"71",2011,"2065A","Operation & Maintenance, ANG","ARMY","01","Operating Forces","050","050","115","Land Forces Operations Support","U",2009,"Total",50240,NA,NA,NA
"72",2011,"2065A","Operation & Maintenance, ANG","ARMY","01","Operating Forces","060","060","116","Aviation Assets","U",2009,"Total",692670,NA,NA,NA
"73",2011,"2065A","Operation & Maintenance, ANG","ARMY","01","Operating Forces","070","070","121","Force Readiness Operations Support","U",2009,"Total",372464,NA,NA,NA
"74",2011,"2065A","Operation & Maintenance, ANG","ARMY","01","Operating Forces","080","080","122","Land Forces Systems Readiness","U",2009,"Total",122989,NA,NA,NA
"75",2011,"2065A","Operation & Maintenance, ANG","ARMY","01","Operating Forces","090","090","123","Land Forces Depot Maintenance","U",2009,"Total",316830,NA,NA,NA
"76",2011,"2065A","Operation & Maintenance, ANG","ARMY","01","Operating Forces","100","100","131","Base Operations Support","U",2009,"Total",923656,NA,NA,NA
"77",2011,"2065A","Operation & Maintenance, ANG","ARMY","01","Operating Forces","110","110","132","Facilities Sustainment, Restoration, & Modernization","U",2009,"Total",459305,NA,NA,NA
"78",2011,"2065A","Operation & Maintenance, ANG","ARMY","01","Operating Forces","120","120","133","Management And Operational Hq","U",2009,"Total",685621,NA,NA,NA
"79",2011,"2065A","Operation & Maintenance, ANG","ARMY","01","Operating Forces","130","130","135","Additional Activities","U",2009,"Total",544072,NA,NA,NA
"80",2011,"2065A","Operation & Maintenance, ANG","ARMY","04","Admin & Srvwd Activities","140","140","421","Servicewide Transportation","U",2009,"Total",0,NA,NA,NA
"81",2011,"2065A","Operation & Maintenance, ANG","ARMY","04","Admin & Srvwd Activities","150","150","431","Administration","U",2009,"Total",119937,NA,NA,NA
"82",2011,"2065A","Operation & Maintenance, ANG","ARMY","04","Admin & Srvwd Activities","160","160","432","Servicewide Communications","U",2009,"Total",47183,NA,NA,NA
"83",2011,"2065A","Operation & Maintenance, ANG","ARMY","04","Admin & Srvwd Activities","170","170","433","Manpower Management","U",2009,"Total",9031,NA,NA,NA
"84",2011,"2065A","Operation & Maintenance, ANG","ARMY","04","Admin & Srvwd Activities","180","180","434","Recruiting And Advertising","U",2009,"Total",268046,NA,NA,NA
"85",2011,"2066A","Operation & Maintenance, ANG, RA","ARMY","01","Operating Forces","010","010","132","Facilities Sustainment, Restoration, & Modernization","U",2009,"Total",266304,NA,NA,NA
"86",2011,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","010","010","ES01","Infrastructure","U",2009,"Total",777135,NA,NA,NA
"87",2011,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","020","020","ES02","Equipment And Transportation","U",2009,"Total",1667784,NA,NA,NA
"88",2011,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","030","030","ES03","Training And Operations","U",2009,"Total",241434,NA,NA,NA
"89",2011,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","040","040","ES04","Sustainment","U",2009,"Total",805998,NA,NA,NA
"90",2011,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","060","060","ES05","Infrastructure","U",2009,"Total",291575,NA,NA,NA
"91",2011,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","070","070","ES06","Equipment And Transportation","U",2009,"Total",91625,NA,NA,NA
"92",2011,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","080","080","ES07","Training And Operations","U",2009,"Total",544767,NA,NA,NA
"93",2011,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","090","090","ES08","Sustainment","U",2009,"Total",1117345,NA,NA,NA
"94",2011,"2091A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","110","110","ES10","Sustainment","U",2009,"Total",6616,NA,NA,NA
"95",2011,"2091A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","120","120","ES11","Training And Operations","U",2009,"Total",7900,NA,NA,NA
"96",2011,"2091A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","","","ES12","Infrastructure","U",2009,"Total",0,NA,NA,NA
"97",2011,"2091A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","","","ES14","Coin Activities","U",2009,"Total",54760,NA,NA,NA
"98",2011,"2092A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","","","ES02","Equipment And Transportation","U",2009,"Total",260100,NA,NA,NA
"99",2011,"2092A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","","","ES03","Training","U",2009,"Total",196500,NA,NA,NA
"100",2011,"2092A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","","","ES04","Sustainment","U",2009,"Total",169022,NA,NA,NA
"101",2011,"2092A","Iraq Security Forces Fund","ARMY","02","Ministry of Interior","","","ES06","Equipment And Transportation","U",2009,"Total",125600,NA,NA,NA
"102",2011,"2092A","Iraq Security Forces Fund","ARMY","02","Ministry of Interior","","","ES07","Training","U",2009,"Total",231000,NA,NA,NA
"103",2011,"2092A","Iraq Security Forces Fund","ARMY","02","Ministry of Interior","","","ES08","Sustainment","U",2009,"Total",20000,NA,NA,NA
"104",2011,"2092A","Iraq Security Forces Fund","ARMY","03","Associated Activities","","","ES10","Quick Response Force","U",2009,"Total",0,NA,NA,NA
"105",2011,"2095A","Pakistan Counterinsurgency Capability Fund","ARMY","01","Defense Security Forces","020","020","ES01","Infrastructure","U",2009,"Total",7266,NA,NA,NA
"106",2011,"2095A","Pakistan Counterinsurgency Capability Fund","ARMY","01","Defense Security Forces","030","030","ES02","Equipment/Transportation","U",2009,"Total",313204,NA,NA,NA
"107",2011,"2095A","Pakistan Counterinsurgency Capability Fund","ARMY","01","Defense Security Forces","040","040","ES03","Training And Operations","U",2009,"Total",14057,NA,NA,NA
"108",2011,"2095A","Pakistan Counterinsurgency Capability Fund","ARMY","02","Frontier Corps","060","060","ES01","Infrastructure","U",2009,"Total",6000,NA,NA,NA
"109",2011,"2095A","Pakistan Counterinsurgency Capability Fund","ARMY","02","Frontier Corps","070","070","ES02","Equipment/Transportation","U",2009,"Total",49773,NA,NA,NA
"110",2011,"2095A","Pakistan Counterinsurgency Capability Fund","ARMY","02","Frontier Corps","080","080","ES03","Training And Operations","U",2009,"Total",7700,NA,NA,NA
"111",2011,"2095A","Pakistan Counterinsurgency Capability Fund","ARMY","03","Related Activities","100","100","ES04","Humanitarian Assistance","U",2009,"Total",2000,NA,NA,NA
"112",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","010","010","1A1A","Mission And Other Flight Operations","U",2009,"Total",4625711,NA,NA,NA
"113",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","020","020","1A2A","Fleet Air Training","U",2009,"Total",925418,NA,NA,NA
"114",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","030","030","1A3A","Aviation Technical Data & Engineering Services","U",2009,"Total",55627,NA,NA,NA
"115",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","040","040","1A4A","Air Operations And Safety Support","U",2009,"Total",137516,NA,NA,NA
"116",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","050","050","1A4N","Air Systems Support","U",2009,"Total",528676,NA,NA,NA
"117",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","060","060","1A5A","Aircraft Depot Maintenance","U",2009,"Total",1313760,NA,NA,NA
"118",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","070","070","1A6A","Aircraft Depot Operations Support","U",2009,"Total",158385,NA,NA,NA
"119",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","080","080","1B1B","Mission And Other Ship Operations","U",2009,"Total",3801123,NA,NA,NA
"120",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","090","090","1B2B","Ship Operations Support & Training","U",2009,"Total",686421,NA,NA,NA
"121",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","100","100","1B4B","Ship Depot Maintenance","U",2009,"Total",5130673,NA,NA,NA
"122",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","110","110","1B5B","Ship Depot Operations Support","U",2009,"Total",1176199,NA,NA,NA
"123",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","120","120","1C1C","Combat Communications","U",2009,"Total",650183,NA,NA,NA
"124",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","130","130","1C2C","Electronic Warfare","U",2009,"Total",78153,NA,NA,NA
"125",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","140","140","1C3C","Space Systems And Surveillance","U",2009,"Total",197106,NA,NA,NA
"126",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","150","150","1C4C","Warfare Tactics","U",2009,"Total",397629,NA,NA,NA
"127",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","160","160","1C5C","Operational Meteorology And Oceanography","U",2009,"Total",330831,NA,NA,NA
"128",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","170","170","1C6C","Combat Support Forces","U",2009,"Total",2265077,NA,NA,NA
"129",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","180","180","1C7C","Equipment Maintenance","U",2009,"Total",182125,NA,NA,NA
"130",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","190","190","1C8C","Depot Operations Support","U",2009,"Total",2920,NA,NA,NA
"131",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","200","200","1CCH","Combatant Commanders Core Operations","U",2009,"Total",181301,NA,NA,NA
"132",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","210","210","1CCM","Combatant Commanders Direct Mission Support","U",2009,"Total",266411,NA,NA,NA
"133",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","220","220","1D1D","Cruise Missile","U",2009,"Total",126811,NA,NA,NA
"134",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","230","230","1D2D","Fleet Ballistic Missile","U",2009,"Total",1048538,NA,NA,NA
"135",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","240","240","1D3D","In-Service Weapons Systems Support","U",2009,"Total",148046,NA,NA,NA
"136",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","250","250","1D4D","Weapons Maintenance","U",2009,"Total",505110,NA,NA,NA
"137",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","260","260","1D7D","Other Weapon Systems Support","U",2009,"Total",319834,NA,NA,NA
"138",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","270","270","BSIT","Enterprise Information","U",2009,"Total",923696,NA,NA,NA
"139",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","280","280","BSM1","Sustainment, Restoration And Modernization","U",2009,"Total",1770502,NA,NA,NA
"140",2011,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","290","290","BSS1","Base Operating Support","U",2009,"Total",4364129,NA,NA,NA
"141",2011,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","300","300","2A1F","Ship Prepositioning And Surge","U",2009,"Total",357393,NA,NA,NA
"142",2011,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","310","310","2B1G","Aircraft Activations/Inactivations","U",2009,"Total",7102,NA,NA,NA
"143",2011,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","320","320","2B2G","Ship Activations/Inactivations","U",2009,"Total",103125,NA,NA,NA
"144",2011,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","330","330","2C1H","Expeditionary Health Services Systems","U",2009,"Total",37679,NA,NA,NA
"145",2011,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","340","340","2C2H","Industrial Readiness","U",2009,"Total",2168,NA,NA,NA
"146",2011,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","350","350","2C3H","Coast Guard Support","U",2009,"Total",27225,NA,NA,NA
"147",2011,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","360","360","3A1J","Officer Acquisition","U",2009,"Total",143821,NA,NA,NA
"148",2011,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","370","370","3A2J","Recruit Training","U",2009,"Total",11174,NA,NA,NA
"149",2011,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","380","380","3A3J","Reserve Officers Training Corps","U",2009,"Total",120705,NA,NA,NA
"150",2011,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","390","390","3B1K","Specialized Skill Training","U",2009,"Total",592999,NA,NA,NA
"151",2011,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","400","400","3B2K","Flight Training","U",2009,"Total",491424,NA,NA,NA
"152",2011,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","410","410","3B3K","Professional Development Education","U",2009,"Total",173300,NA,NA,NA
"153",2011,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","420","420","3B4K","Training Support","U",2009,"Total",163793,NA,NA,NA
"154",2011,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","430","430","3C1L","Recruiting And Advertising","U",2009,"Total",256792,NA,NA,NA
"155",2011,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","440","440","3C3L","Off-Duty And Voluntary Education","U",2009,"Total",160941,NA,NA,NA
"156",2011,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","450","450","3C4L","Civilian Education And Training","U",2009,"Total",93055,NA,NA,NA
"157",2011,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","460","460","3C5L","Junior ROTC","U",2009,"Total",50680,NA,NA,NA
"158",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","470","470","4A1M","Administration","U",2009,"Total",828088,NA,NA,NA
"159",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","480","480","4A2M","External Relations","U",2009,"Total",10166,NA,NA,NA
"160",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","490","490","4A3M","Civilian Manpower And Personnel Management","U",2009,"Total",110777,NA,NA,NA
"161",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","500","500","4A4M","Military Manpower And Personnel Management","U",2009,"Total",182742,NA,NA,NA
"162",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","510","510","4A5M","Other Personnel Support","U",2009,"Total",278804,NA,NA,NA
"163",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","520","520","4A6M","Servicewide Communications","U",2009,"Total",382215,NA,NA,NA
"164",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","530","530","4A8M","Medical Activities","U",2009,"Total",21966,NA,NA,NA
"165",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","540","540","4B1N","Servicewide Transportation","U",2009,"Total",428911,NA,NA,NA
"166",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","550","550","4B2E","Environmental Programs","U",2009,"Total",294890,NA,NA,NA
"167",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","560","560","4B2N","Planning, Engineering And Design","U",2009,"Total",245723,NA,NA,NA
"168",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","570","570","4B3N","Acquisition And Program Management","U",2009,"Total",635556,NA,NA,NA
"169",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","580","580","4B5N","Hull, Mechanical And Electrical Support","U",2009,"Total",57343,NA,NA,NA
"170",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","590","590","4B6N","Combat/Weapons Systems","U",2009,"Total",15796,NA,NA,NA
"171",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","600","600","4B7N","Space And Electronic Warfare Systems","U",2009,"Total",73210,NA,NA,NA
"172",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","610","610","4C1P","Naval Investigative Service","U",2009,"Total",543890,NA,NA,NA
"173",2011,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","670","670","4D1Q","International Headquarters And Agencies","U",2009,"Total",4945,NA,NA,NA
