"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","LineNumber","SAG","SAG.Title","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","PBtotal","PBtype"
"1",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","010","010","111","Maneuver Units","U",2009,"Total",974310,NA,NA,NA
"2",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","020","020","112","Modular Support Brigades","U",2009,"Total",125599,NA,NA,NA
"3",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","030","030","113","Echelons Above Brigade","U",2009,"Total",561439,NA,NA,NA
"4",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","040","040","114","Theater Level Assets","U",2009,"Total",921868,NA,NA,NA
"5",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","050","050","115","Land Forces Operations Support","U",2009,"Total",1216197,NA,NA,NA
"6",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","060","060","116","Aviation Assets","U",2009,"Total",718549,NA,NA,NA
"7",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","070","070","121","Force Readiness Operations Support","U",2009,"Total",1531741,NA,NA,NA
"8",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","080","080","122","Land Forces Systems Readiness","U",2009,"Total",633456,NA,NA,NA
"9",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","090","090","123","Land Forces Depot Maintenance","U",2009,"Total",697916,NA,NA,NA
"10",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","100","100","131","Base Operations Support","U",2009,"Total",7177725,NA,NA,NA
"11",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","110","110","132","Facilities Sustainment, Restoration, & Modernization","U",2009,"Total",2554499,NA,NA,NA
"12",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","120","120","133","Management And Operational Hq","U",2009,"Total",288337,NA,NA,NA
"13",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","130","130","134","Combatant Commanders Core Operations","U",2009,"Total",195661,NA,NA,NA
"14",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","140","140","135","Additional Activities","U",2009,"Total",39966214,NA,NA,NA
"15",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","150","150","136","CommanderS Emergency Response Program","U",2009,"Total",151,NA,NA,NA
"16",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","160","160","137","RESET","U",2009,"Total",7886730,NA,NA,NA
"17",2011,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","170","170","138","Combatant Commanders Ancillary Missions","U",2009,"Total",289797,NA,NA,NA
"18",2011,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","180","180","211","Strategic Mobility","U",2009,"Total",190205,NA,NA,NA
"19",2011,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","190","190","212","Army Prepositioning Stocks","U",2009,"Total",121450,NA,NA,NA
"20",2011,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","200","200","213","Industrial Preparedness","U",2009,"Total",1600,NA,NA,NA
"21",2011,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","210","210","311","Officer Acquisition","U",2009,"Total",135722,NA,NA,NA
"22",2011,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","220","220","312","Recruit Training","U",2009,"Total",78527,NA,NA,NA
"23",2011,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","230","230","313","One Station Unit Training","U",2009,"Total",45543,NA,NA,NA
"24",2011,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","240","240","314","Senior Reserve Officers Training Corps","U",2009,"Total",444029,NA,NA,NA
"25",2011,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","250","250","321","Specialized Skill Training","U",2009,"Total",902627,NA,NA,NA
"26",2011,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","260","260","322","Flight Training","U",2009,"Total",799222,NA,NA,NA
"27",2011,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","270","270","323","Professional Development Education","U",2009,"Total",174598,NA,NA,NA
"28",2011,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","280","280","324","Training Support","U",2009,"Total",706997,NA,NA,NA
"29",2011,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","290","290","331","Recruiting And Advertising","U",2009,"Total",559948,NA,NA,NA
"30",2011,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","300","300","332","Examining","U",2009,"Total",158318,NA,NA,NA
"31",2011,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","310","310","333","Off-Duty And Voluntary Education","U",2009,"Total",225282,NA,NA,NA
"32",2011,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","320","320","334","Civilian Education And Training","U",2009,"Total",198504,NA,NA,NA
"33",2011,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","330","330","335","Junior ROTC","U",2009,"Total",145933,NA,NA,NA
"34",2011,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","340","340","411","Security Programs","U",2009,"Total",2162147,NA,NA,NA
