"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineNumber","LineItem","LineItemTitle","CostType","CostTypeTitle","LineNumber","AddOrNonAdd","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","PBtotal","PBtype","QuantActualTotal","QuantPBtotal","QuantPBtype"
"1",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","1  ","8485A11000","Joint Cargo Aircraft (JCA)","A","Weapon System Cost","1  ","Add","U",2009,"Total",261681,NA,NA,NA,7,NA,NA
"2",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","2  ","9462A02700","C-12 CARGO AIRPLANE","A","Weapon System Cost","2  ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"3",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","3  ","9662A02005","AERIAL COMMON SENSOR (ACS) (MIP)","A","Weapon System Cost","3  ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"4",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","4  ","9670A00005","MQ-1 UAV","A","Weapon System Cost","4  ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"5",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","5  ","9675A00010","RQ-11 (RAVEN)","A","Weapon System Cost","5  ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"6",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","6  ","9680A00015"," BCT UNMANNED AERIAL VEH (UAVS) INCR 1","A","Weapon System Cost","6  ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"7",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","8  ","4742A05001","HELICOPTER, LIGHT UTILITY (LUH)","A","Weapon System Cost","8  ","Add","U",2009,"Total",276359,NA,NA,NA,44,NA,NA
"8",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","5757A05111","Ah-64 Apache Block III","A","Weapon System Cost","9  ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"9",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","5757A05111","Ah-64 Apache Block III","B","Less: Advance Procurement (PY)","9  ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"10",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","10 ","5757A05111","Ah-64 Apache Block III","C","Advance Procurement (CY)","10 ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"11",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","11 ","6772AA0005","Uh-60 Blackhawk (MYP)","A","Weapon System Cost","11 ","Add","U",2009,"Total",1091504,NA,NA,NA,66,NA,NA
"12",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","11 ","6772AA0005","Uh-60 Blackhawk (MYP)","B","Less: Advance Procurement (PY)","11 ","Add","U",2009,"Total",-116795,NA,NA,NA,0,NA,NA
"13",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","12 ","6772AA0005","Uh-60 Blackhawk (MYP)","C","Advance Procurement (CY)","12 ","Add","U",2009,"Total",136770,NA,NA,NA,0,NA,NA
"14",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","13 ","6775A05101","Ch-47 Helicopter","A","Weapon System Cost","13 ","Add","U",2009,"Total",728417,NA,NA,NA,28,NA,NA
"15",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","13 ","6775A05101","Ch-47 Helicopter","B","Less: Advance Procurement (PY)","13 ","Add","U",2009,"Total",-32759,NA,NA,NA,0,NA,NA
"16",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","14 ","6775A05101","Ch-47 Helicopter","C","Advance Procurement (CY)","14 ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"17",2011,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","15 ","7064A06500","Helicopter New Training","A","Weapon System Cost","15 ","Add","U",2009,"Total",74,NA,NA,NA,0,NA,NA
"18",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","16 ","0330A01234","C12 AIRCRAFT MODS","A","Weapon System Cost","16 ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"19",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","17 ","0420A00020","MQ-1 PAYLOAD - UAS","A","Weapon System Cost","17 ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"20",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","18 ","0430A00025","MQ-1 WEAPONIZATION - UAS","A","Weapon System Cost","18 ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"21",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","19 ","1032AZ2000","GUARDRAIL MODS (MIP)","A","Weapon System Cost","19 ","Add","U",2009,"Total",147737,NA,NA,NA,0,NA,NA
"22",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","20 ","1036AZ2001","MULTI SENSOR ABN RECON (MIP)","A","Weapon System Cost","20 ","Add","U",2009,"Total",23228,NA,NA,NA,0,NA,NA
"23",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","21 ","2706AA6605","Ah-64 Mods","A","Weapon System Cost","21 ","Add","U",2009,"Total",1820502,NA,NA,NA,0,NA,NA
"24",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","21 ","2706AA6605","Ah-64 Mods","B","Less: Advance Procurement (PY)","21 ","Add","U",2009,"Total",-51380,NA,NA,NA,0,NA,NA
"25",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","22 ","2706AA6605","Ah-64 Mods","C","Advance Procurement (CY)","22 ","Add","U",2009,"Total",47800,NA,NA,NA,0,NA,NA
"26",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","23 ","3264AA0252","Ch-47 Cargo Helicopter Mods (MYP)","A","Weapon System Cost","23 ","Add","U",2009,"Total",690600,NA,NA,NA,0,NA,NA
"27",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","23 ","3264AA0252","Ch-47 Cargo Helicopter Mods (MYP)","B","Less: Advance Procurement (PY)","23 ","Add","U",2009,"Total",-38917,NA,NA,NA,0,NA,NA
"28",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","24 ","3264AA0252","Ch-47 Cargo Helicopter Mods (MYP)","C","Advance Procurement (CY)","24 ","Add","U",2009,"Total",49473,NA,NA,NA,0,NA,NA
"29",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","25 ","4194AA0270","Utility/Cargo Airplane Mods","A","Weapon System Cost","25 ","Add","U",2009,"Total",13872,NA,NA,NA,0,NA,NA
"30",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","26 ","5310AA0560","Aircraft Long Range Mods","A","Weapon System Cost","26 ","Add","U",2009,"Total",1575,NA,NA,NA,0,NA,NA
