fiscal_year,ContractingCustomer,ContractingSubCustomer,MajorCommandID,ContractingOfficeID,ContractingOfficeName,IsOCOcrisisFunding,obligatedAmount,numberOfActions
1988,Defense,Other DoD,NULL,NULL,NULL,NULL,302000.0000,NULL
1990,Defense,Other DoD,NULL,NULL,NULL,NULL,3331053000.0000,NULL
1992,Defense,Navy,ORG-2939,G2383,MILITARY SEALIFT COMMAND,NULL,174180.0000,1
1993,Defense,Navy,ORG-2936,AA412,NAVAL AIR SYSTEMS COMMAND,NULL,53618973.0000,1
1993,Defense,Navy,ORG-2936,AM625,NAVAL AIR SYSTEMS COMMAND,NULL,48000.0000,1
1993,Defense,Navy,ORG-2937,WN504,NAVAL MEDICAL CENTER,NULL,83901.0000,1
1993,Defense,Navy,ORG-2940,C2755,NAVY PUBLIC WORKS CENTER,NULL,13427212.0000,23
1993,Defense,Navy,ORG-2941,BD202,DEFENSE CONTRACT MANAGEMENT DIVI,NULL,1065395.0000,2
1993,Defense,Navy,ORG-2941,BS673,SUPERVISOR SHIPBUILDING CONVERSI,NULL,726291.0000,1
1993,Defense,Navy,ORG-2943,F274E,DOD/DEPARTMENT OF THE NAVY,NULL,125000.0000,1
1993,Defense,Navy,ORG-2943,F274H,DOD/DEPARTMENT OF THE NAVY,NULL,101899.0000,1
1993,Defense,Navy,ORG-2945,E3230,NAVAL RESEARCH LABORATORY,NULL,2623374.0000,4
1994,Defense,Army,ORG-2757,CW51,USA ENGINEER DISTRICT NEW YORK,NULL,63978372.0000,119
1994,Defense,Army,ORG-2872,CA87,U.S. ARMY ENGINEER AND SUPPORT,NULL,282227463.0000,668
1994,Defense,MilitaryHealth,NULL,NULL,NULL,NULL,876656829.0000,250
1994,Defense,Navy,ORG-2936,AA421,NAVAL AIR SYSTEMS COMMAND,NULL,88432122.0000,19
1994,Defense,Navy,ORG-2936,AC514,NAVAL AIR SYSTEMS COMMAND,NULL,126987819.0000,41
1994,Defense,Navy,ORG-2936,AC522,NAVAL AIR SYSTEMS COMMAND,NULL,63748303.0000,12
1994,Defense,Navy,ORG-2936,AC528,NAVAL AIR SYSTEMS COMMAND,NULL,-560000.0000,1
1994,Defense,Navy,ORG-2936,AM614,NAVAL AIR SYSTEMS COMMAND,NULL,5205209.0000,3
1994,Defense,Navy,ORG-2936,AM631,NAVAL AIR SYSTEMS COMMAND,NULL,12158061.0000,4
1994,Defense,Navy,ORG-2936,AT724,NAVAL AIR SYSTEMS COMMAND,NULL,126372044.0000,32
1994,Defense,Navy,ORG-2937,QN502,DOD/DEPARTMENT OF THE NAVY,NULL,5321837.0000,53
1994,Defense,Navy,ORG-2937,QN601,NAVAL HOSPITAL,NULL,174594.0000,4
1994,Defense,Navy,ORG-2937,RA10A,FLEET & INDUSTRIAL SUPPLY CENTER,NULL,125138704.0000,893
1994,Defense,Navy,ORG-2937,RK606,NAVAL RESERVE OFFICERS TRAINING,NULL,1270386.0000,8
1994,Defense,Navy,ORG-2937,SA10A,FLEET & INDUSTRIAL SUPPLY CENTER,NULL,38927029.0000,300
1994,Defense,Navy,ORG-2937,TE201,NAVAL CONSTRUCTION BATTALION CEN,NULL,11530773.0000,153
1994,Defense,Navy,ORG-2937,TK695,NAVAL EDUCATION & TRNG PROFESSIO,NULL,1648639.0000,31
1994,Defense,Navy,ORG-2937,VA10A,FLEET & INDUSTRIAL SUPPLY CENTER,NULL,113519368.0000,978
1994,Defense,Navy,ORG-2937,VH502,NAVAL AIR STATION WHIDBEY ISLAND,NULL,1192590.0000,16
1994,Defense,Navy,ORG-2937,VK810,NAVAL RESERVE OFFICERS TRAINING,NULL,226938.0000,2
1994,Defense,Navy,ORG-2937,WA732,JOINT INTELLIGENCE CENTER PACIFI,NULL,324033.0000,2
1994,Defense,Navy,ORG-2937,WB712,PACIFIC MISSILE RANGE FACILITY H,NULL,29594.0000,1
1994,Defense,Navy,ORG-2937,WB904,DOD/DEPARTMENT OF THE NAVY,NULL,6373921.0000,35
1994,Defense,Navy,ORG-2937,WE400,DOD/DEPARTMENT OF THE NAVY,NULL,6991895.0000,111
1994,Defense,Navy,ORG-2939,G0433,MILITARY SEALIFT COMMAND,NULL,486882003.0000,28
1994,Defense,Navy,ORG-2940,C2472,NAVAL FACILITIES ENGINEERING COM,NULL,405001820.0000,1280
1994,Defense,Navy,ORG-2940,C2836,FAR EAST CONTRACTS OFFICE,NULL,65609786.0000,428
1994,Defense,Navy,ORG-2941,BS786,SUPERVISOR SHIPBUILDING CONVERSI,NULL,48416643.0000,392
1994,Defense,Navy,ORG-2941,BS789,SUPERVISOR SHIPBUILDING CONVERSI,NULL,56229602.0000,234
1994,Defense,Navy,ORG-2941,BS794,DOD/DEPARTMENT OF THE NAVY,NULL,5492720.0000,51
1994,Defense,Navy,ORG-2941,BZ009,NAVAL SEA SYSTEMS COMMAND,NULL,3972219.0000,48
1994,Defense,Navy,ORG-2943,F7399,MARINE CORPS AIR GROUND COMBAT C,NULL,6802585.0000,62
1994,Defense,Navy,ORG-2944,D0223,SPACE AND NAVAL WARFARE SYSTEMS,NULL,217834367.0000,126
1994,Defense,Navy,ORG-2944,D0233,SPACE AND NAVAL WARFARE SYSTEMS,NULL,153087906.0000,76
1994,Defense,Navy,ORG-2945,E3410,NAVAL RESEARCH LABORATORY,NULL,9207966.0000,94
1995,Defense,Air Force,ORG-2825,GU86,ASC/YWK,NULL,226179456.0000,78
1995,Defense,Air Force,ORG-2834,GZ74,SMC/LRSW,NULL,262787102.0000,49
1995,Defense,Army,ORG-2757,CW31,USA ENGINEER DIST BALTIMORE,NULL,82422010.0000,237
1995,Defense,Army,ORG-2757,CW49,USA ENGINEER DIST BUFFALO,NULL,12761319.0000,66
1995,Defense,Army,ORG-2757,CW56,USA ENGINEER DISTRICT TULSA,NULL,17306011.0000,112
1995,Defense,Army,ORG-2757,CW61,USA ENGINEER DISTRICT PHILADELPH,NULL,163195381.0000,450
1995,Defense,Army,ORG-2757,CW68,USA ENGINEER DISTRICT WALLA WALL,NULL,68153523.0000,269
1995,Defense,Navy,ORG-2936,A8010,DOD/DEPARTMENT OF THE NAVY,NULL,708484.0000,2
1995,Defense,Navy,ORG-2936,A8013,DOD/DEPARTMENT OF THE NAVY,NULL,1085000.0000,1
1995,Defense,Navy,ORG-2936,A8102,"NAVAL AIR WARFARE CENTER, AIRCRA",NULL,33103180.0000,121
1995,Defense,Navy,ORG-2936,A8105,"NAVAL AIR WARFARE CENTER, AIRCRA",NULL,7068002.0000,38
1995,Defense,Navy,ORG-2936,A8113,"NAVAL AIR WARFARE CENTER, AIRCRA",NULL,12884160.0000,78
1995,Defense,Navy,ORG-2936,A8118,"NAVAL AIR WARFARE CENTER, AIRCRA",NULL,164450.0000,5
1995,Defense,Navy,ORG-2936,A8119,"NAVAL AIR WARFARE CENTER, AIRCRA",NULL,347086.0000,3
1995,Defense,Navy,ORG-2936,A8302,NAVAL AIR WARFARE CENTER TRAININ,NULL,365715700.0000,448
1995,Defense,Navy,ORG-2936,A8452,"NAVAL AIR WARFARE CENTER, WEAPON",NULL,67198532.0000,567
1995,Defense,Navy,ORG-2936,A8455,"NAVAL AIR WARFARE CENTER, WEAPON",NULL,40169201.0000,172
1995,Defense,Navy,ORG-2936,AA414,DOD/DEPARTMENT OF THE NAVY,NULL,26203082.0000,18
1995,Defense,Navy,ORG-2936,AA436,NAVAL AIR SYSTEMS COMMAND,NULL,150042593.0000,19
1995,Defense,Navy,ORG-2936,AA4E0,NAVAL AIR SYSTEMS COMMAND,NULL,1584581123.0000,80
1995,Defense,Navy,ORG-2936,AA4X0,NAVAL AIR SYSTEMS COMMAND,NULL,-292313.0000,4
1995,Defense,Navy,ORG-2936,AC512,NAVAL AIR SYSTEMS COMMAND,NULL,135212496.0000,26
