,SourceFiscalYear,AccountDSI,MilDeptDW,AccountTitle,Organization,BudgetActivity,BudgetActivityTitle,AGtitle,LineNumber,SAG,SAG.Title,IncludeInTOA,Classified,FiscalYear,OriginType,ActualTotal,EnactedTotal,EnactedType,PBtotal,PBtype,SpecialTotal,SpecialType,BudgetSubActivityTitle,BudgetLineItem,Var.16
1,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces,10,111,Maneuver Units,Y,U,2010,Total,899844,NA,NA,NA,NA,NA,NA,,,NA
2,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces,20,112,Modular Support Brigades,Y,U,2010,Total,93117,NA,NA,NA,NA,NA,NA,,,NA
3,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces,30,113,Echelons Above Brigade,Y,U,2010,Total,616524,NA,NA,NA,NA,NA,NA,,,NA
4,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces,40,114,Theater Level Assets,Y,U,2010,Total,663050,NA,NA,NA,NA,NA,NA,,,NA
5,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces,50,115,Land Forces Operations Support,Y,U,2010,Total,1103992,NA,NA,NA,NA,NA,NA,,,NA
6,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces,60,116,Aviation Assets,Y,U,2010,Total,557380,NA,NA,NA,NA,NA,NA,,,NA
7,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces Readiness,70,121,Force Readiness Operations Support,Y,U,2010,Total,2412740,NA,NA,NA,NA,NA,NA,,,NA
8,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces Readiness,80,122,Land Forces Systems Readiness,Y,U,2010,Total,622499,NA,NA,NA,NA,NA,NA,,,NA
9,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces Readiness,90,123,Land Forces Depot Maintenance,Y,U,2010,Total,661421,NA,NA,NA,NA,NA,NA,,,NA
10,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces Readiness Support,100,131,Base Operations Support,Y,U,2010,Total,9063707,NA,NA,NA,NA,NA,NA,,,NA
11,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces Readiness Support,110,132,"Facilities Sustainment, Restoration, & Modernization",Y,U,2010,Total,2236419,NA,NA,NA,NA,NA,NA,,,NA
12,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces Readiness Support,120,133,Management And Operational Hq,Y,U,2010,Total,329353,NA,NA,NA,NA,NA,NA,,,NA
13,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces Readiness Support,130,134,Combatant Commanders Core Operations,Y,U,2010,Total,154952,NA,NA,NA,NA,NA,NA,,,NA
14,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces Readiness Support,140,135,Additional Activities,Y,U,2010,Total,43207469,NA,NA,NA,NA,NA,NA,,,NA
15,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces Readiness Support,150,136,CommanderS Emergency Response Program,Y,U,2010,Total,699502,NA,NA,NA,NA,NA,NA,,,NA
16,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces Readiness Support,160,137,RESET,Y,U,2010,Total,6762611,NA,NA,NA,NA,NA,NA,,,NA
17,2012,2020,A,"Operation & Maintenance, Army",Army,1,Operating Forces,Land Forces Readiness Support,170,138,Combatant Commanders Ancillary Missions,Y,U,2010,Total,463976,NA,NA,NA,NA,NA,NA,,,NA
18,2012,2020,A,"Operation & Maintenance, Army",Army,2,Mobilization,Mobility Operations,180,211,Strategic Mobility,Y,U,2010,Total,237087,NA,NA,NA,NA,NA,NA,,,NA
19,2012,2020,A,"Operation & Maintenance, Army",Army,2,Mobilization,Mobility Operations,190,212,Army Prepositioning Stocks,Y,U,2010,Total,84218,NA,NA,NA,NA,NA,NA,,,NA
20,2012,2020,A,"Operation & Maintenance, Army",Army,2,Mobilization,Mobility Operations,200,213,Industrial Preparedness,Y,U,2010,Total,5694,NA,NA,NA,NA,NA,NA,,,NA
21,2012,2020,A,"Operation & Maintenance, Army",Army,3,Training and Recruiting,Accession Training,210,311,Officer Acquisition,Y,U,2010,Total,136348,NA,NA,NA,NA,NA,NA,,,NA
22,2012,2020,A,"Operation & Maintenance, Army",Army,3,Training and Recruiting,Accession Training,220,312,Recruit Training,Y,U,2010,Total,57986,NA,NA,NA,NA,NA,NA,,,NA
23,2012,2020,A,"Operation & Maintenance, Army",Army,3,Training and Recruiting,Accession Training,230,313,One Station Unit Training,Y,U,2010,Total,31407,NA,NA,NA,NA,NA,NA,,,NA
24,2012,2020,A,"Operation & Maintenance, Army",Army,3,Training and Recruiting,Accession Training,240,314,Senior Reserve Officers Training Corps,Y,U,2010,Total,489508,NA,NA,NA,NA,NA,NA,,,NA
25,2012,2020,A,"Operation & Maintenance, Army",Army,3,Training and Recruiting,Basic Skills And Advanced Training,250,321,Specialized Skill Training,Y,U,2010,Total,930491,NA,NA,NA,NA,NA,NA,,,NA
26,2012,2020,A,"Operation & Maintenance, Army",Army,3,Training and Recruiting,Basic Skills And Advanced Training,260,322,Flight Training,Y,U,2010,Total,972259,NA,NA,NA,NA,NA,NA,,,NA
27,2012,2020,A,"Operation & Maintenance, Army",Army,3,Training and Recruiting,Basic Skills And Advanced Training,270,323,Professional Development Education,Y,U,2010,Total,159623,NA,NA,NA,NA,NA,NA,,,NA
28,2012,2020,A,"Operation & Maintenance, Army",Army,3,Training and Recruiting,Basic Skills And Advanced Training,280,324,Training Support,Y,U,2010,Total,688529,NA,NA,NA,NA,NA,NA,,,NA
29,2012,2020,A,"Operation & Maintenance, Army",Army,3,Training and Recruiting,Recruiting And Other Training & Education,290,331,Recruiting And Advertising,Y,U,2010,Total,543335,NA,NA,NA,NA,NA,NA,,,NA
30,2012,2020,A,"Operation & Maintenance, Army",Army,3,Training and Recruiting,Recruiting And Other Training & Education,300,332,Examining,Y,U,2010,Total,159283,NA,NA,NA,NA,NA,NA,,,NA
31,2012,2020,A,"Operation & Maintenance, Army",Army,3,Training and Recruiting,Recruiting And Other Training & Education,310,333,Off-Duty And Voluntary Education,Y,U,2010,Total,240941,NA,NA,NA,NA,NA,NA,,,NA
32,2012,2020,A,"Operation & Maintenance, Army",Army,3,Training and Recruiting,Recruiting And Other Training & Education,320,334,Civilian Education And Training,Y,U,2010,Total,213701,NA,NA,NA,NA,NA,NA,,,NA
33,2012,2020,A,"Operation & Maintenance, Army",Army,3,Training and Recruiting,Recruiting And Other Training & Education,330,335,Junior ROTC,Y,U,2010,Total,148950,NA,NA,NA,NA,NA,NA,,,NA
34,2012,2020,A,"Operation & Maintenance, Army",Army,4,Administration and Servicewide Activities,Security Programs,340,411,Security Programs,Y,U,2010,Total,2587944,NA,NA,NA,NA,NA,NA,,,NA
35,2012,2020,A,"Operation & Maintenance, Army",Army,4,Administration and Servicewide Activities,Logistics Operations,350,421,Servicewide Transportation,Y,U,2010,Total,5244414,NA,NA,NA,NA,NA,NA,,,NA
36,2012,2020,A,"Operation & Maintenance, Army",Army,4,Administration and Servicewide Activities,Logistics Operations,360,422,Central Supply Activities,Y,U,2010,Total,607942,NA,NA,NA,NA,NA,NA,,,NA
37,2012,2020,A,"Operation & Maintenance, Army",Army,4,Administration and Servicewide Activities,Logistics Operations,370,423,Logistic Support Activities,Y,U,2010,Total,491071,NA,NA,NA,NA,NA,NA,,,NA
38,2012,2020,A,"Operation & Maintenance, Army",Army,4,Administration and Servicewide Activities,Logistics Operations,380,424,Ammunition Management,Y,U,2010,Total,357840,NA,NA,NA,NA,NA,NA,,,NA
39,2012,2020,A,"Operation & Maintenance, Army",Army,4,Administration and Servicewide Activities,Servicewide Support,390,431,Administration,Y,U,2010,Total,1160817,NA,NA,NA,NA,NA,NA,,,NA
40,2012,2020,A,"Operation & Maintenance, Army",Army,4,Administration and Servicewide Activities,Servicewide Support,400,432,Servicewide Communications,Y,U,2010,Total,1410823,NA,NA,NA,NA,NA,NA,,,NA
41,2012,2020,A,"Operation & Maintenance, Army",Army,4,Administration and Servicewide Activities,Servicewide Support,410,433,Manpower Management,Y,U,2010,Total,378584,NA,NA,NA,NA,NA,NA,,,NA
42,2012,2020,A,"Operation & Maintenance, Army",Army,4,Administration and Servicewide Activities,Servicewide Support,420,434,Other Personnel Support,Y,U,2010,Total,291817,NA,NA,NA,NA,NA,NA,,,NA
43,2012,2020,A,"Operation & Maintenance, Army",Army,4,Administration and Servicewide Activities,Servicewide Support,430,435,Other Service Support,Y,U,2010,Total,1832247,NA,NA,NA,NA,NA,NA,,,NA
44,2012,2020,A,"Operation & Maintenance, Army",Army,4,Administration and Servicewide Activities,Servicewide Support,440,436,Army Claims Activities,Y,U,2010,Total,214062,NA,NA,NA,NA,NA,NA,,,NA
45,2012,2020,A,"Operation & Maintenance, Army",Army,4,Administration and Servicewide Activities,Servicewide Support,450,437,Real Estate Management,Y,U,2010,Total,128393,NA,NA,NA,NA,NA,NA,,,NA
46,2012,2020,A,"Operation & Maintenance, Army",Army,4,Administration and Servicewide Activities,Support Of Other Nations,460,441,Support Of NATO Operations,Y,U,2010,Total,425313,NA,NA,NA,NA,NA,NA,,,NA
