"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"1",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","Y","U",2013,"Total",846963,NA,NA,NA,NA
"2",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2013,"Total",69049,NA,NA,NA,NA
"3",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2013,"Total",540077,NA,NA,NA,NA
"4",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2013,"Total",3628323,NA,NA,NA,NA
"5",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2013,"Total",1451973,NA,NA,NA,NA
"6",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2013,"Total",1042153,NA,NA,NA,NA
"7",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2013,"Total",5061036,NA,NA,NA,NA
"8",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2013,"Total",734355,NA,NA,NA,NA
"9",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2013,"Total",1598057,NA,NA,NA,NA
"10",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2013,"Total",8726710,NA,NA,NA,NA
"11",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration & Modernization","Y","Y","U",2013,"Total",2278104,NA,NA,NA,NA
"12",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management and Operational Headquarters","Y","Y","U",2013,"Total",401891,NA,NA,NA,NA
"13",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","130","130","134","Combatant Commanders Core Operations","Y","Y","U",2013,"Total",160823,NA,NA,NA,NA
"14",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","140","140","135","Additional Activities","Y","Y","U",2013,"Total",15978737,NA,NA,NA,NA
"15",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","150","150","136","Commanders Emergency Response Program","Y","Y","U",2013,"Total",43465,NA,NA,NA,NA
"16",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","160","160","137","RESET","Y","Y","U",2013,"Total",2024164,NA,NA,NA,NA
"17",2015,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","170","170","138","Combatant Commands Direct Mission Support","Y","Y","U",2013,"Total",384054,NA,NA,NA,NA
"18",2015,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","180","180","211","Strategic Mobility","Y","Y","U",2013,"Total",384714,NA,NA,NA,NA
"19",2015,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","190","190","212","Army Prepositioned Stocks","Y","Y","U",2013,"Total",145108,NA,NA,NA,NA
"20",2015,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","200","200","213","Industrial Preparedness","Y","Y","U",2013,"Total",5962,NA,NA,NA,NA
"21",2015,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","210","210","311","Officer Acquisition","Y","Y","U",2013,"Total",99927,NA,NA,NA,NA
"22",2015,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","220","220","312","Recruit Training","Y","Y","U",2013,"Total",57753,NA,NA,NA,NA
"23",2015,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","230","230","313","One Station Unit Training","Y","Y","U",2013,"Total",42060,NA,NA,NA,NA
"24",2015,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","240","240","314","Senior Reserve Officers Training Corps","Y","Y","U",2013,"Total",490440,NA,NA,NA,NA
"25",2015,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","250","250","321","Specialized Skill Training","Y","Y","U",2013,"Total",871329,NA,NA,NA,NA
"26",2015,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","260","260","322","Flight Training","Y","Y","U",2013,"Total",972365,NA,NA,NA,NA
"27",2015,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","270","270","323","Professional Development Education","Y","Y","U",2013,"Total",156073,NA,NA,NA,NA
"28",2015,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","280","280","324","Training Support","Y","Y","U",2013,"Total",662464,NA,NA,NA,NA
"29",2015,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","290","290","331","Recruiting and Advertising","Y","Y","U",2013,"Total",504396,NA,NA,NA,NA
