fiscal_year,ContractCount,obligatedAmount,numberOfActions,ContractCrisisFunding,NIAcrisisFunding,RFisARRA,CrisisFunding
1987,2,-171000.0000,NULL,NULL,NULL,NULL,NULL
1990,217182,120350129405.0000,3,NULL,NULL,NULL,NULL
1993,227903,121373382142.0000,2500,NULL,NULL,NULL,NULL
1996,260836,119666794871.0000,282646,NULL,NULL,NULL,NULL
2003,1178515,316128046352.0984,1157458,NULL,NULL,NULL,NULL
2006,3771911,414102179867.2602,7826202,NULL,NULL,NULL,NULL
2009,3457197,535332516002.3010,5532917,NULL,NULL,NULL,NULL
2012,3095821,509207146418.0161,16298984,NULL,NULL,NULL,NULL
2011,688,628859707.3100,688,ARRA,NULL,NULL,ARRA
2014,247,68125068.2350,231,ARRA,NULL,NULL,ARRA
2017,1,0.0000,1,ARRA,NULL,NULL,ARRA
2001,3,-21276.7813,3,NULL,NULL,1,NULL
2004,8,114858.0000,8,NULL,NULL,1,NULL
2007,37,234973.4180,33,NULL,NULL,1,NULL
2010,7035,779482851.5190,6210,NULL,NULL,1,NULL
2009,26514,15365713184.3497,26773,ARRA,NULL,1,ARRA
2012,5647,863585007.6374,5647,ARRA,NULL,1,ARRA
2015,475,61225261.3886,471,ARRA,NULL,1,ARRA
2013,1,50000.0000,1,ARRA,Disaster,NULL,ARRA
2006,21612,15657101056.9588,21305,NULL,Disaster,NULL,Disaster
2009,8132,1854448042.1473,9144,NULL,Disaster,NULL,Disaster
2012,2935,620047653.0681,2852,NULL,Disaster,NULL,Disaster
2015,1925,509962793.3206,1883,NULL,Disaster,NULL,Disaster
2011,18,39978.9523,18,ARRA,Disaster,1,ARRA
2014,8,-978.3000,8,ARRA,Disaster,1,ARRA
2010,3,37402.0000,3,NULL,Disaster,1,Disaster
2016,5613,1301659487.2999,67138,NULL,OCO,NULL,OCO
2013,2,0.0000,2,ARRA,OCO,1,ARRA
1989,2813,1636683946.0000,NULL,NULL,NULL,NULL,NULL
1992,240574,123406660550.0000,28,NULL,NULL,NULL,NULL
1999,271684,124700768016.4000,289363,NULL,NULL,NULL,NULL
2002,826766,262659534485.9095,808559,NULL,NULL,NULL,NULL
2005,2910744,382510379986.2434,7973019,NULL,NULL,NULL,NULL
2008,4489714,524535553143.5485,8266551,NULL,NULL,NULL,NULL
2015,4362161,438043893297.0317,17704843,NULL,NULL,NULL,NULL
2018,379115,30126271536.6413,674437,NULL,NULL,NULL,NULL
2010,1431,1084421625.8120,1447,ARRA,NULL,NULL,ARRA
2013,281,64966067.8803,250,ARRA,NULL,NULL,ARRA
2003,1,1411931.0000,1,NULL,NULL,1,NULL
