"","PlaceCountryText","GULF OIL SPILL 0410","HAITI EARTHQUAKE 2010","HURRICANE ERNESTO 2006","HURRICANE GUSTAV 2008","HURRICANE IKE 2008","HURRICANE IRENE 2011","HURRICANE ISAAC 2012 ","HURRICANE KATRINA 2005","HURRICANE OPHELIA 2005","HURRICANE RITA 2005","HURRICANE SANDY 2013","HURRICANE WILMA 2005","NONE","OKLAHOMA TORNADO AND STORM 2013","OPERATION ENDURING FREEDOM (OEF)","OPERATION FREEDOM'S SENTINEL (OFS)","OPERATION UNITED ASSISTANCE (OUA) - EBOLA OUTBREAK WEST AFRICA","OPERATIONS IN IRAQ AND SYRIA"
"32","BURMA (MYANMAR)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00051156379803289,NA,NA,NA,NA,NA
"33","BURUNDI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000502301655002061,NA,NA,NA,NA,NA
"34","CAMBODIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0621777065774927,NA,NA,NA,NA,NA
"35","CAMEROON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0235222207620938,NA,NA,NA,NA,NA
"36","CANADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34400347781649e-06,2.95215517291544,1.36280484038143e-05,0.0440478680234576,0.00515181141792221,NA,0.001443511
"37","CAPE VERDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00127388830070742,NA,NA,NA,NA,NA
"38","CENTRAL AFRICAN REPUBLIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215310848741011,NA,NA,NA,0.06660944056,NA
"39","CHAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0127197115417339,NA,NA,NA,NA,NA
"40","CHILE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0134364032477852,NA,NA,NA,NA,NA
"41","CHINA",NA,NA,NA,NA,NA,NA,NA,NA,6.03404879668532e-05,NA,NA,NA,0.0309743378979866,NA,0.000471677572474406,NA,NA,NA
"42","COLOMBIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.386431132248551,NA,2.3307941059952e-05,NA,NA,NA
"43","COMOROS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00147441279101577,NA,NA,NA,NA,NA
"44","CONGO,DEMOCRATIC REPUBLIC OF THE (KINSHASA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000141178056476233,NA,NA,NA,NA,NA
"45","CONGO,REPUBLIC OF THE (BRAZZAVILLE)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00105738552825114,NA,NA,NA,NA,NA
"46","COSTA RICA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0689793323958086,NA,NA,NA,NA,NA
"47","COTE DIVOIRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000528963463820016,NA,NA,NA,NA,NA
"48","CROATIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128000702934989,NA,0,NA,NA,NA
"49","Cuba",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.0279266268966634,NA,0.802336766488075,NA,0.010155329831385,0.00238476819351229,NA,NA
"50","CYPRUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0203078137530607,NA,NA,NA,NA,NA
"51","CZECH REPUBLIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0876761495242279,NA,NA,NA,NA,NA
"52","DENMARK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0794897618067737,NA,NA,NA,NA,NA
"53","DJIBOUTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49533061046855,NA,0.0689663252044833,0.0253545409928155,NA,NA
"54","DOMINICA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000659184233073597,NA,NA,NA,NA,NA
"55","DOMINICAN REPUBLIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011947110239972,NA,NA,NA,NA,NA
"56","EAST TIMOR (TIMOR-LESTE)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0164167787092998,NA,-2.46374769351721e-05,NA,NA,NA
"57","ECUADOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00472653984324833,NA,NA,NA,NA,NA
"58","EGYPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.443476368546236,NA,NA,NA,NA,NA
"59","EL SALVADOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0590052503464691,NA,NA,NA,NA,NA
"60","ESTONIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0324395981320355,NA,NA,NA,NA,NA
"61","ETHIOPIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0227172121473628,NA,0.00242382149019201,NA,NA,NA
"62","FIJI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00244125694165302,NA,NA,NA,NA,NA
"63","FINLAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00967957291096162,NA,NA,NA,NA,NA
"64","FRANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11041471533369,NA,0.00643692401776149,NA,NA,NA
"65","FRENCH POLYNESIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000662809838705983,NA,NA,NA,NA,NA
"66","GABON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129715126312079,NA,NA,NA,NA,NA
"67","GAMBIA,THE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000171263471272485,NA,NA,NA,NA,NA
"68","GEORGIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209546939460502,NA,0.00170815856751424,NA,NA,NA
"69","GERMANY",0,NA,NA,2.71581685192231e-05,NA,NA,NA,NA,0.00024441469,NA,NA,0.00017643017,10.7720796535113,0.00100808192981899,0.0830758932332986,0.0031775899583364,0.02737597182,NA
"70","GHANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022558398878073,NA,NA,NA,0.014315689810684,NA
"71","GIBRALTAR [UNITED KINGDOM]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0244190665586979,NA,NA,NA,NA,NA
"72","GREECE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54766322569499,NA,NA,NA,NA,NA
"73","GREENLAND [DENMARK]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774871153420347,NA,-8.63883191090016e-05,NA,NA,NA
"74","GRENADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00115184653191176,NA,NA,NA,NA,NA
"75","GUAM [United States]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12489881457937e-06,NA,0.104665844085659,NA,3.99258926632698e-06,NA,NA,NA
"76","GUATEMALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0528003744189874,0,5.45344525016717e-06,3.27765069074111e-05,NA,NA
"77","GUINEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000352017411806647,NA,NA,NA,NA,NA
"78","GUINEA-BISSAU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.12547476117996e-06,NA,NA,NA,NA,NA
"79","GUYANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00138357957496335,NA,NA,NA,NA,NA
"80","HAITI",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.63358648268373e-05,NA,NA,NA,NA,NA
"81","HONDURAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238749869150508,1.02466950330705e-05,0.00100851101317481,NA,NA,NA
"82","HONG KONG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231759948889837,NA,NA,NA,NA,NA
"83","HUNGARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00453525606979036,NA,NA,NA,NA,NA
"84","ICELAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0292980519841537,NA,NA,NA,NA,NA
"85","INDIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268102982488743,NA,NA,NA,NA,NA
"86","INDONESIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0337850719669863,NA,NA,NA,NA,NA
"87","IRAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00196317964723076,NA,NA,NA,NA,NA
"88","IRAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000366984531605157,1.68110063477569,NA,-0.0126613159388784,0.00488355217,NA,0.426893793534355
"89","IRELAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0231206760039475,NA,NA,NA,NA,NA
"90","ISRAEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.941908343509676,NA,0.00087381716598734,NA,NA,NA
"91","ITALY",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2.11886265426592,1.3661292566902e-05,0.00936610402600908,0.00192161004297054,NA,NA
"92","JAMAICA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00621757649128247,NA,NA,NA,NA,NA
"93","JAPAN",NA,NA,NA,1.02922076303378e-06,NA,NA,0,NA,0,6.060962e-05,NA,NA,9.12174599396478,0.000429318254833538,0.141761703279343,0.00639451569115223,0,NA
"94","JORDAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71669812732899,NA,0.0173611454039541,-2.2076677306294e-05,NA,0.0298179682965973
"95","KAZAKHSTAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32055579340213,NA,0.00128773225698048,NA,NA,NA
"96","KENYA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0674571741434601,NA,0.0041219861817899,0.0027619604416962,NA,NA
"97","KIRIBATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00345224007825315,NA,NA,NA,NA,NA
"98","KUWAIT",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2835108954257,NA,0.381912670072711,0.112992089166179,NA,0.0347451628574158
"99","KYRGYZSTAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.50556164482709,NA,1.04357360536954,NA,NA,NA
"100","LAOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0420941024025463,NA,NA,NA,NA,NA
"101","LATVIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0198164665208814,NA,NA,NA,NA,NA
"102","LEBANON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0768802648360165,NA,0.000417514222344285,NA,2.175e-05,NA
"103","LESOTHO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000138027999453984,NA,NA,NA,NA,NA
"104","LIBERIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0354599604462572,NA,NA,NA,0.0275491342143591,NA
"105","LIBYA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0545071425776563,NA,NA,NA,NA,NA
"106","LIECHTENSTEIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71215240932591e-05,NA,NA,NA,NA,NA
"107","LITHUANIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0205993198049856,NA,NA,NA,NA,NA
"108","LUXEMBOURG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0420637869832124,NA,NA,NA,NA,NA
"109","MACEDONIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00220609618306142,NA,0.000478065837584286,NA,NA,NA
"110","MADAGASCAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000272845090001052,NA,NA,NA,NA,NA
"111","MALAWI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00476814683814702,NA,NA,NA,NA,NA
"112","MALAYSIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0309129962000542,NA,NA,NA,NA,NA
"113","MALDIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00102164257050748,NA,NA,NA,NA,NA
"114","MALI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000642756494169184,NA,NA,NA,NA,NA
"115","MALTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00911877069302745,NA,NA,NA,NA,NA
"116","MARSHALL ISLANDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228022206882349,NA,8.42130104330671e-06,NA,NA,NA
"117","MAURITANIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0103332749088478,NA,NA,NA,NA,NA
"118","MAURITIUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0111077718525399,NA,NA,NA,NA,NA
"119","MEXICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105604446627076,NA,NA,NA,NA,NA
"120","MICRONESIA,FEDERATED STATES OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00712976104334776,NA,NA,NA,NA,NA
"121","MOLDOVA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0450561606559629,NA,NA,NA,NA,NA
"122","MONACO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.2135269548594e-06,NA,NA,NA,NA,NA
"123","MONGOLIA",NA,NA,NA,NA,NA,NA,NA,3.16556402477839e-05,NA,NA,NA,NA,0.0106485021778268,NA,0.000162995985424626,NA,NA,NA
"124","MONTENEGRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00224893570157664,NA,NA,NA,NA,NA
"125","MOROCCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0249603842205855,NA,NA,NA,NA,NA
"126","MOZAMBIQUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00050889260889453,NA,NA,NA,NA,NA
"127","NAMIBIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61918251390159e-05,NA,NA,NA,NA,NA
"128","NEPAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0202227787701402,NA,NA,NA,NA,NA
"129","NETHERLANDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.409007561141285,NA,6.24438804047841e-05,NA,0.0008530379,NA
"130","NEW CALEDONIA [FRANCE]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000788796888651752,NA,NA,NA,NA,NA
"131","NEW ZEALAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0736075572261749,NA,NA,NA,NA,NA
"132","NICARAGUA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00875389583065663,NA,NA,NA,NA,NA
"133","NIGER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0931264923664659,3.52606486783782e-06,NA,NA,NA,NA
"134","NIGERIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0116674514428503,NA,NA,NA,NA,NA
"135","NORTH KOREA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000226100914146375,NA,NA,NA,NA,NA
"136","NORTHERN MARIANA ISLANDS [UNITED STATES]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0028535651580814,NA,NA,NA,NA,NA
"137","NORWAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104810217663258,NA,0.000475604716303369,NA,NA,NA
"138","OMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750960754927566,NA,0.0212952810309754,0,NA,0
"139","PAKISTAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139604372837395,NA,0.000502280169236866,1.95729271877263e-05,NA,NA
"140","PALAU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0107765462010325,NA,NA,NA,NA,NA
"141","PANAMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124136374377639,NA,NA,NA,NA,NA
"142","PAPUA NEW GUINEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0143765934689558,NA,NA,NA,NA,NA
"143","PARAGUAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00496835006792049,NA,NA,NA,NA,NA
"144","PERU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0612690461452513,0,8.22090977570587e-06,NA,NA,NA
"145","PHILIPPINES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.657554735314022,NA,0.00158693758448346,NA,NA,NA
"146","POLAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304927369994023,NA,0.00557659409394261,3.110197e-05,NA,NA
"147","PORTUGAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191927150579924,NA,NA,NA,NA,NA
"148","PUERTO RICO [UNITED STATES]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0424083279796461,NA,NA,NA,NA,NA
"149","QATAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79046052969835,NA,0.172594526235995,0.0114706749716088,NA,0.00156953194360176
"150","REPUBLIC OF SOUTH SUDAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000192809455906348,NA,NA,NA,NA,NA
"151","ROMANIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494871098362112,NA,0.162758600292845,NA,NA,NA
"152","RUSSIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.923878226088719,NA,NA,NA,NA,NA
"153","RWANDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00224929196719672,NA,NA,NA,NA,NA
"154","SAINT HELENA [UNITED KINGDOM]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0395629452584473,NA,NA,NA,NA,NA
"155","SAINT KITTS AND NEVIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00420748934183074,NA,NA,NA,NA,NA
"156","SAINT LUCIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000230731182111646,NA,NA,NA,NA,NA
"157","SAINT PIERRE AND MIQUELON [FRANCE]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.47636041230728e-06,NA,NA,NA,NA,NA
"158","SAMOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00341111945093244,NA,NA,NA,NA,NA
"159","SAO TOME AND PRINCIPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00107062288521854,NA,NA,NA,NA,NA
"160","SAUDI ARABIA",NA,NA,-2.08403833771415e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71634063607193,2.2196602785767e-06,0.0037991498561405,4.093729e-05,3.72713263364167e-06,-6.8552203034621e-06
"161","SENEGAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040812170379541,NA,NA,NA,0.0019657514,NA
"162","SERBIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0218886914518861,NA,NA,NA,NA,NA
"163","SEYCHELLES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0116667469126836,NA,NA,NA,NA,NA
"164","SIERRA LEONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00449199640889277,NA,NA,NA,NA,NA
"165","SINGAPORE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.678362811898933,0,0.000359525707167527,NA,NA,NA
"166","SLOVAKIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00919320499869896,NA,NA,NA,NA,NA
"167","SLOVENIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00248002551685579,NA,NA,NA,NA,NA
"168","SOLOMON ISLANDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00422829562829667,NA,NA,NA,NA,NA
"169","SOMALIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0886893056519079,NA,0.00206725401513323,0.00203337077207945,NA,NA
"170","SOUTH AFRICA",NA,NA,NA,NA,0.00015640856358032,NA,NA,NA,NA,NA,NA,NA,0.0418140668521127,NA,NA,NA,NA,NA
"171","SOUTH KOREA",5.70717122200717e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.04425213596151,0.000321260142069923,0.0107108170905315,0.0666231121582563,NA,NA
"172","SPAIN",NA,NA,NA,NA,3.21421683605073e-06,NA,NA,NA,NA,NA,NA,NA,1.9338673649176,5.96984889031375e-07,0.00537375960514129,NA,NA,NA
"173","SRI LANKA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00858434060642726,NA,NA,NA,NA,NA
"174","SUDAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000501041520491773,NA,NA,NA,NA,NA
"175","SURINAME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85676981852223e-05,NA,NA,NA,NA,NA
