"","PlaceCountryText","GULF OIL SPILL 0410","HAITI EARTHQUAKE 2010","HURRICANE ERNESTO 2006","HURRICANE GUSTAV 2008","HURRICANE IKE 2008","HURRICANE IRENE 2011","HURRICANE ISAAC 2012 ","HURRICANE KATRINA 2005","HURRICANE OPHELIA 2005","HURRICANE RITA 2005","HURRICANE SANDY 2013","HURRICANE WILMA 2005","NONE","OKLAHOMA TORNADO AND STORM 2013","OPERATION ENDURING FREEDOM (OEF)","OPERATION FREEDOM'S SENTINEL (OFS)","OPERATION UNITED ASSISTANCE (OUA) - EBOLA OUTBREAK WEST AFRICA","OPERATIONS IN IRAQ AND SYRIA"
"1","",0,NA,0,0,0,0,0,0,0,0,0,0,0.255638418277587,0,0,0,0,0
"2","AFGHANISTAN",NA,NA,NA,NA,NA,NA,NA,NA,5.38566820594903e-06,4.24197579460168e-05,-1.02923105534434e-05,NA,30.0085093677886,3.08769316603301e-05,12.8842000558278,1.59206806157313,3.5025e-05,7.1628684075329e-05
"3","ALBANIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0129279597592944,NA,NA,NA,NA,NA
"4","ALGERIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0154065753573413,NA,0.00629839350689326,NA,NA,NA
"5","AMERICAN SAMOA [UNITED STATES]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0180203828377199,NA,NA,NA,NA,NA
"6","ANGOLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00033606138,NA,NA,NA,NA,NA
"7","ANGUILLA [UNITED KINGDOM]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000432015050741446,NA,2.60680939300534e-07,NA,NA,NA
"8","ANTIGUA AND BARBUDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00617530931292002,NA,NA,NA,NA,NA
"9","ARGENTINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0460660192015264,NA,NA,NA,NA,NA
"10","ARMENIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0777077452042916,NA,NA,NA,NA,NA
"11","ARUBA [NETHERLANDS]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00081817379912939,NA,NA,NA,NA,NA
"12","AUSTRALIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356707203931709,NA,0.00331070860817975,NA,NA,NA
"13","AUSTRIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0210578587691527,NA,NA,NA,NA,NA
"14","AZERBAIJAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048257000552698,NA,0.0974077074070369,NA,NA,NA
"15","BAHAMAS,THE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64313400584125,NA,NA,NA,NA,NA
"16","BAHRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56878572450183,NA,0.0158203802404096,NA,NA,0.000277387652750801
"17","BANGLADESH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0498646513948188,NA,NA,NA,NA,NA
"18","BARBADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0385596356814166,NA,NA,NA,NA,NA
"19","BELGIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552418011215012,NA,1.06541019232499e-06,NA,0.00018231206,NA
"20","BELIZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0252546139911564,NA,NA,NA,NA,NA
"21","BENIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00635969067453287,NA,NA,NA,NA,NA
"22","BERMUDA [UNITED KINGDOM]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000300347604421258,NA,NA,NA,NA,NA
"23","BOLIVIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93571555826403e-05,NA,NA,NA,NA,NA
"24","BOSNIA AND HERZEGOVINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0162837419120099,NA,NA,NA,NA,NA
"25","BOTSWANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00184864305118153,NA,0.00780094266982471,NA,NA,NA
"26","BRAZIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109746214504984,NA,NA,NA,NA,NA
"27","BRITISH INDIAN OCEAN TERRITORY [UNITED KINGDOM]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.663366298363251,NA,0.00669421764669192,NA,NA,NA
"28","BRITISH VIRGIN ISLANDS [UNITED KINGDOM]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.45237713156739e-05,NA,NA,NA,NA,NA
"29","BRUNEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00260011414215613,NA,NA,NA,NA,NA
"30","BULGARIA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.269512550424419,NA,-0.000132718438863323,NA,NA,NA
"31","BURKINA FASO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0473060023848323,NA,NA,NA,3.527e-05,NA
