"IsUndefinitizedAction","Customer","Fiscal.Year","Action_Obligation_Then_Year","transactioncount","contactcount","Action_Obligation_OMB20_GDP18","AverageAnnual"
"Unlabeled","Defense",2000,5769539650,5872,3473,7396845705.12821,2129814.48463237
"Unlabeled","Defense",2001,1898189,141,128,2377491.23246493,18574.1502536323
"Unlabeled","Defense",2002,28102108,181,166,34642638.0670611,208690.590765429
"Unlabeled","Defense",2003,2240293,206,195,2712219.1283293,13908.8160427143
"Unlabeled","Defense",2004,0,606,225,0,0
"Unlabeled","Defense",2005,24589913294,29840,18662,28212383311.1519,1511755.61628721
"Unlabeled","Defense",2006,43920,337,211,48827.1261812118,231.40818095361
"Unlabeled","Defense",2007,11724286700,26745,17409,12688621969.697,728854.154155722
"Unlabeled","Defense",2008,11189763,1326,795,11864874.3505461,14924.3702522592
"Unlabeled","Defense",2009,63543792,3682,1077,66607748.427673,61845.6345660845
"Unlabeled","Defense",2010,950532744,6042,1726,987874396.175431,572349.012847874
"Unlabeled","Defense",2011,1617699587,4942,2004,1648359065.62054,822534.463882506
"Unlabeled","Defense",2012,3771437346,7195,3837,3771437346,982913.043002346
"Unlabeled","Defense",2013,698324570,8264,5247,685707551.060487,130685.639615111
"Unlabeled","Defense",2014,853610209,17011,9373,822281291.783065,87728.7199171093
"Unlabeled","Defense",2015,945853694,22316,14662,900212899.971448,61397.6878987483
"Unlabeled","Defense",2016,817430443,31775,18607,770869900.980762,41429.0267630871
"Unlabeled","Defense",2017,1187137382,64964,40828,1099608542.05261,26932.7065262225
"Unlabeled","Defense",2018,322458416,3736,3438,292346705.349048,85033.9457094381
"0","Defense",2000,117214396117,313206,235175,150274866816.667,638991.673505545
"0","Defense",2001,134018528224,340614,258016,167858878036.072,650575.460576368
"0","Defense",2002,160787061153,494080,371888,198208901815.828,532980.095662749
"0","Defense",2003,202465002911,618567,470263,245115015630.751,521229.6430524
"0","Defense",2004,218568550731,744870,571548,258416352247.576,452134.120402094
"0","Defense",2005,228924691234,1378789,1092217,262648796734.741,240473.089811586
"0","Defense",2006,280109128223,1348637,1075693,311405367674.263,289492.789926367
"0","Defense",2007,296887657927,1425837,1097353,321306989098.485,292801.85054261
"0","Defense",2008,361092338299,1571740,1198887,382878102321.069,319361.292866691
"0","Defense",2009,364901826472,1489361,1116569,382496673450.734,342564.296027145
"0","Defense",2010,337841821492,1520813,1120808,351113927969.237,313268.57764152
"0","Defense",2011,351705324525,1509131,1095136,358371025601.182,327238.832073078
"0","Defense",2012,330165762407,1420838,1048294,330165762407,314955.310635184
"0","Defense",2013,289204737755,1291257,959677,283979514684.8,295911.556372404
"0","Defense",2014,273946771743,1312108,994272,263892468686.061,265412.752934872
"0","Defense",2015,268571460885,3167897,2840237,255611935742.838,89996.6924389895
"0","Defense",2016,271660650774,3613470,3284103,256186958481.705,78008.1984279132
"0","Defense",2017,281850199821,3573573,3249099,261069099500.741,80351.2295257058
"0","Defense",2018,319190125384,4199016,3868392,289383613222.122,74807.2101333374
"0","Defense",2019,349225313080,4297385,3946030,310312167300.515,78639.0796067225
"1","Defense",2000,9177040538,1136,574,11765436587.1795,20497276.2842848
"1","Defense",2001,9944427503,1172,541,12455445269.2886,23023004.1946184
"1","Defense",2002,8943680359,1449,636,11025246990.8777,17335294.010814
"1","Defense",2003,9064114009,1575,636,10973503642.8571,17253936.5453729
"1","Defense",2004,11057160036,1956,702,13073019668.9525,18622535.1409579
"1","Defense",2005,11989917373,2566,867,13756215434.8325,15866453.7887341
"1","Defense",2006,14974390755,3203,1306,16647460539.1884,12746906.9978472
"1","Defense",2007,19354648970,7755,3193,20946589794.3723,6560159.65999759
"1","Defense",2008,16551454228,9889,4655,17550052198.0702,3770150.84813538
"1","Defense",2009,16116839957,12932,7159,16893962219.0776,2359821.51404911
"1","Defense",2010,23386424064,22653,12626,24305159077.1149,1925008.6390872
"1","Defense",2011,14851041303,16183,11020,15132505912.9815,1373185.65453552
"1","Defense",2012,23337812955,14775,9664,23337812955,2414922.69815811
"1","Defense",2013,16358732677,12345,8404,16063170342.6944,1911372.00650814
"1","Defense",2014,8248682722,10882,7468,7945942319.62239,1063998.70375233
"1","Defense",2015,4347035761,2486,2125,4137275874.17912,1946953.35255488
"1","Defense",2016,25554236864,16098,10870,24098676786.1184,2216989.58473951
"1","Defense",2017,37591769336,18136,12726,34820090159.3183,2736137.84058764
"1","Defense",2018,38987659314,23875,18291,35346925941.9764,1932476.40599073
"1","Defense",2019,32005978715,22309,17218,28439646983.2948,1651739.28349953
