"","CrisisDisplay","nationalinterestactioncodeText","Fiscal.Year","obligations","annual_share","disaster_share"
"52","Disaster","Hurricane Ophelia 2005",2009,3519222.65089941,0.002,0.032
"53","Disaster","Hurricane Rita 2005",2009,50102698.1572554,0.024,0.028
"54","Disaster","Hurricane Wilma 2005",2009,504988.10807456,0,0
"55","Disaster","Midwest Storms And Flooding 2008",2009,598223800.628951,0.285,0.618
"56","Disaster","American Samoa Earthquake, Tsunami And Flooding",2010,11272173.5834717,0.039,0.938
"57","Disaster","California Wildfires 2008",2010,11574385.1401279,0.04,0.058
"58","Disaster","Gulf Oil Spill 0410",2010,190896114.990545,0.662,0.294
"59","Disaster","Haiti Earthquake 2010",2010,140284504.841797,0.486,0.523
"60","Disaster","Hurricane Chris 2006",2010,29747.6297999448,0,0.003
"61","Disaster","Hurricane Earl 2010",2010,3805956.09893061,0.013,1
"62","Disaster","Hurricane Ernesto 2006",2010,709922.36722069,0.002,0.011
"63","Disaster","Hurricane Gustav 2008",2010,-3895689.12063766,-0.014,-0.011
"64","Disaster","Hurricane Ike 2008",2010,32210776.7592785,0.112,0.025
"65","Disaster","Hurricane Katrina 2005",2010,-142433473.618357,-0.494,-0.006
"66","Disaster","Hurricane Ophelia 2005",2010,6251714.59014302,0.022,0.057
"67","Disaster","Hurricane Rita 2005",2010,22859648.0226819,0.079,0.013
"68","Disaster","Hurricane Wilma 2005",2010,14806755.9186345,0.051,0.009
"69","Disaster","Midwest Storms And Flooding 2008",2010,124924.382197672,0,0
"70","Disaster","American Samoa Earthquake, Tsunami And Flooding",2011,219986.377336365,0,0.018
"71","Disaster","California Wildfires 2008",2011,2430001.09136324,0.002,0.012
"72","Disaster","Gulf Oil Spill 0410",2011,176066255.341145,0.172,0.271
"73","Disaster","Haiti Earthquake 2010",2011,124918554.84075,0.122,0.466
"74","Disaster","Hurricane Ernesto 2006",2011,2291614.73992713,0.002,0.034
"75","Disaster","Hurricane Gustav 2008",2011,-143820.047891535,0,0
"76","Disaster","Hurricane Ike 2008",2011,117970131.794325,0.115,0.091
"77","Disaster","Hurricane Irene 2011",2011,99513492.5564712,0.097,0.471
"78","Disaster","Hurricane Katrina 2005",2011,356320954.999704,0.348,0.015
"79","Disaster","Hurricane Ophelia 2005",2011,3578189.13921104,0.003,0.033
"80","Disaster","Hurricane Rita 2005",2011,48273264.7564337,0.047,0.027
"81","Disaster","Hurricane Wilma 2005",2011,-523207.111463845,-0.001,0
"82","Disaster","Midwest Storms And Flooding 2008",2011,89617.8178986272,0,0
"83","Disaster","Pacific Earthquake/Tsunami 2011",2011,93807816.4242274,0.092,1
"84","Disaster","American Samoa Earthquake, Tsunami And Flooding",2012,218213.050551073,0,0.018
"85","Disaster","California Wildfires 2008",2012,1622043.94279845,0.002,0.008
"86","Disaster","Gulf Oil Spill 0410",2012,190493806.245482,0.287,0.294
"87","Disaster","Haiti Earthquake 2010",2012,2844519.28354981,0.004,0.011
"88","Disaster","Hurricane Ernesto 2006",2012,31753.2882153082,0,0
"89","Disaster","Hurricane Gustav 2008",2012,-1345763.85597624,-0.002,-0.004
"90","Disaster","Hurricane Ike 2008",2012,4629343.16637493,0.007,0.004
"91","Disaster","Hurricane Irene 2011",2012,107089432.417579,0.161,0.507
"92","Disaster","Hurricane Isaac 2012",2012,67846148.1598301,0.102,0.886
"93","Disaster","Hurricane Katrina 2005",2012,176415596.485628,0.265,0.007
"94","Disaster","Hurricane Ophelia 2005",2012,2448587.53977103,0.004,0.023
"95","Disaster","Hurricane Rita 2005",2012,71903314.6828317,0.108,0.041
"96","Disaster","Hurricane Wilma 2005",2012,40382744.6040588,0.061,0.024
"97","Disaster","Midwest Storms And Flooding 2008",2012,0,0,0
"98","Disaster","Pacific Earthquake/Tsunami 2011",2012,0,0,0
"99","Disaster","American Samoa Earthquake, Tsunami And Flooding",2013,0,0,0
"100","Disaster","California Wildfires 2008",2013,868823.932829906,0,0.004
"101","Disaster","Gulf Oil Spill 0410",2013,91265809.1138042,0.039,0.141
"102","Disaster","Hurricane Ernesto 2006",2013,33231.5028463482,0,0
"103","Disaster","Hurricane Gustav 2008",2013,179526.809965779,0,0.001
"104","Disaster","Hurricane Ike 2008",2013,22135097.8707162,0.009,0.017
"105","Disaster","Hurricane Irene 2011",2013,4648996.68953009,0.002,0.022
"106","Disaster","Hurricane Isaac 2012",2013,8738029.69070792,0.004,0.114
"107","Disaster","Hurricane Katrina 2005",2013,424112979.146489,0.18,0.017
"108","Disaster","Hurricane Ophelia 2005",2013,1782736.58856447,0.001,0.016
"109","Disaster","Hurricane Rita 2005",2013,249736.357554135,0,0
"110","Disaster","Hurricane Sandy 2013",2013,1547702316.43336,0.656,0.51
"111","Disaster","Hurricane Wilma 2005",2013,1814293.0466152,0.001,0.001
"112","Disaster","Midwest Storms And Flooding 2008",2013,-1493.69193815747,0,0
"113","Disaster","Oklahoma Tornado And Storm 2013",2013,256870121.270067,0.109,0.944
"114","Disaster","Pacific Earthquake/Tsunami 2011",2013,0,0,0
"115","Disaster","American Samoa Earthquake, Tsunami And Flooding",2014,0,0,0
"116","Disaster","California Wildfires 2008",2014,0,0,0
"117","Disaster","Hurricane Ernesto 2006",2014,-489.55922360847,0,0
"118","Disaster","Hurricane Gustav 2008",2014,5024958.46935274,0.005,0.014
"119","Disaster","Hurricane Hanna 2008",2014,0,0,0
"120","Disaster","Hurricane Ike 2008",2014,6958036.3800384,0.008,0.005
"121","Disaster","Hurricane Katrina 2005",2014,191275982.543283,0.209,0.008
"122","Disaster","Hurricane Ophelia 2005",2014,293361.65477629,0,0.003
"123","Disaster","Hurricane Rita 2005",2014,1701206.28607841,0.002,0.001
"124","Disaster","Hurricane Sandy 2013",2014,693116632.405077,0.758,0.228
"125","Disaster","Hurricane Wilma 2005",2014,162071.365593783,0,0
"126","Disaster","Midwest Storms And Flooding 2008",2014,-12040.9934024964,0,0
"127","Disaster","Oklahoma Tornado And Storm 2013",2014,15296547.2220426,0.017,0.056
"128","Disaster","California Wildfires 2008",2015,1008742.40254588,0.002,0.005
"129","Disaster","Hurricane Ernesto 2006",2015,5858031.61737829,0.011,0.087
"130","Disaster","Hurricane Gustav 2008",2015,2571005.04215046,0.005,0.007
"131","Disaster","Hurricane Ike 2008",2015,5198228.88363089,0.01,0.004
"132","Disaster","Hurricane Katrina 2005",2015,61280141.0208538,0.117,0.003
"133","Disaster","Hurricane Ophelia 2005",2015,345777.119287116,0.001,0.003
"134","Disaster","Hurricane Rita 2005",2015,1360453.97708442,0.003,0.001
"135","Disaster","Hurricane Sandy 2013",2015,446045596.07942,0.85,0.147
"136","Disaster","Hurricane Wilma 2005",2015,1129737.03752469,0.002,0.001
