"AccountDSI","AccountTitle","Organization","SourceFiscalYear","FiscalYear","Base","OCO","OMBbureau","pOCO"
"0100D","Operation and Maintenance, Defense-Wide","DHRA",2016,"2015",668439,15000,"Operations & Maintenance",0.0219478256289149
"0100D","Operation and Maintenance, Defense-Wide","DHRA",2017,"2016",683682,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DISA",2014,"2013",1346847,152925,"Operations & Maintenance",0.101965498755811
"0100D","Operation and Maintenance, Defense-Wide","DISA",2015,"2014",1275465,76348,"Operations & Maintenance",0.0564782259084652
"0100D","Operation and Maintenance, Defense-Wide","DISA",2016,"2015",1238325,36416,"Operations & Maintenance",0.0285673717249229
"0100D","Operation and Maintenance, Defense-Wide","DISA",2017,"2016",1281132,29579,"Operations & Maintenance",0.0225671410402446
"0100D","Operation and Maintenance, Defense-Wide","DLA",2014,"2013",431893,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DLA",2015,"2014",456222,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DLA",2016,"2015",383178,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DLA",2017,"2016",379565,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DLSA",2014,"2013",35137,102322,"Operations & Maintenance",0.744381961166602
"0100D","Operation and Maintenance, Defense-Wide","DLSA",2015,"2014",29590,99538,"Operations & Maintenance",0.7708475311319
"0100D","Operation and Maintenance, Defense-Wide","DLSA",2016,"2015",26667,105000,"Operations & Maintenance",0.797466335528265
"0100D","Operation and Maintenance, Defense-Wide","DLSA",2017,"2016",26063,110000,"Operations & Maintenance",0.808449027288829
"0100D","Operation and Maintenance, Defense-Wide","DMACT",2014,"2013",224013,10823,"Operations & Maintenance",0.0460874823280928
"0100D","Operation and Maintenance, Defense-Wide","DMACT",2015,"2014",214876,9620,"Operations & Maintenance",0.0428515430119022
"0100D","Operation and Maintenance, Defense-Wide","DMACT",2016,"2015",189627,6251,"Operations & Maintenance",0.0319127211835939
"0100D","Operation and Maintenance, Defense-Wide","DMACT",2017,"2016",185491,5960,"Operations & Maintenance",0.0311306809575296
"0100D","Operation and Maintenance, Defense-Wide","DODEA",2014,"2013",2744971,139830,"Operations & Maintenance",0.0484712810346364
"0100D","Operation and Maintenance, Defense-Wide","DODEA",2015,"2014",2705724,100100,"Operations & Maintenance",0.0356757943477567
"0100D","Operation and Maintenance, Defense-Wide","DODEA",2016,"2015",2566880,93000,"Operations & Maintenance",0.0349639833375942
"0100D","Operation and Maintenance, Defense-Wide","DODEA",2017,"2016",2736135,73000,"Operations & Maintenance",0.0259866471351501
"0100D","Operation and Maintenance, Defense-Wide","DPAA",2016,"2015",131185,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DPAA",2017,"2016",115329,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DPMO",2014,"2013",21964,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DPMO",2015,"2014",21347,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DPMO",2016,"2015",0,0,"Operations & Maintenance",
"0100D","Operation and Maintenance, Defense-Wide","DSCA",2014,"2013",557917,2200000,"Operations & Maintenance",0.797703484187523
"0100D","Operation and Maintenance, Defense-Wide","DSCA",2015,"2014",704895,1707000,"Operations & Maintenance",0.707742252461239
"0100D","Operation and Maintenance, Defense-Wide","DSCA",2016,"2015",508632,1660000,"Operations & Maintenance",0.765459515491794
"0100D","Operation and Maintenance, Defense-Wide","DSCA",2017,"2016",504852,1627000,"Operations & Maintenance",0.763186187408882
"0100D","Operation and Maintenance, Defense-Wide","DSS",2014,"2013",499276,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DSS",2015,"2014",547753,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DSS",2016,"2015",527047,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DSS",2017,"2016",546486,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DTRA",2014,"2013",434074,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DTRA",2016,"2015",406274,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DTRA",2017,"2016",412142,1e+05,"Operations & Maintenance",0.195258346318013
"0100D","Operation and Maintenance, Defense-Wide","DTSA",2014,"2013",35319,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DTSA",2015,"2014",34748,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DTSA",2016,"2015",32681,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DTSA",2017,"2016",33564,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","MDA",2014,"2013",259975,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","MDA",2015,"2014",369371,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","MDA",2016,"2015",403513,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","MDA",2017,"2016",424069,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","NDU",2014,"2013",84999,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","NDU",2015,"2014",87488,0,"Operations & Maintenance",0
