"AccountDSI","AccountTitle","Organization","SourceFiscalYear","FiscalYear","Base","OCO","OMBbureau","pOCO"
"1000N","MEDICARE - Retiree Health Care Contribution , N","NAVY",2012,"2011",1841496,0,"Military Personnel",0
"1000N","MEDICARE - Retiree Health Care Contribution , N","NAVY",2013,"2012",1806358,0,"Military Personnel",0
"1000N","MEDICARE - Retiree Health Care Contribution, N","NAVY",2014,"2013",1397183,0,"Military Personnel",0
"1000N","MEDICARE - Retiree Health Care Contribution, N","NAVY",2015,"2014",1298063,0,"Military Personnel",0
"1000N","MEDICARE - Retiree Health Care Contribution, N","NAVY",2016,"2015",1312671,0,"Military Personnel",0
"1000N","MEDICARE - Retiree Health Care Contribution, N","NAVY",2017,"2016",1281468,0,"Military Personnel",0
"1001N","MEDICARE - Retiree Health Care Contribution ,MC","NAVY",2012,"2011",1142321,0,"Military Personnel",0
"1001N","MEDICARE - Retiree Health Care Contribution ,MC","NAVY",2013,"2012",1126083,0,"Military Personnel",0
"1001N","MEDICARE - Retiree Health Care Contribution, MC","NAVY",2014,"2013",810384,65430,"Military Personnel",0.0747076434037364
"1001N","MEDICARE - Retiree Health Care Contribution, MC","NAVY",2015,"2014",739326,39735,"Military Personnel",0.051003708310389
"1001N","MEDICARE - Retiree Health Care Contribution, MC","NAVY",2016,"2015",747832,14261,"Military Personnel",0.0187129392344504
"1001N","MEDICARE - Retiree Health Care Contribution, MC","NAVY",2017,"2016",726196,0,"Military Personnel",0
"1002N","MEDICARE - Retiree Health Care Contribution , N RES","NAVY",2012,"2011",241584,0,"Military Personnel",0
"1002N","MEDICARE - Retiree Health Care Contribution , N RES","NAVY",2013,"2012",236044,0,"Military Personnel",0
"1002N","MEDICARE - Retiree Health Care Contribution, N RES","NAVY",2014,"2013",169342,0,"Military Personnel",0
"1002N","MEDICARE - Retiree Health Care Contribution, N RES","NAVY",2015,"2014",147812,0,"Military Personnel",0
"1002N","MEDICARE - Retiree Health Care Contribution, N RES","NAVY",2016,"2015",124898,0,"Military Personnel",0
"1002N","MEDICARE - Retiree Health Care Contribution, N RES","NAVY",2017,"2016",115519,0,"Military Personnel",0
"1003N","MEDICARE - Retiree Health Care Contribution , MC RES","NAVY",2012,"2011",132115,0,"Military Personnel",0
"1003N","MEDICARE - Retiree Health Care Contribution , MC RES","NAVY",2013,"2012",134710,0,"Military Personnel",0
"1003N","MEDICARE - Retiree Health Care Contribution, MC RES","NAVY",2014,"2013",98428,0,"Military Personnel",0
"1003N","MEDICARE - Retiree Health Care Contribution, MC RES","NAVY",2015,"2014",89108,0,"Military Personnel",0
"1003N","MEDICARE - Retiree Health Care Contribution, MC RES","NAVY",2016,"2015",73966,0,"Military Personnel",0
"1003N","MEDICARE - Retiree Health Care Contribution, MC RES","NAVY",2017,"2016",67797,0,"Military Personnel",0
"1004A","MEDICARE - Retiree Health Care Contribution , A","ARMY",2012,"2011",3189707,0,"Military Personnel",0
"1004A","MEDICARE - Retiree Health Care Contribution , A","ARMY",2013,"2012",3029727,117242,"Military Personnel",0.0372555306391642
"1004A","MEDICARE - Retiree Health Care Contribution, A","ARMY",2014,"2013",2227814,206243,"Military Personnel",0.0847321981366911
"1004A","MEDICARE - Retiree Health Care Contribution, A","ARMY",2015,"2014",1971735,137573,"Military Personnel",0.0652218642322506
"1004A","MEDICARE - Retiree Health Care Contribution, A","ARMY",2016,"2015",1995841,51026,"Military Personnel",0.0249288302561915
"1004A","MEDICARE - Retiree Health Care Contribution, A","ARMY",2017,"2016",1889889,0,"Military Personnel",0
"1005A","MEDICARE - Retiree Health Care Contribution , A RES","ARMY",2012,"2011",719507,0,"Military Personnel",0
"1005A","MEDICARE - Retiree Health Care Contribution , A RES","ARMY",2013,"2012",704167,0,"Military Personnel",0
"1005A","MEDICARE - Retiree Health Care Contribution, A RES","ARMY",2014,"2013",521916,0,"Military Personnel",0
"1005A","MEDICARE - Retiree Health Care Contribution, A RES","ARMY",2015,"2014",471007,0,"Military Personnel",0
"1005A","MEDICARE - Retiree Health Care Contribution, A RES","ARMY",2016,"2015",395088,0,"Military Personnel",0
"1005A","MEDICARE - Retiree Health Care Contribution, A RES","ARMY",2017,"2016",357528,0,"Military Personnel",0
"1006A","MEDICARE - Retiree Health Care Contribution , A GUARD","ARMY",2012,"2011",1253770,0,"Military Personnel",0
"1006A","MEDICARE - Retiree Health Care Contribution , A GUARD","ARMY",2013,"2012",1234220,0,"Military Personnel",0
"1006A","MEDICARE - Retiree Health Care Contribution, A GUARD","ARMY",2014,"2013",909473,0,"Military Personnel",0
"1006A","MEDICARE - Retiree Health Care Contribution, A GUARD","ARMY",2015,"2014",818575,0,"Military Personnel",0
"1006A","MEDICARE - Retiree Health Care Contribution, A GUARD","ARMY",2016,"2015",688865,0,"Military Personnel",0
"1006A","MEDICARE - Retiree Health Care Contribution, A GUARD","ARMY",2017,"2016",629824,0,"Military Personnel",0
"1007F","MEDICARE - Retiree Health Care Contribution , AF","AF",2012,"2011",1862565,0,"Military Personnel",0
"1007F","MEDICARE - Retiree Health Care Contribution , AF","AF",2013,"2012",1839603,0,"Military Personnel",0
"1007F","MEDICARE - Retiree Health Care Contribution, AF","AF",2014,"2013",1441808,0,"Military Personnel",0
"1007F","MEDICARE - Retiree Health Care Contribution, AF","AF",2015,"2014",1316910,0,"Military Personnel",0
"1007F","MEDICARE - Retiree Health Care Contribution, AF","AF",2016,"2015",1274110,0,"Military Personnel",0
"1007F","MEDICARE - Retiree Health Care Contribution, AF","AF",2017,"2016",1239093,0,"Military Personnel",0
"1008F","MEDICARE - Retiree Health Care Contribution , AF RES","AF",2012,"2011",240044,0,"Military Personnel",0
"1008F","MEDICARE - Retiree Health Care Contribution , AF RES","AF",2013,"2012",238794,0,"Military Personnel",0
"1008F","MEDICARE - Retiree Health Care Contribution, AF RES","AF",2014,"2013",173927,0,"Military Personnel",0
"1008F","MEDICARE - Retiree Health Care Contribution, AF RES","AF",2015,"2014",156087,0,"Military Personnel",0
"1008F","MEDICARE - Retiree Health Care Contribution, AF RES","AF",2016,"2015",127214,0,"Military Personnel",0
"1008F","MEDICARE - Retiree Health Care Contribution, AF RES","AF",2017,"2016",117541,0,"Military Personnel",0
"1009F","MEDICARE - Retiree Health Care Contribution , AF GUARD","AF",2012,"2011",387082,0,"Military Personnel",0
"1009F","MEDICARE - Retiree Health Care Contribution , AF GUARD","AF",2013,"2012",378159,0,"Military Personnel",0
"1009F","MEDICARE - Retiree Health Care Contribution, AF GUARD","AF",2014,"2013",274958,0,"Military Personnel",0
"1009F","MEDICARE - Retiree Health Care Contribution, AF GUARD","AF",2015,"2014",249750,0,"Military Personnel",0
"1009F","MEDICARE - Retiree Health Care Contribution, AF GUARD","AF",2016,"2015",216969,0,"Military Personnel",0
"1009F","MEDICARE - Retiree Health Care Contribution, AF GUARD","AF",2017,"2016",203847,0,"Military Personnel",0
"1105N","Military Personnel, Marine Corps","",2012,"2011",-20160,0,"Military Personnel",0
"1105N","Military Personnel, Marine Corps","",2013,"2012",-22485,0,"Military Personnel",0
"1105N","Military Personnel, Marine Corps","NAVY",2012,"2011",12820150,911700,"Military Personnel",0.0663930934287805
"1105N","Military Personnel, Marine Corps","NAVY",2013,"2012",13657621,658638,"Military Personnel",0.0460062925656766
"1105N","Military Personnel, Marine Corps","NAVY",2014,"2013",13718583,1621356,"Military Personnel",0.105695074797885
"1105N","Military Personnel, Marine Corps","NAVY",2015,"2014",12755505,777922,"Military Personnel",0.057481523342166
"1105N","Military Personnel, Marine Corps","NAVY",2016,"2015",12828931,403311,"Military Personnel",0.0304794153553117
"1105N","Military Personnel, Marine Corps","NAVY",2017,"2016",12817521,171079,"Military Personnel",0.0131714734459449
"1108N","Reserve Personnel, Marine Corps","NAVY",2012,"2011",613500,63104,"Military Personnel",0.0932657802791589
"1108N","Reserve Personnel, Marine Corps","NAVY",2013,"2012",644722,23324,"Military Personnel",0.0349137634234768
"1108N","Reserve Personnel, Marine Corps","NAVY",2014,"2013",648668,24722,"Military Personnel",0.0367127518971176
"1108N","Reserve Personnel, Marine Corps","NAVY",2015,"2014",655109,15134,"Military Personnel",0.0225798702858515
"1108N","Reserve Personnel, Marine Corps","NAVY",2016,"2015",660424,5069,"Military Personnel",0.00761690956929675
"1108N","Reserve Personnel, Marine Corps","NAVY",2017,"2016",702481,3393,"Military Personnel",0.00480680688054809
"1405N","Reserve Personnel, Navy","NAVY",2012,"2011",1909301,39450,"Military Personnel",0.020243735602958
"1405N","Reserve Personnel, Navy","NAVY",2013,"2012",1935544,43979,"Military Personnel",0.0222169684312837
"1405N","Reserve Personnel, Navy","NAVY",2014,"2013",1947390,39335,"Military Personnel",0.0197989153003058
"1405N","Reserve Personnel, Navy","NAVY",2015,"2014",1843966,20238,"Military Personnel",0.0108561080225126
"1405N","Reserve Personnel, Navy","NAVY",2016,"2015",1835924,13953,"Military Personnel",0.00754266364736682
"1405N","Reserve Personnel, Navy","NAVY",2017,"2016",1866891,12693,"Military Personnel",0.00675309004545687
"1453N","Military Personnel, Navy","",2012,"2011",-339690,0,"Military Personnel",0
"1453N","Military Personnel, Navy","",2013,"2012",-282803,0,"Military Personnel",0
"1453N","Military Personnel, Navy","NAVY",2012,"2011",25628739,1425596,"Military Personnel",0.0526938104374031
"1453N","Military Personnel, Navy","NAVY",2013,"2012",27086137,1247859,"Military Personnel",0.0440410523104471
"1453N","Military Personnel, Navy","NAVY",2014,"2013",26967370,874625,"Military Personnel",0.0314138767714023
"1453N","Military Personnel, Navy","NAVY",2015,"2014",27201971,558344,"Military Personnel",0.0201130282563436
"1453N","Military Personnel, Navy","NAVY",2016,"2015",27453200,332166,"Military Personnel",0.01195471026007
"1453N","Military Personnel, Navy","NAVY",2017,"2016",27704040,251011,"Military Personnel",0.00897909290167276
"2010A","Military Personnel, Army","",2012,"2011",-245251,0,"Military Personnel",0
"2010A","Military Personnel, Army","",2013,"2012",-245251,0,"Military Personnel",0
"2010A","Military Personnel, Army","ARMY",2012,"2011",41250863,11265602,"Military Personnel",0.214515619053948
"2010A","Military Personnel, Army","ARMY",2013,"2012",43543660,6883272,"Military Personnel",0.136499916354221
"2010A","Military Personnel, Army","ARMY",2014,"2013",43563395,9165082,"Military Personnel",0.173816550779572
"2010A","Military Personnel, Army","ARMY",2015,"2014",40743257,5449725,"Military Personnel",0.117977336903688
"2010A","Military Personnel, Army","ARMY",2016,"2015",41116129,3259970,"Military Personnel",0.0734622932944151
"2010A","Military Personnel, Army","ARMY",2017,"2016",40923483,1846356,"Military Personnel",0.0431695803203748
"2060A","National Guard Personnel, Army","ARMY",2012,"2011",7546905,855294,"Military Personnel",0.101794066053422
"2060A","National Guard Personnel, Army","ARMY",2013,"2012",7585645,629825,"Military Personnel",0.0766632949788631
"2060A","National Guard Personnel, Army","ARMY",2014,"2013",7632069,583804,"Military Personnel",0.0710580604154908
"2060A","National Guard Personnel, Army","ARMY",2015,"2014",7776498,257064,"Military Personnel",0.0319987572137988
"2060A","National Guard Personnel, Army","ARMY",2016,"2015",7643832,174778,"Military Personnel",0.0223541013044518
"2060A","National Guard Personnel, Army","ARMY",2017,"2016",7892327,166015,"Military Personnel",0.0206016324449868
"2070A","Reserve Personnel, Army","ARMY",2012,"2011",4304713,298367,"Military Personnel",0.0648189907627067
"2070A","Reserve Personnel, Army","ARMY",2013,"2012",4289407,196284,"Military Personnel",0.0437578067682326
"2070A","Reserve Personnel, Army","ARMY",2014,"2013",4315658,156893,"Military Personnel",0.0350790857387652
"2070A","Reserve Personnel, Army","ARMY",2015,"2014",4377563,33352,"Military Personnel",0.00756124296206116
"2070A","Reserve Personnel, Army","ARMY",2016,"2015",4317859,24990,"Military Personnel",0.0057542871050778
"2070A","Reserve Personnel, Army","ARMY",2017,"2016",4463164,24462,"Military Personnel",0.00545098900844233
"3500F","Military Personnel, Air Force","",2012,"2011",-363946,0,"Military Personnel",0
"3500F","Military Personnel, Air Force","",2013,"2012",-394790,0,"Military Personnel",0
"3500F","Military Personnel, Air Force","AF",2012,"2011",26538082,1753349,"Military Personnel",0.0619745604243207
"3500F","Military Personnel, Air Force","AF",2013,"2012",28491498,1457672,"Military Personnel",0.0486715324665091
"3500F","Military Personnel, Air Force","AF",2014,"2013",28268660,1286783,"Military Personnel",0.0435379364809386
"3500F","Military Personnel, Air Force","AF",2015,"2014",28461705,832862,"Military Personnel",0.0284305960214397
"3500F","Military Personnel, Air Force","AF",2016,"2015",27376462,728334,"Military Personnel",0.0259149363688674
"3500F","Military Personnel, Air Force","AF",2017,"2016",27446772,726126,"Military Personnel",0.0257739193177784
"3700F","Reserve Personnel, Air Force","AF",2012,"2011",1589412,21003,"Military Personnel",0.0130419798623336
"3700F","Reserve Personnel, Air Force","AF",2013,"2012",1712705,26167,"Military Personnel",0.0150482611716101
"3700F","Reserve Personnel, Air Force","AF",2014,"2013",1723187,25348,"Military Personnel",0.0144967072434924
"3700F","Reserve Personnel, Air Force","AF",2015,"2014",1723159,20432,"Military Personnel",0.0117183444970753
"3700F","Reserve Personnel, Air Force","AF",2016,"2015",1653148,19175,"Military Personnel",0.0114660863959893
"3700F","Reserve Personnel, Air Force","AF",2017,"2016",1682942,18710,"Military Personnel",0.0109951976079715
"3850F","National Guard Personnel, Air Force","AF",2012,"2011",2938229,9500,"Military Personnel",0.00322282000821649
"3850F","National Guard Personnel, Air Force","AF",2013,"2012",3088929,9207,"Military Personnel",0.00297178690670778
"3850F","National Guard Personnel, Air Force","AF",2014,"2013",3107833,10473,"Military Personnel",0.00335855429197776
"3850F","National Guard Personnel, Air Force","AF",2015,"2014",3114421,6919,"Military Personnel",0.00221667617113163
"3850F","National Guard Personnel, Air Force","AF",2016,"2015",3118709,4894,"Military Personnel",0.00156678041351606
"3850F","National Guard Personnel, Air Force","AF",2017,"2016",3201890,2828,"Military Personnel",0.000882448939345053
"0100","Operation & Maintenance, Defense-Wide","",2012,"2011",13977425,3345300,"Operations & Maintenance",0.19311626779274
"0100","Operation & Maintenance, Defense-Wide","BTA",2012,"2011",143441,0,"Operations & Maintenance",0
"0100","Operation & Maintenance, Defense-Wide","CMP",2012,"2011",156043,0,"Operations & Maintenance",0
"0100","Operation & Maintenance, Defense-Wide","DAU",2012,"2011",145896,0,"Operations & Maintenance",0
"0100","Operation & Maintenance, Defense-Wide","DCAA",2012,"2011",486143,27000,"Operations & Maintenance",0.05261691185498
"0100","Operation & Maintenance, Defense-Wide","DCMA",2012,"2011",1112849,74862,"Operations & Maintenance",0.0630304846886153
"0100","Operation & Maintenance, Defense-Wide","DFAS",2012,"2011",1593,0,"Operations & Maintenance",0
"0100","Operation & Maintenance, Defense-Wide","DHRA",2012,"2011",824153,0,"Operations & Maintenance",0
"0100","Operation & Maintenance, Defense-Wide","DISA",2012,"2011",1384450,136316,"Operations & Maintenance",0.0896364069159884
"0100","Operation & Maintenance, Defense-Wide","DLA",2012,"2011",448043,0,"Operations & Maintenance",0
"0100","Operation & Maintenance, Defense-Wide","DLSA",2012,"2011",42404,120469,"Operations & Maintenance",0.739649911280568
"0100","Operation & Maintenance, Defense-Wide","DMACT",2012,"2011",255878,14799,"Operations & Maintenance",0.0546740210656982
"0100","Operation & Maintenance, Defense-Wide","DODEA",2012,"2011",2514537,485769,"Operations & Maintenance",0.161906485538475
"0100","Operation & Maintenance, Defense-Wide","DPMO",2012,"2011",24155,0,"Operations & Maintenance",0
"0100","Operation & Maintenance, Defense-Wide","DSCA",2012,"2011",683853,2e+06,"Operations & Maintenance",0.745197296573248
"0100","Operation & Maintenance, Defense-Wide","DSS",2012,"2011",518743,0,"Operations & Maintenance",0
"0100","Operation & Maintenance, Defense-Wide","DTRA",2012,"2011",463522,1218,"Operations & Maintenance",0.00262082024357705
"0100","Operation & Maintenance, Defense-Wide","DTSA",2012,"2011",37624,0,"Operations & Maintenance",0
"0100","Operation & Maintenance, Defense-Wide","MDA",2012,"2011",0,0,"Operations & Maintenance",
"0100","Operation & Maintenance, Defense-Wide","NDU",2012,"2011",97633,0,"Operations & Maintenance",0
"0100","Operation & Maintenance, Defense-Wide","OEA",2012,"2011",50811,0,"Operations & Maintenance",0
"0100","Operation & Maintenance, Defense-Wide","OSD",2012,"2011",2245300,188099,"Operations & Maintenance",0.0772988728934301
"0100","Operation & Maintenance, Defense-Wide","SOCOM",2012,"2011",3944330,3012026,"Operations & Maintenance",0.432989053464199
"0100","Operation & Maintenance, Defense-Wide","TJS",2012,"2011",420940,20500,"Operations & Maintenance",0.0464389271475172
"0100","Operation & Maintenance, Defense-Wide","UNDD",2012,"2011",-2387323,-850858,"Operations & Maintenance",0.262758011365023
"0100","Operation & Maintenance, Defense-Wide","WHS",2012,"2011",604130,0,"Operations & Maintenance",0
"0100D","Operation & Maintenance, Defense-Wide","",2013,"2012",18421969,6340539,"Operations & Maintenance",0.256053990977004
"0100D","Operation & Maintenance, Defense-Wide","BTA",2013,"2012",0,0,"Operations & Maintenance",
"0100D","Operation & Maintenance, Defense-Wide","CMP",2013,"2012",169344,0,"Operations & Maintenance",0
"0100D","Operation & Maintenance, Defense-Wide","DAU",2013,"2012",123820,0,"Operations & Maintenance",0
"0100D","Operation & Maintenance, Defense-Wide","DCAA",2013,"2012",494704,23478,"Operations & Maintenance",0.0453084051549456
"0100D","Operation & Maintenance, Defense-Wide","DCMA",2013,"2012",1145011,87925,"Operations & Maintenance",0.0713135150567426
"0100D","Operation & Maintenance, Defense-Wide","DFAS",2013,"2012",11975,0,"Operations & Maintenance",0
"0100D","Operation & Maintenance, Defense-Wide","DHRA",2013,"2012",644901,0,"Operations & Maintenance",0
"0100D","Operation & Maintenance, Defense-Wide","DISA",2013,"2012",1357599,164520,"Operations & Maintenance",0.108086161463066
"0100D","Operation & Maintenance, Defense-Wide","DLA",2013,"2012",454328,0,"Operations & Maintenance",0
"0100D","Operation & Maintenance, Defense-Wide","DLSA",2013,"2012",37290,67322,"Operations & Maintenance",0.64353993805682
"0100D","Operation & Maintenance, Defense-Wide","DMACT",2013,"2012",255607,15457,"Operations & Maintenance",0.0570234335802615
"0100D","Operation & Maintenance, Defense-Wide","DODEA",2013,"2012",2777963,267100,"Operations & Maintenance",0.0877157549778116
"0100D","Operation & Maintenance, Defense-Wide","DPMO",2013,"2012",22326,0,"Operations & Maintenance",0
"0100D","Operation & Maintenance, Defense-Wide","DSCA",2013,"2012",529184,2140000,"Operations & Maintenance",0.801743154462188
"0100D","Operation & Maintenance, Defense-Wide","DTSA",2013,"2012",33779,0,"Operations & Maintenance",0
"0100D","Operation & Maintenance, Defense-Wide","MDA",2013,"2012",202342,0,"Operations & Maintenance",0
"0100D","Operation & Maintenance, Defense-Wide","NDU",2013,"2012",93156,0,"Operations & Maintenance",0
"0100D","Operation & Maintenance, Defense-Wide","OEA",2013,"2012",341566,0,"Operations & Maintenance",0
"0100D","Operation & Maintenance, Defense-Wide","OSD",2013,"2012",2216121,143870,"Operations & Maintenance",0.0609620968893525
"0100D","Operation & Maintenance, Defense-Wide","SOCOM",2013,"2012",0,0,"Operations & Maintenance",
"0100D","Operation & Maintenance, Defense-Wide","TJS",2013,"2012",557141,2000,"Operations & Maintenance",0.00357691530401097
"0100D","Operation & Maintenance, Defense-Wide","WHS",2013,"2012",555541,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","",2014,"2013",14000451,2522003,"Operations & Maintenance",0.152640945467302
"0100D","Operation and Maintenance, Defense-Wide","",2015,"2014",13892271,1856666,"Operations & Maintenance",0.117891512296989
"0100D","Operation and Maintenance, Defense-Wide","",2016,"2015",13474732,1617659,"Operations & Maintenance",0.10718374576964
"0100D","Operation and Maintenance, Defense-Wide","",2017,"2016",14085313,1427074,"Operations & Maintenance",0.091995770863633
"0100D","Operation and Maintenance, Defense-Wide","CMP",2014,"2013",161294,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","CMP",2015,"2014",177386,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","CMP",2016,"2015",179088,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","CMP",2017,"2016",195527,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DAU",2014,"2013",147210,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DAU",2015,"2014",150650,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DAU",2016,"2015",135391,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DAU",2017,"2016",137454,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DCAA",2014,"2013",573973,30674,"Operations & Maintenance",0.0507304261825495
"0100D","Operation and Maintenance, Defense-Wide","DCAA",2015,"2014",565649,27781,"Operations & Maintenance",0.046814283066242
"0100D","Operation and Maintenance, Defense-Wide","DCAA",2016,"2015",547393,22847,"Operations & Maintenance",0.0400655864197531
"0100D","Operation and Maintenance, Defense-Wide","DCAA",2017,"2016",566364,18474,"Operations & Maintenance",0.0315882346906323
"0100D","Operation and Maintenance, Defense-Wide","DCMA",2014,"2013",1293196,69803,"Operations & Maintenance",0.0512128035310371
"0100D","Operation and Maintenance, Defense-Wide","DCMA",2015,"2014",1182254,45746,"Operations & Maintenance",0.0372524429967427
"0100D","Operation and Maintenance, Defense-Wide","DCMA",2016,"2015",1286791,21516,"Operations & Maintenance",0.0164456813270891
"0100D","Operation and Maintenance, Defense-Wide","DCMA",2017,"2016",1344451,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DEFW",2014,"2013",-1361018,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DEFW",2016,"2015",88002,1e+06,"Operations & Maintenance",0.919115957507431
"0100D","Operation and Maintenance, Defense-Wide","DEFW",2017,"2016",3e+05,5e+05,"Operations & Maintenance",0.625
"0100D","Operation and Maintenance, Defense-Wide","DFAS",2014,"2013",17513,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","DHRA",2014,"2013",676186,3334,"Operations & Maintenance",0.00490640452083824
"0100D","Operation and Maintenance, Defense-Wide","DHRA",2015,"2014",758596,13000,"Operations & Maintenance",0.0168481951694928
