"SourceFiscalYear","AccountDSI","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","SAG","SAG.Title","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype","SpecialTotal","SpecialType","BudgetSubActivityTitle","BudgetLineItem","Var.16"
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","010","111","Maneuver Units","Y","U",2010,"Total",899844,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","020","112","Modular Support Brigades","Y","U",2010,"Total",93117,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","030","113","Echelons Above Brigade","Y","U",2010,"Total",616524,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","040","114","Theater Level Assets","Y","U",2010,"Total",663050,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","050","115","Land Forces Operations Support","Y","U",2010,"Total",1103992,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","060","116","Aviation Assets","Y","U",2010,"Total",557380,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","070","121","Force Readiness Operations Support","Y","U",2010,"Total",2412740,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","080","122","Land Forces Systems Readiness","Y","U",2010,"Total",622499,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","090","123","Land Forces Depot Maintenance","Y","U",2010,"Total",661421,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","100","131","Base Operations Support","Y","U",2010,"Total",9063707,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","110","132","Facilities Sustainment, Restoration, & Modernization","Y","U",2010,"Total",2236419,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","120","133","Management And Operational Hq","Y","U",2010,"Total",329353,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","130","134","Combatant Commanders Core Operations","Y","U",2010,"Total",154952,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","140","135","Additional Activities","Y","U",2010,"Total",43207469,,,,,,,,,
