"","x.variable","category","primary","secondary","y.variable","ytextposition","cs","rcs",".group"
"1",2000-01-01,"TRUE","OCO","International",1455370937.23632,484490281.105155,1455370937.23632,4217871.81716943,1
"2",2000-01-01,"TRUE","Disaster","Domestic",42383.0571396631,13986.4088560888,42383.0571396631,0,3
"3",2000-01-01,"TRUE","All Other","International",9926570099.27757,4437939169.77858,9926570099.27757,1162171037.01698,4
"4",2000-01-01,"TRUE","All Other","Domestic",171631352979.036,158510056485.378,171631352979.036,101871710002.296,5
"5",2000-01-01,"FALSE","OCO","International",4217871.81716953,1391897.69966595,1459588809.05349,0,1
"6",2000-01-01,"FALSE","OCO","Domestic",68117409.1444654,22478745.0176736,68117409.1444654,0,2
"7",2000-01-01,"FALSE","All Other","International",1162171037.01698,383516442.215603,11088741136.2946,0,4
"8",2000-01-01,"FALSE","All Other","Domestic",101871710002.296,33617664300.7577,273503062981.332,0,5
"9",2001-01-01,"TRUE","OCO","International",1084425809.36568,373084823.367648,1084425809.36568,15224306.2769742,6
"10",2001-01-01,"TRUE","OCO","Domestic",0,0,0,0,7
"11",2001-01-01,"TRUE","All Other","International",8866011200.31895,4392162226.76012,8866011200.31895,1466378530.65487,9
"12",2001-01-01,"TRUE","All Other","Domestic",184817211076.961,167251069446.811,184817211076.961,106261389791.413,10
"13",2001-01-01,"FALSE","OCO","International",15224306.2769741,5024021.07140145,1099650115.64265,0,6
"14",2001-01-01,"FALSE","OCO","Domestic",0,0,0,0,7
"15",2001-01-01,"FALSE","Recovery","Domestic",-28812.8478341275,-9508.23978526209,-28812.8478341275,0,8
"16",2001-01-01,"FALSE","All Other","International",1466378530.65486,483904915.116105,10332389730.9738,0,9
"17",2001-01-01,"FALSE","All Other","Domestic",106261389791.413,35066258631.1664,291078600868.375,0,10
"18",2002-01-01,"TRUE","OCO","International",2333124464.88949,955273481.465446,2333124464.88949,185342408.051913,11
"19",2002-01-01,"TRUE","OCO","Domestic",1906741.98712217,959909.681136897,1906741.98712217,330684.825386582,12
"20",2002-01-01,"TRUE","Disaster","Domestic",20395194.0006128,6733081.47866303,20395194.0006128,2667.45846081153,13
"21",2002-01-01,"TRUE","All Other","International",10374521610.6992,5931335424.05253,10374521610.6992,2507743292.52179,14
"22",2002-01-01,"TRUE","All Other","Domestic",213557090107.39,193490956454.791,213557090107.39,123017116719.353,15
"23",2002-01-01,"FALSE","OCO","International",185342408.051913,61162994.6571314,2518466872.94141,0,11
"24",2002-01-01,"FALSE","OCO","Domestic",330684.825386582,109125.992377572,2237426.81250875,0,12
"25",2002-01-01,"FALSE","Disaster","Domestic",2667.45846080973,880.26129206721,20397861.4590736,0,13
"26",2002-01-01,"FALSE","All Other","International",2507743292.52179,827555286.53219,12882264903.221,0,14
"27",2002-01-01,"FALSE","All Other","Domestic",123017116719.353,40595648517.3864,336574206826.742,0,15
"28",2003-01-01,"TRUE","OCO","International",9472640061.43419,3801564136.67359,9472640061.43419,675592916.400303,16
"29",2003-01-01,"TRUE","OCO","Domestic",197434331.847219,67732574.4665302,197434331.847219,2579244.95694777,17
"30",2003-01-01,"TRUE","Disaster","Domestic",30057487.8000497,9918970.97401639,30057487.8000497,0,18
"31",2003-01-01,"TRUE","All Other","International",12622334867.468,7239911451.66149,12622334867.468,3074540945.39705,20
"32",2003-01-01,"TRUE","All Other","Domestic",254214047908.672,218586387900.967,254214047908.672,134695752091.105,21
"33",2003-01-01,"FALSE","OCO","International",675592916.400303,222945662.4121,10148232977.8345,0,16
"34",2003-01-01,"FALSE","OCO","Domestic",2579244.95694777,851150.835792764,200013576.804167,0,17
"35",2003-01-01,"FALSE","Recovery","Domestic",1846311.20188327,609282.69662148,1846311.20188327,0,19
"36",2003-01-01,"FALSE","All Other","International",3074540945.39705,1014598511.98103,15696875812.8651,0,20
"37",2003-01-01,"FALSE","All Other","Domestic",134695752091.105,44449598190.0647,388909799999.777,0,21
"38",2004-01-01,"TRUE","OCO","International",19154225946.9689,7263691435.19249,19154225946.9689,942796872.692772,22
"39",2004-01-01,"TRUE","OCO","Domestic",496396303.088861,442419596.262981,496396303.088861,278608816.243657,23
"40",2004-01-01,"TRUE","Disaster","Domestic",50236120.7444013,17332408.8644228,50236120.7444013,754489.018770389,24
