"","ContractingCustomer","ContractingSubCustomer","Contracting.Agency.ID","MajorCommandCode","MajorCommandName","ContractingOfficeID","ContractingOfficeCode","ContractingOfficeName","Total","OCO","MinOfTotalFiscalYear","MaxOfTotalFiscalYear","MinOfOCOfiscalYear","MaxOfOCOfiscalYear","OCOrate"
"6238","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00565S",NA,NA,0.0137321121841878,0,2006,2010,NA,NA,0
"6239","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00573S",NA,NA,0.213314012672721,0,2006,2011,NA,NA,0
"6240","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00593P",NA,NA,0.00594945596590677,0,2006,2007,NA,NA,0
"6241","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00608S",NA,NA,0.020697387503933,0,2006,2011,NA,NA,0
"6242","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00613S",NA,NA,0.0465003969845728,0,2006,2011,NA,NA,0
"6243","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00618S",NA,NA,0.155741734496663,0,2006,2011,NA,NA,0
"6244","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00637S",NA,NA,0.0443524753045812,0,2006,2010,NA,NA,0
"6245","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00648S",NA,NA,0.0915820271624828,0,2006,2010,NA,NA,0
"6246","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00653P",NA,NA,0.00438158978395137,0,2006,2007,NA,NA,0
"6247","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00659S",NA,NA,0.137777688942945,0,2006,2010,NA,NA,0
"6248","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00666S",NA,NA,0.0102763402687669,0,2006,2011,NA,NA,0
"6249","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00667P",NA,NA,0.0134217016717769,0,2006,2014,NA,NA,0
"6250","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00671S",NA,NA,0.174813928485725,0,2006,2010,NA,NA,0
"6251","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00673S",NA,NA,0.232791225708808,0,2006,2011,NA,NA,0
"6252","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00674S",NA,NA,0.0986414024750047,7.90802796068822e-06,2006,2011,2010,2010,8.0169459904953e-05
"6253","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00687P",NA,NA,0.00173786166310374,0,2005,2007,NA,NA,0
"6254","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00761S",NA,NA,0.00899857123091457,0,2006,2011,NA,NA,0
"6255","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00763S",NA,NA,0.0158498337703641,0,2006,2010,NA,NA,0
"6256","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00776S",NA,NA,0.0773563637787395,0,2006,2010,NA,NA,0
"6257","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00673P",NA,NA,0.0635681037302495,0,2005,2016,NA,NA,0
"6258","State and IAP","State","Uncategorized","Uncategorized","Uncategorized","JA505",NA,NA,0.0022095808961677,0,2005,2016,NA,NA,0
"6259","State and IAP","State","Uncategorized","Uncategorized","Uncategorized","JA507",NA,NA,0.00192445536436032,0,2005,2016,NA,NA,0
"6260","State and IAP","State","Uncategorized","Uncategorized","Uncategorized","JA580",NA,NA,0.00988608257946807,0,2005,2016,NA,NA,0
"6261","State and IAP","State","Uncategorized","Uncategorized","Uncategorized","JA705",NA,NA,0.00376439043257802,0,2005,2016,NA,NA,0
"6262","Other Agencies","Interior","Uncategorized","Uncategorized","Uncategorized","NM520",NA,NA,0.00414796312457355,0,2005,2016,NA,NA,0
"6263","Other Agencies","Justice","Uncategorized","Uncategorized","Uncategorized","DEA-PH",NA,NA,0.000154264657081712,0,2005,2005,NA,NA,0
"6264","Other Agencies","Justice","Uncategorized","Uncategorized","Uncategorized","MS039",NA,NA,0.000671371346661653,0,2005,2015,NA,NA,0
"6265","Defense","DLA","97AS","DLA STRATEGIC MATRLS","DLA STRATEGIC MATERIALS","SP8000",NA,"DLA STRATEGIC MATERIALS",0.109705811069262,4.73258837835443e-06,2006,2014,2008,2008,4.31389033290728e-05
"6266","Defense","DLA","97AS","DLA TROOP SUPT C&E","DLA TROOP SUPPORT CONSTRUCTION & EQUIPMENT","SPM5E3",NA,NA,0.000160411357800584,0,2006,2007,NA,NA,0
"6267","Defense","DLA","97AS","DLA LAND","DLA LAND","SPM7L3",NA,NA,1.23968315597662,0.000699483502446167,2006,2014,2011,2014,0.000564243773962642
"6268","Defense","DLA","97AS","DLA LAND","DLA LAND","SPM7LX",NA,NA,0.67699086932788,0,2006,2014,2014,2014,0
"6269","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00796S",NA,NA,0.0109545681297612,0,2006,2010,NA,NA,0
"6270","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00243P",NA,NA,0.0729045062703963,0,2005,2007,NA,NA,0
"6271","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00460P",NA,NA,0.00427512485352812,0,2005,2007,NA,NA,0
"6272","State and IAP","State","Uncategorized","Uncategorized","Uncategorized","PK500",NA,NA,0.00715926354125491,1.94647427382005e-05,2005,2016,2010,2010,0.0027188191391525
"6273","State and IAP","USAID","Uncategorized","Uncategorized","Uncategorized","649",NA,NA,0.00132237135294816,0,2005,2006,NA,NA,0
