"","OMBbureau","SourceFiscalYear","FiscalYear","Base","OCO"
"1","Military Personnel",2012,"2011",135181038,16642965
"2","Military Personnel",2013,"2012",141818404,11293469
"3","Military Personnel",2014,"2013",139918046,14060094
"4","Military Personnel",2015,"2014",135911527,8149300
"5","Military Personnel",2016,"2015",134962072,5031927
"6","Military Personnel",2017,"2016",135330213,3222673
"7","Operations & Maintenance",2012,"2011",184960729,109648488
"8","Operations & Maintenance",2013,"2012",197871987,87132652
"9","Operations & Maintenance",2014,"2013",199169928,63986203
"10","Operations & Maintenance",2015,"2014",195263995,69682894
"11","Operations & Maintenance",2016,"2015",195487638,51745357
"12","Operations & Maintenance",2017,"2016",198530109,46472636
"13","Revolving Funds",2012,"2011",3118762,1449436
"14","Revolving Funds",2013,"2012",2640085,435013
"15","Revolving Funds",2014,"2013",2716103,503364
"16","Revolving Funds",2015,"2014",2246427,264910
"17","Revolving Funds",2016,"2015",2134480,91350
"18","Revolving Funds",2017,"2016",2212932,88850
"19","Procurement",2012,"2011",104789161,29374960
"20","Procurement",2013,"2012",106132202,16075445
"21","Procurement",2014,"2013",105889212,9587241
"22","Procurement",2015,"2014",93676482,7112381
"23","Procurement",2016,"2015",94821073,8158155
"24","Procurement",2017,"2016",117481331,8128888
"25","RDT&E",2012,"2011",81307939,518294
"26","RDT&E",2013,"2012",74036863,526358
"27","RDT&E",2014,"2013",74116081,245516
"28","RDT&E",2015,"2014",65196138,135134
"29","RDT&E",2016,"2015",66036426,322373
"30","RDT&E",2017,"2016",72465107,231434
"31","Military Construction",2013,"2012",13892242,269703
"32","Military Construction",2016,"2015",6926267,221000
