"","ProductOrServiceArea","ProductOrServiceCode","ProductOrServiceCodeText","Total","OCO","MinOfTotalFiscalYear","MaxOfTotalFiscalYear","MinOfOCOfiscalYear","MaxOfOCOfiscalYear","OCOrate"
"1","Aircraft","1270","AIRCRAFT GUNNERY FIRE CONT COMPS",2.10389476987042,0.00239996154751237,2000,2016,2007,2016,0.0011407231872439
"2","Aircraft","1280","AIRCRAFT BOMBING FIRE CONT COMPS",0.295459488671748,2.33318851397306e-05,2000,2016,2007,2016,7.89681361888906e-05
"3","Aircraft","1510","AIRCRAFT, FIXED WING",352.372361941242,0.145926256992022,2000,2016,2006,2016,0.000414125149282723
"4","Aircraft","1520","AIRCRAFT, ROTARY WING",91.8277635354176,0.0514275998826584,2000,2016,2007,2016,0.000560044129386022
"5","Aircraft","1540","GLIDERS",0.205656645254303,0,2001,2016,2012,2012,0
"6","Aircraft","1550","DRONES",19.4107831692161,1.35468473205881,2000,2016,2007,2016,0.0697903181056203
"7","Aircraft","1555","Space Vehicles",0.019209353511105,6.71514653327351e-06,2016,2016,2016,2016,0.000349576914672919
"8","Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS",45.4119590157884,0.121105656831843,2000,2016,2004,2016,0.0026668230011777
"9","Aircraft","1610","AIRCRAFT PROPELLERS AND COMPONENTS",1.90216604372227,0.0116618950616563,2000,2016,2006,2013,0.00613085019583023
"10","Aircraft","1615","HELICOPTER ROTOR BLADES, DRIVE MECHANISMS AND COMPONENTS",12.4491050173671,0.027778774780354,2000,2016,2006,2016,0.00223138729584185
"11","Aircraft","1620","AIRCRAFT LANDING GEAR COMPONENTS",3.90775569354098,-9.37373297864147e-05,2000,2016,2007,2014,-2.39875102584715e-05
"12","Aircraft","1630","AIRCRAFT WHEEL AND BRAKE SYSTEMS",3.03431163253588,0.00192385265874154,2000,2016,2006,2016,0.000634032654429008
"13","Aircraft","1640","AIRCRAFT CONTROL CABLE PRODUCTS",0.0466743430823619,0.00046267618687923,2002,2016,2008,2016,0.00991285910682852
"14","Aircraft","1650","AIRCRAFT HYDRAULIC VACUUM DE-ICING",4.18914412099377,0.0105782608442841,2000,2016,2003,2016,0.00252516040001379
"15","Aircraft","1660","AIRCRAFT AIR CONDITION HEATING EQ",2.16545581837721,0.00592556556296707,2000,2016,2006,2016,0.0027364056623458
"16","Aircraft","1670","PARACHUTE RECOVER SYS & TIE DOWN EQ",3.90685606317222,0.000569099777319373,2000,2016,2006,2016,0.000145666942451237
"17","Aircraft","1675","Space Vehicle Component",0.00567570599960561,0,2016,2016,NA,NA,0
"18","Aircraft","1677","Space Vehicle Remote Control Systems",0.0001255286732086,0,2016,2016,NA,NA,0
"19","Aircraft","1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS",57.5321380456994,0.275502397141493,2000,2016,2003,2016,0.00478866954192896
"20","Aircraft","1710","AIRCRAFT LANDING EQUIPMENT",2.81798039431457,0.0755924766410445,2000,2016,2006,2016,0.0268250541393249
"21","Aircraft","1720","AIRCRAFT LAUNCHING EQUIPMENT",2.77122836459716,0.0074167090416009,2000,2016,2008,2016,0.00267632546503581
"22","Aircraft","1725","Space Vehicle Launchers",9.34854071284035e-05,0,2016,2016,NA,NA,0
"23","Aircraft","1730","AIRCRAFT GROUND SERVICING EQUIPMENT",4.2806035689791,0.00933079869069375,2000,2016,2004,2016,0.00217978575692285
"24","Aircraft","1735","Space Vehicle Handling and Servicing Equipment",0.0184399398916246,5.1894420824204e-06,2016,2016,2016,2016,0.000281424023772302
"25","Aircraft","1740","AIRFIELD SPECIAL TRUCKS & TRAILERS",0.612152700074809,0.00167111976955963,2000,2016,2008,2016,0.00272990671993345
"26","Aircraft","4920","AIRCRAFT MAINT & REP SHOP EQ",7.74104794929297,0.013879655330873,2000,2016,2006,2016,0.00179299436223498
"27","Aircraft","5821","RADIO & TV EQ AIRBORNE",10.3094384744369,0.0235795422966316,2000,2016,2004,2016,0.00228718007824569
"28","Aircraft","5826","RADIO NAVIGATION EQ AIR",5.06124766389646,0.0469035116610671,2000,2016,2006,2015,0.00926718366217194
"29","Aircraft","5831","INTERCOMM PUBLIC ADDRESS SYS - AIR",0.163214922081554,0.00027717150541593,2000,2016,2006,2016,0.00169819953887203
"30","Aircraft","5841","RADAR EQUIPMENT, AIRBORNE",14.2995296090147,0.118118988178302,2000,2016,2004,2016,0.00826034082294834
"31","Aircraft","6340","AIRCRAFT ALARM AND SIGNAL SYSTEMS",0.85054512233834,0.000383582543892343,2000,2016,2006,2013,0.000450984355583379
"32","Aircraft","6610","FLIGHT INSTRUMENTS",1.95188128773282,0.00227954607237162,2000,2016,2006,2015,0.0011678712669147
"33","Aircraft","6615","AUTO PILOT MECHANISMS AIRBORNE GYRO",1.03518125808138,0.0276572146529322,2000,2016,2007,2015,0.0267172675674137
"34","Clothing & Subsistence","65","MEDICAL/DENTAL/VETERINARY EQPT/SUPP",1.43314375214271e-05,0,2005,2006,NA,NA,0
"35","Clothing & Subsistence","6505","DRUGS AND BIOLOGICALS",164.829709643568,0.0091329865183981,2000,2016,2004,2016,5.54086186170411e-05
"36","Clothing & Subsistence","6506","BLOOD",0.266395429333858,0.000246011786455965,2000,2016,2008,2008,0.000923483511226664
"37","Clothing & Subsistence","6507","BLOOD DERIVATIVES",0.0494079289361186,-3.37860471950596e-05,2000,2016,2007,2011,-0.000683818324762062
"38","Clothing & Subsistence","6508","MEDICATED COSMETICS AND TOILETRIES",0.0499406656815629,-2.06979378168544e-05,2000,2016,2010,2010,-0.000414450579189929
"39","Clothing & Subsistence","6509","DRUGS AND BIOLOGICALS, VETERINARY USE",0.0504475478601033,0.000169557082254443,2007,2016,2008,2014,0.00336105696801445
"40","Clothing & Subsistence","6510","SURGICAL DRESSING MATERIALS",0.344678123537413,0.000519305344290391,2000,2016,2006,2015,0.00150663853847407
"41","Clothing & Subsistence","6515","MED & SURGICAL INSTRUMENTS,EQ & SUP",40.3602595861674,0.0716990177379452,2000,2016,2003,2016,0.00177647563402983
"42","Clothing & Subsistence","6520","DENTAL INSTRUMENTS EQ & SUPPLIES",0.849606598345774,0.00226111096824122,2000,2016,2004,2016,0.00266136229714284
"43","Clothing & Subsistence","6525","IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",10.8893190605582,0.00266132265786684,2000,2016,2004,2016,0.000244397527803764
"44","Clothing & Subsistence","6530","HOSP FURNITURE,EQ,UTENSILS & SUP",5.75937577503966,0.00616069390356895,2000,2016,2003,2016,0.00106968083768185
"45","Clothing & Subsistence","6532","HOSPITAL & SURGICAL CLOTHING",0.147898382692272,0.000216203681561683,2000,2016,2006,2015,0.00146183939016785
"46","Clothing & Subsistence","6540","OPHTHALMIC INSTRUMENTS, EQUIPMENT, AND SUPPLIES",0.824312037009127,0.00561575749643843,2000,2016,2005,2016,0.0068126598233531
"47","Clothing & Subsistence","6545","MEDICAL SETS KITS & OUTFITS",5.27966283236023,0.0118810943896951,2000,2016,2006,2016,0.00225035097257977
"48","Clothing & Subsistence","6550","IN VITRO DIAGNO SUBSTANCES,REAGENTS",1.81944998640947,0.00147893939923058,2000,2016,2006,2016,0.000812849712977902
"49","Clothing & Subsistence","83","TEXTILE/LEATHER/FUR; TENT; FLAG",2.91641708435553e-06,0,2005,2005,NA,NA,0
"50","Clothing & Subsistence","8305","TEXTILE FABRICS",2.6170911277418,0.00387342182029367,2000,2016,2006,2016,0.00148004850852706
"51","Clothing & Subsistence","8310","YARD AND THREAD",0.130959689416873,0,2000,2016,NA,NA,0
"52","Clothing & Subsistence","8315","NOTIONS AND APPAREL FINDINGS",0.145563530225267,5.44406158077898e-05,2000,2016,2009,2016,0.000373999007330614
"53","Clothing & Subsistence","8320","PADDING AND STUFFING MATERIALS",0.0242650645242001,2.16075879068435e-05,2000,2016,2006,2007,0.000890481370255324
"54","Clothing & Subsistence","8325","FUR MATERIALS",0.00205978589057825,0,2000,2016,NA,NA,0
"55","Clothing & Subsistence","8330","LEATHER",0.0318174119305281,6.42670115162732e-05,2000,2016,2008,2014,0.0020198692356436
"56","Clothing & Subsistence","8335","SHOE FINDINGS AND SOLING MATERIALS",0.00699384726057236,6.45629595057687e-05,2000,2016,2010,2011,0.00923139398106973
"57","Clothing & Subsistence","8340","TENTS AND TARPAULINS",3.60009802759394,0.0698678115942445,2000,2016,2003,2016,0.0194071969870608
"58","Clothing & Subsistence","8345","FLAGS AND PENNANTS",0.325500363972596,0.000206032899007969,2000,2016,2004,2016,0.000632972868274012
"59","Clothing & Subsistence","8405","OUTERWEAR, MEN'S",4.45036189617844,0.0617506836398005,2000,2016,2006,2016,0.0138754297022061
"60","Clothing & Subsistence","8410","OUTERWEAR, WOMEN'S",0.73411759486934,2.59528670719995e-05,2000,2016,2008,2016,3.53524656722315e-05
"61","Clothing & Subsistence","8415","CLOTHING, SPECIAL PURPOSE",20.8908156537665,0.0240933528276032,2000,2016,2004,2016,0.00115329880972165
"62","Clothing & Subsistence","8420","UNDERWEAR AND NIGHTWEAR, MEN'S",0.433447119827757,0.000152654056401888,2000,2016,2011,2011,0.000352186113181579
"63","Clothing & Subsistence","8425","UNDERWEAR AND NIGHTWEAR, WOMEN'S",0.0175446289836843,2.15800881211801e-05,2000,2016,2006,2006,0.00123001108437509
"64","Clothing & Subsistence","8430","FOOTWEAR, MEN'S",3.51142297584762,0.0125528351041848,2000,2016,2004,2015,0.00357485702819801
"65","Clothing & Subsistence","8435","FOOTWEAR, WOMEN'S",0.136430469858857,0,2000,2016,NA,NA,0
"66","Clothing & Subsistence","8440","HOSIERY HANDWEAR & CLOTHING ACC-MEN",0.45541534048646,-0.000198526106211202,2000,2016,2007,2013,-0.000435923186072614
"67","Clothing & Subsistence","8445","HOSIERY HANDWEAR-CLOTHING ACC-WOMEN",0.0267171444134477,0,2000,2016,2012,2012,0
"68","Clothing & Subsistence","8450","CHILDREN & INFANTS APPAREL & ACC",0.0293579890124653,5.21817939671102e-05,2002,2016,2009,2011,0.00177743080239434
"69","Clothing & Subsistence","8455","BADGES AND INSIGNIA",0.474739094052966,0.000580785748975141,2000,2016,2006,2016,0.00122337881217413
"70","Clothing & Subsistence","8460","LUGGAGE",0.282373399702693,4.65217982728414e-05,2000,2016,2007,2014,0.000164752764679051
"71","Clothing & Subsistence","8465","INDIVIDUAL EQUIPMENT",6.89675253453037,0.00724010687092568,2000,2016,2004,2016,0.0010497849291643
"72","Clothing & Subsistence","8470","ARMOR, PERSONAL",12.212708778013,0.0600367484195222,2000,2016,2004,2016,0.00491592401905206
