"","dFYear","DecisionTreeDisplay","NoCompOffr","obligations","share"
"62",2010-01-01,"Disaster","5+ Offers",-1389856.30824185,-0.00486602230921953
"63",2010-01-01,"Disaster","Unlabeled",27683374.7938693,0.0969221915550804
"64",2010-01-01,"Recovery","Urgency",18866271.1132027,0.00102290128418902
"65",2010-01-01,"Recovery","No Comp. (Other)",1584876436.26718,0.0859296536242454
"66",2010-01-01,"Recovery","1 Offer",1629714445.49287,0.0883607040921538
"67",2010-01-01,"Recovery","2-4 Offers",6236528133.92913,0.338135320901476
"68",2010-01-01,"Recovery","5+ Offers",8138624478.74069,0.441264168254751
"69",2010-01-01,"Recovery","Unlabeled",835272752.563594,0.0452872518431839
"70",2011-01-01,"OCO","Urgency",834325101.963968,0.0194805938990185
"71",2011-01-01,"OCO","No Comp. (Other)",4401043155.06219,0.102759624796144
"72",2011-01-01,"OCO","1 Offer",5022966112.97099,0.11728085704839
"73",2011-01-01,"OCO","2-4 Offers",14118668146.7392,0.329655718033895
"74",2011-01-01,"OCO","5+ Offers",15174698605.1236,0.354312893583756
"75",2011-01-01,"OCO","Unlabeled",3276823834.25054,0.0765103126387973
"76",2011-01-01,"Disaster","Urgency",-4883884.76954127,-0.00477057240032013
"77",2011-01-01,"Disaster","No Comp. (Other)",86069545.5178559,0.0840726220479906
"78",2011-01-01,"Disaster","1 Offer",31022859.2902332,0.0303030893013682
"79",2011-01-01,"Disaster","2-4 Offers",497365849.184183,0.48582632575148
"80",2011-01-01,"Disaster","5+ Offers",377102726.733238,0.368353461461382
"81",2011-01-01,"Disaster","Unlabeled",37075267.4320247,0.0362150738380991
"82",2011-01-01,"Recovery","Urgency",6916299.56084294,0.00293261437861346
"83",2011-01-01,"Recovery","No Comp. (Other)",378764467.666418,0.160601794964912
"84",2011-01-01,"Recovery","1 Offer",135085068.159043,0.0572780877598232
"85",2011-01-01,"Recovery","2-4 Offers",1194646288.98128,0.506547880641065
"86",2011-01-01,"Recovery","5+ Offers",599753171.858268,0.254304308241418
"87",2011-01-01,"Recovery","Unlabeled",43242140.9336714,0.018335314014169
"88",2012-01-01,"OCO","Urgency",1005696354.4313,0.0247642382725513
"89",2012-01-01,"OCO","No Comp. (Other)",5113183994.88463,0.125906896473063
"90",2012-01-01,"OCO","1 Offer",3254325384.2907,0.0801344152018525
"91",2012-01-01,"OCO","2-4 Offers",11452836494.0911,0.282014318324366
"92",2012-01-01,"OCO","5+ Offers",17562679802.4502,0.432462925231883
"93",2012-01-01,"OCO","Unlabeled",2222111356.3978,0.0547172064962839
"94",2012-01-01,"Disaster","Urgency",3867461.82727433,0.00582143988923333
"95",2012-01-01,"Disaster","No Comp. (Other)",242742896.801978,0.365385166132849
"96",2012-01-01,"Disaster","1 Offer",44753734.2117505,0.0673648985221001
"97",2012-01-01,"Disaster","2-4 Offers",305226856.836677,0.459438225640257
"98",2012-01-01,"Disaster","5+ Offers",46545737.5173796,0.0700622850745561
"99",2012-01-01,"Disaster","Unlabeled",21211292.1471554,0.0319279847410044
"100",2012-01-01,"Recovery","Urgency",919753.104837308,0.000941325581592852
"101",2012-01-01,"Recovery","No Comp. (Other)",141653124.070913,0.144975546914933
"102",2012-01-01,"Recovery","1 Offer",-1949384.31153345,-0.00199510641622329
"103",2012-01-01,"Recovery","2-4 Offers",344813582.788384,0.352901060787183
"104",2012-01-01,"Recovery","5+ Offers",489535089.658682,0.501016958311415
"105",2012-01-01,"Recovery","Unlabeled",2110708.90632814,0.00216021482110027
"106",2013-01-01,"OCO","Urgency",537770795.911502,0.0151682038546304
"107",2013-01-01,"OCO","No Comp. (Other)",3597084388.24282,0.101458297285735
"108",2013-01-01,"OCO","1 Offer",2647956878.95698,0.0746874877617939
"109",2013-01-01,"OCO","2-4 Offers",10318673639.2958,0.29104545367688
"110",2013-01-01,"OCO","5+ Offers",15863512817.1519,0.447441545897372
"111",2013-01-01,"OCO","Unlabeled",2488823242.42472,0.0701990115235878
"112",2013-01-01,"Disaster","Urgency",153866483.209006,0.0652110804597617
"113",2013-01-01,"Disaster","No Comp. (Other)",554852719.963838,0.235155471225859
"114",2013-01-01,"Disaster","1 Offer",221153667.088923,0.0937284669002105
"115",2013-01-01,"Disaster","2-4 Offers",1096995023.80977,0.464924064485477
"116",2013-01-01,"Disaster","5+ Offers",319642310.598584,0.135469531765892
"117",2013-01-01,"Disaster","Unlabeled",13004192.6407515,0.00551138516279974
"118",2013-01-01,"Recovery","Urgency",6099893.59674058,0.0125824393477897
"119",2013-01-01,"Recovery","No Comp. (Other)",107784374.897392,0.22233016662955
"120",2013-01-01,"Recovery","1 Offer",84821570.0751308,0.174964078295547
"121",2013-01-01,"Recovery","2-4 Offers",155057459.902265,0.319841822435243
"122",2013-01-01,"Recovery","5+ Offers",124141134.785584,0.256069761584043
"123",2013-01-01,"Recovery","Unlabeled",6889765.08028229,0.0142117317078273
"124",2014-01-01,"OCO","Urgency",464306456.920782,0.0175928266163809
"125",2014-01-01,"OCO","No Comp. (Other)",2417324507.13985,0.091593752995978
"126",2014-01-01,"OCO","1 Offer",1500003271.63677,0.0568359476560375
"127",2014-01-01,"OCO","2-4 Offers",5440206028.54927,0.206132393790911
"128",2014-01-01,"OCO","5+ Offers",15672353948.9008,0.593834097251432
"129",2014-01-01,"OCO","Unlabeled",897611211.028152,0.0340109816892601
"130",2014-01-01,"Disaster","Urgency",47773115.5327951,0.0524392212468013
"131",2014-01-01,"Disaster","No Comp. (Other)",69429889.3958092,0.0762112600478909
"132",2014-01-01,"Disaster","1 Offer",103911978.93185,0.114061291431989
"133",2014-01-01,"Disaster","2-4 Offers",515873115.735701,0.566259582395681
"134",2014-01-01,"Disaster","5+ Offers",129201737.737757,0.141821156839779
"135",2014-01-01,"Disaster","Unlabeled",44828945.8771216,0.0492074880378588
"136",2014-01-01,"Recovery","Urgency",831053.99254738,0.00392827999112854
"137",2014-01-01,"Recovery","No Comp. (Other)",22386656.2534035,0.105818700851141
"138",2014-01-01,"Recovery","1 Offer",31858755.7001731,0.150592035754052
"139",2014-01-01,"Recovery","2-4 Offers",97821717.8838876,0.462390049872949
"140",2014-01-01,"Recovery","5+ Offers",55786083.2036769,0.26369328154084
"141",2014-01-01,"Recovery","Unlabeled",2872443.39026219,0.0135776519898893
"142",2015-01-01,"OCO","Urgency",322970971.312339,0.0224349094887536
"143",2015-01-01,"OCO","No Comp. (Other)",2545799331.88722,0.176841829949431
"144",2015-01-01,"OCO","1 Offer",993401375.877671,0.0690057990761827
"145",2015-01-01,"OCO","2-4 Offers",2941099555.64046,0.204301030709029
"146",2015-01-01,"OCO","5+ Offers",6781043358.09332,0.471039528289413
"147",2015-01-01,"OCO","Unlabeled",811596898.351498,0.0563769024871908
"148",2015-01-01,"Disaster","Urgency",-3119530.40797753,-0.00596017473072798
"149",2015-01-01,"Disaster","No Comp. (Other)",21587248.0400219,0.0412445956433267
"150",2015-01-01,"Disaster","1 Offer",70903249.912823,0.135467747766202
"151",2015-01-01,"Disaster","2-4 Offers",405845951.699822,0.775409266633104
"152",2015-01-01,"Disaster","5+ Offers",24553541.4512119,0.0469119957712716
"153",2015-01-01,"Disaster","Unlabeled",3625337.06395916,0.00692656891682286
"154",2015-01-01,"Recovery","Urgency",9462756.36824844,0.051945225477439
"155",2015-01-01,"Recovery","No Comp. (Other)",50801718.4181646,0.278872943059972
"156",2015-01-01,"Recovery","1 Offer",20607624.9852828,0.113124303824084
"157",2015-01-01,"Recovery","2-4 Offers",68995282.1376547,0.378745404409412
"158",2015-01-01,"Recovery","5+ Offers",31283467.8562588,0.171728693867913
"159",2015-01-01,"Recovery","Unlabeled",1017122.00223535,0.00558342936118084
"160",2016-01-01,"OCO","Urgency",209028049.467648,0.0125920505764031
"161",2016-01-01,"OCO","No Comp. (Other)",2749254772.47303,0.165617749534405
"162",2016-01-01,"OCO","1 Offer",932907185.850921,0.0561992254017703
"163",2016-01-01,"OCO","2-4 Offers",3526936522.15228,0.212466045489167
"164",2016-01-01,"OCO","5+ Offers",8338776401.77449,0.502335904027623
"165",2016-01-01,"OCO","Unlabeled",843097854.440737,0.0507890249706315
"166",2016-01-01,"Disaster","Urgency",-1966230.38583532,-0.0059718377075084
"167",2016-01-01,"Disaster","No Comp. (Other)",18528330.9755274,0.056274273032274
"168",2016-01-01,"Disaster","1 Offer",87501144.2191155,0.265758598922196
"169",2016-01-01,"Disaster","2-4 Offers",121823315.820385,0.370001947030642
"170",2016-01-01,"Disaster","5+ Offers",102013475.143968,0.309835470923163
"171",2016-01-01,"Disaster","Unlabeled",1350436.5501543,0.00410154779923357
"172",2017-01-01,"OCO","Urgency",270865728.1785,0.0194018479559566
"173",2017-01-01,"OCO","No Comp. (Other)",2490975449.1815,0.178426142177688
"174",2017-01-01,"OCO","1 Offer",448300531.6046,0.0321113298875341
"175",2017-01-01,"OCO","2-4 Offers",4818643500.0739,0.345154734676445
"176",2017-01-01,"OCO","5+ Offers",5213549321.1496,0.373441453520343
"177",2017-01-01,"OCO","Unlabeled",718486562.3894,0.0514644917820339
"178",2017-01-01,"Disaster","Urgency",64847311.9401,0.0309790043452073
"179",2017-01-01,"Disaster","No Comp. (Other)",200134212.9296,0.0956085682888087
"180",2017-01-01,"Disaster","1 Offer",445381707.0395,0.212768755170567
"181",2017-01-01,"Disaster","2-4 Offers",740130218.8275,0.35357668003657
"182",2017-01-01,"Disaster","5+ Offers",566288182.3306,0.270528469665233
"183",2017-01-01,"Disaster","Unlabeled",76484865.0257,0.0365385224936142
"184",2017-01-01,"Recovery","1 Offer",0,NA
