"","dFYear","DecisionTreeDisplay","NoCompOffr","obligations","share"
"1",2007-01-01,"OCO","Urgency",585131160.412258,0.020568812221464
"2",2007-01-01,"OCO","No Comp. (Other)",2234931640.86792,0.078563392892001
"3",2007-01-01,"OCO","1 Offer",6162116514.73927,0.21661368604802
"4",2007-01-01,"OCO","2-4 Offers",13633667454.3008,0.479257241333414
"5",2007-01-01,"OCO","5+ Offers",5303670109.52771,0.186437164772778
"6",2007-01-01,"OCO","Unlabeled",527977030.454787,0.018559702732323
"7",2007-01-01,"Disaster","Urgency",84810424.569986,0.0196859790173052
"8",2007-01-01,"Disaster","No Comp. (Other)",1301251252.46709,0.302043115362198
"9",2007-01-01,"Disaster","1 Offer",542286111.214411,0.125874066317561
"10",2007-01-01,"Disaster","2-4 Offers",1551199362.89953,0.360060432010902
"11",2007-01-01,"Disaster","5+ Offers",688149478.29305,0.159731498328575
"12",2007-01-01,"Disaster","Unlabeled",140467292.473791,0.0326049089634592
"13",2007-01-01,"Recovery","Urgency",0,0
"14",2007-01-01,"Recovery","No Comp. (Other)",78958.3434607927,0.323240772371892
"15",2007-01-01,"Recovery","1 Offer",39915.7695696694,0.16340773653547
"16",2007-01-01,"Recovery","2-4 Offers",130504.617929792,0.534261632764265
"17",2007-01-01,"Recovery","Unlabeled",-5107.74100620755,-0.0209101416716264
"18",2008-01-01,"OCO","Urgency",653183962.183477,0.0188163087204502
"19",2008-01-01,"OCO","No Comp. (Other)",3796808027.64268,0.109374871608284
"20",2008-01-01,"OCO","1 Offer",9664630716.81375,0.27840958407615
"21",2008-01-01,"OCO","2-4 Offers",13213291982.4259,0.38063607735203
"22",2008-01-01,"OCO","5+ Offers",6660073676.99392,0.191857133154871
"23",2008-01-01,"OCO","Unlabeled",725725778.817952,0.0209060250882154
"24",2008-01-01,"Disaster","Urgency",160417717.203288,0.061430496378633
"25",2008-01-01,"Disaster","No Comp. (Other)",370611997.221051,0.141922471844644
"26",2008-01-01,"Disaster","1 Offer",259494583.95545,0.0993710755760802
"27",2008-01-01,"Disaster","2-4 Offers",1125485689.88628,0.430994442522498
"28",2008-01-01,"Disaster","5+ Offers",510444419.078033,0.195470017803145
"29",2008-01-01,"Disaster","Unlabeled",184914972.036079,0.070811495874999
"30",2008-01-01,"Recovery","No Comp. (Other)",22078444.8419071,0.887069897129327
"31",2008-01-01,"Recovery","2-4 Offers",2545565.09459662,0.102275961136255
"32",2008-01-01,"Recovery","5+ Offers",228752.772674911,0.00919085107568899
"33",2008-01-01,"Recovery","Unlabeled",36420.10872083,0.00146329065872898
"34",2009-01-01,"OCO","Urgency",219930522.288711,0.00722800793770116
"35",2009-01-01,"OCO","No Comp. (Other)",3893869777.14335,0.127971876593918
"36",2009-01-01,"OCO","1 Offer",5426727744.75539,0.178349193220865
"37",2009-01-01,"OCO","2-4 Offers",11225815275.346,0.36893597611182
"38",2009-01-01,"OCO","5+ Offers",8548547565.01135,0.280947678442765
"39",2009-01-01,"OCO","Unlabeled",1112652109.91664,0.0365672676929312
"40",2009-01-01,"Disaster","Urgency",-11469085.7033547,-0.0053949931949335
"41",2009-01-01,"Disaster","No Comp. (Other)",500686882.179855,0.235520284006831
"42",2009-01-01,"Disaster","1 Offer",342556172.290221,0.161136490404605
"43",2009-01-01,"Disaster","2-4 Offers",694560836.989915,0.326717498320888
"44",2009-01-01,"Disaster","5+ Offers",479822322.353607,0.225705712803046
"45",2009-01-01,"Disaster","Unlabeled",119718714.351515,0.0563150076595636
"46",2009-01-01,"Recovery","Urgency",49031323.6010909,0.00258494124223138
"47",2009-01-01,"Recovery","No Comp. (Other)",1308157704.782,0.0689663373141838
"48",2009-01-01,"Recovery","1 Offer",2164287916.0275,0.114101694249959
"49",2009-01-01,"Recovery","2-4 Offers",10305035087.2948,0.54328352251941
"50",2009-01-01,"Recovery","5+ Offers",4678550426.58712,0.246654119516267
"51",2009-01-01,"Recovery","Unlabeled",462998710.775301,0.0244093851579484
"52",2010-01-01,"OCO","Urgency",534589021.805211,0.0161883005771506
"53",2010-01-01,"OCO","No Comp. (Other)",6411267890.91034,0.194144524981488
"54",2010-01-01,"OCO","1 Offer",6456959803.49751,0.195528156864552
"55",2010-01-01,"OCO","2-4 Offers",12064524323.3969,0.365335123059552
"56",2010-01-01,"OCO","5+ Offers",5104165548.6384,0.154563155483208
"57",2010-01-01,"OCO","Unlabeled",2451664637.01121,0.074240739034049
"58",2010-01-01,"Disaster","Urgency",31109874.8334535,0.108918701939848
"59",2010-01-01,"Disaster","No Comp. (Other)",26096029.8142998,0.0913647421718537
"60",2010-01-01,"Disaster","1 Offer",35724511.2681604,0.125074993570187
"61",2010-01-01,"Disaster","2-4 Offers",166400795.597852,0.58258539307225
