"SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","SAG","SAG.Title","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype","AGtitle","BudgetSubActivityTitle","BudgetLineItem"
2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2010,"Total",49891,,,,,,,
2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","ES01","Prepositioned War Reserve Stocks","Y","U",2010,"Total",0,,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","0120","T-AKE","Y","U",2010,"Total",954333,,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","0401","MPF MLP","Y","U",2010,"Total",119702,,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","5000","Post Delivery and Outfitting","Y","U",2010,"Total",29654,,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","0200","National Def Sealift Vessel","Y","U",2010,"Total",1434,,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2010,"Total",96086,,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","0230","DoD Mobilization Alterations","Y","U",2010,"Total",63982,,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","0250","TAH Maintenance","Y","U",2010,"Total",37519,,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","0300","Strategic Sealift Support","Y","U",2010,"Total",4780,,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","0900","Research And Development","Y","U",2010,"Total",72773,,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","0500","Ready Reserve Force","Y","U",2010,"Total",274691,,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","0510","MARAD Ship Financing Guarantee Program","Y","U",2010,"Total",29914,,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,,,,,,,
2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","ES17","Fuel Costs","Y","U",2010,"Total",203544,,,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","200","Transportation Fallen Heroes","Y","U",2010,"Total",0,,,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","210","Container Deconsolidation","Y","U",2010,"Total",0,,,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","220","War Reserve Material","Y","U",2010,"Total",0,,,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","ES17","Fuel Costs","Y","U",2010,"Total",926794,,,,,,,
2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","110","Defense Coalition Support","Y","U",2010,"Total",0,,,,,,,
2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,,,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,,,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","ES08","Defense Logistics Agency (DLA)","Y","U",2010,"Total",56635,,,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,,,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","010","Supply Chain Management - Def","Y","U",2010,"Total",66757,,,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","010","Energy Management - Def","Y","U",2010,"Total",384462,,,,,,,
2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","ES11","Working Capital Fund, DECA","Y","U",2010,"Total",1309836,,,,,,,
2012,,,,,,,,,,,2010,"Total",,,,,,,,
2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",,,,,,,,,,2010,"Total",,,,,,,,
2012,"by appropriation.",,,,,,,,,,2010,"Total",,,,,,,,
2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",,,,,,,,,,2010,"Total",,,,,,,,
2012,"level for each appropriation.",,,,,,,,,,2010,"Total",,,,,,,,
2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2011,"Base",,,109272,,,,,
2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","ES01","Prepositioned War Reserve Stocks","Y","U",2011,"Base",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","0120","T-AKE","Y","U",2011,"Base",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","0401","MPF MLP","Y","U",2011,"Base",,,1057979,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","5000","Post Delivery and Outfitting","Y","U",2011,"Base",,,86871,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","0200","National Def Sealift Vessel","Y","U",2011,"Base",,,4073,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2011,"Base",,,297621,,,,,
