"ID","SourceFiscalYear","AccountDSI","TreasuryAgencyCode","MainAccountCode","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","BSA","BSA.Title","LineItem","LineItemTitle","CostType","CostTypeTitle","AddOrNonAdd","Classified","Category","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","QuantPBtotal","QuantPBtype","QuantEnactedTotal","QuantEnactedType","QuantSpecialTotal","QuantActualTotal"
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","1  ","10",,"9440A11300","Utility F/W Aircraft","A","Weapon System Cost","Add","U",,2012,"Total",,,,,,14572,,,,,,2
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","2  ","10",,"9440A11301","Saturn Arch (MIP)","A","Weapon System Cost","Add","U",,2012,"Total",,,,,,0,,,,,,0
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","3  ","10",,"9662A02005","Aerial Common Sensor (ACS) (MIP)","A","Weapon System Cost","Add","U",,2012,"Total",,,,,,0,,,,,,0
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","4  ","10",,"9670A00005","MQ-1 UAV","A","Weapon System Cost","Add","U",,2012,"Total",,,,,,550798,,,,,,0
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","5  ","10",,"9675A00010","RQ-11 (RAVEN)","A","Weapon System Cost","Add","U",,2012,"Total",,,,,,86062,,,,,,1131
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","6  ","20",,"4742A05001","Helicopter, Light Utility (LUH)","A","Weapon System Cost","Add","U",,2012,"Total",,,,,,250415,,,,,,39
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","7  ","20",,"5757A05111","AH-64 Apache Block IIIA Reman","A","Weapon System Cost","Add","U",,2012,"Total",,,,,,560741,,,,,,27
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","7  ","20",,"5757A05111","AH-64 Apache Block IIIA Reman","B","Less: Advance Procurement (PY)","Add","U",,2012,"Total",,,,,,-160237,,,,,,0
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","8  ","20",,"5757A05111","AH-64 Apache Block IIIA Reman","C","Advance Procurement (CY)","Add","U",,2012,"Total",,,,,,192764,,,,,,0
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","9  ","20",,"5840A05133","AH-64 Apache Block IIIB New Build","A","Weapon System Cost","Add","U",,2012,"Total",,,,,,0,,,,,,0
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","9  ","20",,"5840A05133","AH-64 Apache Block IIIB New Build","B","Less: Advance Procurement (PY)","Add","U",,2012,"Total",,,,,,0,,,,,,0
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","10 ","20",,"5840A05133","AH-64 Apache Block IIIB New Build","C","Advance Procurement (CY)","Add","U",,2012,"Total",,,,,,84264,,,,,,0
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","11 ","20",,"6337A02345","Kiowa Warrior WRA","A","Weapon System Cost","Add","U",,2012,"Total",,,,,,112800,,,,,,1
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","12 ","20",,"6772AA0005","UH-60 Blackhawk M Model (MYP)","A","Weapon System Cost","Add","U",,2012,"Total",,,,,,1597728,,,,,,89
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","12 ","20",,"6772AA0005","UH-60 Blackhawk M Model (MYP)","B","Less: Advance Procurement (PY)","Add","U",,2012,"Total",,,,,,-99962,,,,,,0
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","13 ","20",,"6772AA0005","UH-60 Blackhawk M Model (MYP)","C","Advance Procurement (CY)","Add","U",,2012,"Total",,,,,,199781,,,,,,0
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","14 ","20",,"6775A05101","CH-47 Helicopter","A","Weapon System Cost","Add","U",,2012,"Total",,,,,,1305718,,,,,,45
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","14 ","20",,"6775A05101","CH-47 Helicopter","B","Less: Advance Procurement (PY)","Add","U",,2012,"Total",,,,,,-66358,,,,,,0
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","15 ","20",,"6775A05101","CH-47 Helicopter","C","Advance Procurement (CY)","Add","U",,2012,"Total",,,,,,120956,,,,,,0
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","16 ","10",,"0420A00020","MQ-1 Payload - UAS","A","Weapon System Cost","Add","U",,2012,"Total",,,,,,146983,,,,,,0
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","17 ","10",,"1032AZ2000","Guardrail Mods (MIP)","A","Weapon System Cost","Add","U",,2012,"Total",,,,,,27575,,,,,,0
,2014,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","18 ","10",,"1036AZ2001","Multi Sensor ABN Recon (MIP)","A","Weapon System Cost","Add","U",,2012,"Total",,,,,,61162,,,,,,0
