"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"64",2014,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration & Modernization","Y","Y","U",2012,"Total",284893,NA,NA,NA,NA
"65",2014,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management and Operational Hq's","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"66",2014,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Logistics Operations","130","130","421","Servicewide Transportation","Y","Y","U",2012,"Total",14447,NA,NA,NA,NA
"67",2014,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","140","140","431","Administration","Y","Y","U",2012,"Total",75313,NA,NA,NA,NA
"68",2014,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","150","150","432","Servicewide Communications","Y","Y","U",2012,"Total",3807,NA,NA,NA,NA
"69",2014,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","160","160","433","Manpower Management","Y","Y","U",2012,"Total",15854,NA,NA,NA,NA
"70",2014,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","170","170","434","Recruiting and Advertising","Y","Y","U",2012,"Total",46106,NA,NA,NA,NA
"71",2014,"2080A","Operation & Maintenance, Army Res","ARMY","20","Undistributed","Undistributed","180","180","CR","Adj to Match Continuing Resolution","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"72",2014,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","Y","U",2012,"Total",659988,NA,NA,NA,NA
"73",2014,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2012,"Total",153527,NA,NA,NA,NA
"74",2014,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2012,"Total",687581,NA,NA,NA,NA
"75",2014,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2012,"Total",170265,NA,NA,NA,NA
"76",2014,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2012,"Total",38684,NA,NA,NA,NA
"77",2014,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2012,"Total",920775,NA,NA,NA,NA
"78",2014,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2012,"Total",708778,NA,NA,NA,NA
"79",2014,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2012,"Total",68687,NA,NA,NA,NA
"80",2014,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2012,"Total",580715,NA,NA,NA,NA
"81",2014,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2012,"Total",1124483,NA,NA,NA,NA
"82",2014,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration & Modernization","Y","Y","U",2012,"Total",614336,NA,NA,NA,NA
"83",2014,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management and Operational Hq's","Y","Y","U",2012,"Total",892009,NA,NA,NA,NA
"84",2014,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Logistics Operations","130","130","421","Servicewide Transportation","Y","Y","U",2012,"Total",6119,NA,NA,NA,NA
"85",2014,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","140","140","437","Real Estate Management","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"86",2014,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","150","150","431","Administration","Y","Y","U",2012,"Total",159936,NA,NA,NA,NA
"87",2014,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","160","160","432","Servicewide Communications","Y","Y","U",2012,"Total",40854,NA,NA,NA,NA
"88",2014,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","170","170","433","Manpower Management","Y","Y","U",2012,"Total",6229,NA,NA,NA,NA
"89",2014,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","180","180","434","Recruiting and Advertising","Y","Y","U",2012,"Total",395036,NA,NA,NA,NA
"90",2014,"2065A","Operation & Maintenance, ARNG","ARMY","20","Undistributed","Undistributed","190","190","CR","Adj to Match Continuing Resolution","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"91",2014,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","010","010","110","Sustainment","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"92",2014,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","020","020","120","Infrastructure","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"93",2014,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","030","030","130","Equipment and Transportation","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"94",2014,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","040","040","140","Training and Operations","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"95",2014,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Administration","050","050","100","Afghanistan Security Forces Fund","Y","Y","U",2012,"Total",6234815,NA,NA,NA,NA
"96",2014,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","060","060","210","Sustainment","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"97",2014,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","070","070","220","Infrastructure","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"98",2014,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","080","080","230","Equipment and Transportation","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"99",2014,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","090","090","240","Training and Operations","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"100",2014,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Administration","100","100","200","Ministry Of Interior","Y","Y","U",2012,"Total",3570697,NA,NA,NA,NA
"101",2014,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Related Activities","110","110","410","Sustainment","Y","Y","U",2012,"Total",107405,NA,NA,NA,NA
"102",2014,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Related Activities","120","120","420","Infrastructue","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"103",2014,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Related Activities","130","130","430","Equipment & Transportation","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"104",2014,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Related Activities","140","140","440","Training and Operations","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"105",2014,"2091A","Afghanistan Security Forces Fund","ARMY","05","Contributions","Related Activities","150","150","500","Contributions","Y","Y","U",2012,"Total",287083,NA,NA,NA,NA
"106",2014,"2096A","Afghanistan Infrastructure Fund","ARMY","01","Afghanistan Infrastructure Fund","Administration","010","010","011","Power","Y","Y","U",2012,"Total",168600,NA,NA,NA,NA
"107",2014,"2096A","Afghanistan Infrastructure Fund","ARMY","01","Afghanistan Infrastructure Fund","Administration","020","020","110","Power","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"108",2014,"2096A","Afghanistan Infrastructure Fund","ARMY","01","Afghanistan Infrastructure Fund","Administration","030","030","120","Transportation","Y","Y","U",2012,"Total",45600,NA,NA,NA,NA
"109",2014,"2096A","Afghanistan Infrastructure Fund","ARMY","01","Afghanistan Infrastructure Fund","Administration","040","040","130","Water","Y","Y","U",2012,"Total",185800,NA,NA,NA,NA
"110",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","010","010","1A1A","Mission and Other Flight Operations","Y","Y","U",2012,"Total",5513964,NA,NA,NA,NA
"111",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","020","020","1A2A","Fleet Air Training","Y","Y","U",2012,"Total",1805048,NA,NA,NA,NA
"112",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","030","030","1A3A","Aviation Technical Data & Engineering Services","Y","Y","U",2012,"Total",47273,NA,NA,NA,NA
"113",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","040","040","1A4A","Air Operations and Safety Support","Y","Y","U",2012,"Total",113440,NA,NA,NA,NA
"114",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","050","050","1A4N","Air Systems Support","Y","Y","U",2012,"Total",442087,NA,NA,NA,NA
"115",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","060","060","1A5A","Aircraft Depot Maintenance","Y","Y","U",2012,"Total",1170535,NA,NA,NA,NA
"116",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","070","070","1A6A","Aircraft Depot Operations Support","Y","Y","U",2012,"Total",41157,NA,NA,NA,NA
"117",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","080","080","1A9A","Aviation Logistics","Y","Y","U",2012,"Total",265272,NA,NA,NA,NA
"118",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","090","090","1B1B","Mission and Other Ship Operations","Y","Y","U",2012,"Total",5213855,NA,NA,NA,NA
"119",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","100","100","1B2B","Ship Operations Support & Training","Y","Y","U",2012,"Total",766714,NA,NA,NA,NA
"120",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","110","110","1B4B","Ship Depot Maintenance","Y","Y","U",2012,"Total",6894279,NA,NA,NA,NA
"121",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","120","120","1B5B","Ship Depot Operations Support","Y","Y","U",2012,"Total",1304491,NA,NA,NA,NA
"122",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","130","130","1C1C","Combat Communications","Y","Y","U",2012,"Total",711777,NA,NA,NA,NA
"123",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","140","140","1C2C","Electronic Warfare","Y","Y","U",2012,"Total",98024,NA,NA,NA,NA
"124",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","150","150","1C3C","Space Systems and Surveillance","Y","Y","U",2012,"Total",211891,NA,NA,NA,NA
"125",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","160","160","1C4C","Warfare Tactics","Y","Y","U",2012,"Total",492574,NA,NA,NA,NA
"126",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","170","170","1C5C","Operational Meteorology and Oceanography","Y","Y","U",2012,"Total",363073,NA,NA,NA,NA
"127",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","180","180","1C6C","Combat Support Forces","Y","Y","U",2012,"Total",2309948,NA,NA,NA,NA
"128",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","190","190","1C7C","Equipment Maintenance","Y","Y","U",2012,"Total",197159,NA,NA,NA,NA
"129",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","200","200","1C8C","Depot Operations Support","Y","Y","U",2012,"Total",4124,NA,NA,NA,NA
"130",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","210","210","1CCH","Combatant Commanders Core Operations","Y","Y","U",2012,"Total",108670,NA,NA,NA,NA
"131",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","220","220","1CCM","Combatant Commanders Direct Mission Support","Y","Y","U",2012,"Total",207459,NA,NA,NA,NA
"132",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","230","230","1D1D","Cruise Missile","Y","Y","U",2012,"Total",124822,NA,NA,NA,NA
"133",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","240","240","1D2D","Fleet Ballistic Missile","Y","Y","U",2012,"Total",1192496,NA,NA,NA,NA
"134",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","250","250","1D3D","In-Service Weapons Systems Support","Y","Y","U",2012,"Total",218446,NA,NA,NA,NA
"135",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","260","260","1D4D","Weapons Maintenance","Y","Y","U",2012,"Total",763236,NA,NA,NA,NA
"136",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","270","270","1D7D","Other Weapon Systems Support","Y","Y","U",2012,"Total",360937,NA,NA,NA,NA
"137",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","280","280","BSIT","Enterprise Information","Y","Y","U",2012,"Total",968686,NA,NA,NA,NA
"138",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","290","290","BSM1","Sustainment, Restoration and Modernization","Y","Y","U",2012,"Total",2243701,NA,NA,NA,NA
"139",2014,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","300","300","BSS1","Base Operating Support","Y","Y","U",2012,"Total",4837358,NA,NA,NA,NA
"140",2014,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Ready Reserve and Prepositioning Force","310","310","2A1F","Ship Prepositioning and Surge","Y","Y","U",2012,"Total",481011,NA,NA,NA,NA
"141",2014,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Activations/Inactivations","320","320","2B1G","Aircraft Activations/Inactivations","Y","Y","U",2012,"Total",7244,NA,NA,NA,NA
"142",2014,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Activations/Inactivations","330","330","2B2G","Ship Activations/Inactivations","Y","Y","U",2012,"Total",213806,NA,NA,NA,NA
