"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"1",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","Y","U",2012,"Total",791520,NA,NA,NA,NA
"2",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2012,"Total",64566,NA,NA,NA,NA
"3",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2012,"Total",507223,NA,NA,NA,NA
"4",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2012,"Total",3806140,NA,NA,NA,NA
"5",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2012,"Total",1994048,NA,NA,NA,NA
"6",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2012,"Total",834685,NA,NA,NA,NA
"7",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2012,"Total",5816805,NA,NA,NA,NA
"8",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2012,"Total",859107,NA,NA,NA,NA
"9",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2012,"Total",1841435,NA,NA,NA,NA
"10",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2012,"Total",9042575,NA,NA,NA,NA
"11",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration & Modernization","Y","Y","U",2012,"Total",2756781,NA,NA,NA,NA
"12",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management and Operational Hq's","Y","Y","U",2012,"Total",377932,NA,NA,NA,NA
"13",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","130","130","134","Combatant Commanders Core Operations","Y","Y","U",2012,"Total",170972,NA,NA,NA,NA
"14",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","140","140","135","Additional Activities","Y","Y","U",2012,"Total",22421154,NA,NA,NA,NA
"15",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","150","150","136","Commanders Emergency Response Program","Y","Y","U",2012,"Total",117113,NA,NA,NA,NA
"16",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","160","160","137","RESET","Y","Y","U",2012,"Total",3490721,NA,NA,NA,NA
"17",2014,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","170","170","138","Combatant Commanders Ancillary Missions","Y","Y","U",2012,"Total",429328,NA,NA,NA,NA
"18",2014,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","180","180","211","Strategic Mobility","Y","Y","U",2012,"Total",338710,NA,NA,NA,NA
"19",2014,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","190","190","212","Army Prepositioning Stocks","Y","Y","U",2012,"Total",195551,NA,NA,NA,NA
"20",2014,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","200","200","213","Industrial Preparedness","Y","Y","U",2012,"Total",7055,NA,NA,NA,NA
"21",2014,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","210","210","311","Officer Acquisition","Y","Y","U",2012,"Total",122115,NA,NA,NA,NA
"22",2014,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","220","220","312","Recruit Training","Y","Y","U",2012,"Total",65425,NA,NA,NA,NA
"23",2014,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","230","230","313","One Station Unit Training","Y","Y","U",2012,"Total",36236,NA,NA,NA,NA
"24",2014,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","240","240","314","Senior Reserve Officers Training Corps","Y","Y","U",2012,"Total",503519,NA,NA,NA,NA
"25",2014,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills and Advanced Training","250","250","321","Specialized Skill Training","Y","Y","U",2012,"Total",1015172,NA,NA,NA,NA
"26",2014,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills and Advanced Training","260","260","322","Flight Training","Y","Y","U",2012,"Total",1041384,NA,NA,NA,NA
"27",2014,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills and Advanced Training","270","270","323","Professional Development Education","Y","Y","U",2012,"Total",190254,NA,NA,NA,NA
"28",2014,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills and Advanced Training","280","280","324","Training Support","Y","Y","U",2012,"Total",668236,NA,NA,NA,NA
"29",2014,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting and Other Training & Education","290","290","331","Recruiting and Advertising","Y","Y","U",2012,"Total",512470,NA,NA,NA,NA
"30",2014,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting and Other Training & Education","300","300","332","Examining","Y","Y","U",2012,"Total",170725,NA,NA,NA,NA
"31",2014,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting and Other Training & Education","310","310","333","Off-Duty and Voluntary Education","Y","Y","U",2012,"Total",251882,NA,NA,NA,NA
"32",2014,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting and Other Training & Education","320","320","334","Civilian Education and Training","Y","Y","U",2012,"Total",161880,NA,NA,NA,NA
"33",2014,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting and Other Training & Education","330","330","335","Junior ROTC","Y","Y","U",2012,"Total",154657,NA,NA,NA,NA
"34",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","350","350","421","Servicewide Transportation","Y","Y","U",2012,"Total",5661732,NA,NA,NA,NA
"35",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","360","360","422","Central Supply Activities","Y","Y","U",2012,"Total",727506,NA,NA,NA,NA
"36",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","370","370","423","Logistic Support Activities","Y","Y","U",2012,"Total",544694,NA,NA,NA,NA
"37",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","380","380","424","Ammunition Management","Y","Y","U",2012,"Total",461529,NA,NA,NA,NA
"38",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","390","390","431","Administration","Y","Y","U",2012,"Total",657883,NA,NA,NA,NA
"39",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","400","400","432","Servicewide Communications","Y","Y","U",2012,"Total",1532321,NA,NA,NA,NA
"40",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","410","410","433","Manpower Management","Y","Y","U",2012,"Total",320564,NA,NA,NA,NA
"41",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","420","420","434","Other Personnel Support","Y","Y","U",2012,"Total",355232,NA,NA,NA,NA
"42",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","430","430","435","Other Service Support","Y","Y","U",2012,"Total",1095631,NA,NA,NA,NA
"43",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","440","440","436","Army Claims Activities","Y","Y","U",2012,"Total",237740,NA,NA,NA,NA
"44",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","450","450","437","Real Estate Management","Y","Y","U",2012,"Total",222450,NA,NA,NA,NA
"45",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","460","460","438","Base Operations Support","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"46",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support of Other Nations","470","470","441","Support of NATO Operations","Y","Y","U",2012,"Total",437144,NA,NA,NA,NA
"47",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support of Other Nations","480","480","442","Misc. Support of Other Nations","Y","Y","U",2012,"Total",19615,NA,NA,NA,NA
"48",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Administration","490","490","451","Closed Account Adjustments","Y","Y","U",2012,"Total",29089,NA,NA,NA,NA
"49",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Administration","500","500","471","Foreign Currency Fluctuation","Y","Y","U",2012,"Total",-54057,NA,NA,NA,NA
"50",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Administration","510","510","493","Defense Environmental Restoration Account (DERA)","Y","Y","U",2012,"Total",674339,NA,NA,NA,NA
"51",2014,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Judgment Fund","520","520","461","Judgment Fund","Y","Y","U",2012,"Total",145,NA,NA,NA,NA
"52",2014,"2020A","Operation & Maintenance, Army",NA,"04","Admin & Srvwide Activities",NA,NA,NA,"9999","Classified Programs","Y","Y","U",2012,"Total",3602276,NA,NA,NA,NA
"53",2014,"2020A","Operation & Maintenance, Army","ARMY","20","Undistributed","Undistributed","530","530","CR","Adj to Match Continuing Resolution","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"54",2014,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","Y","U",2012,"Total",1077,NA,NA,NA,NA
"55",2014,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2012,"Total",18053,NA,NA,NA,NA
"56",2014,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2012,"Total",518491,NA,NA,NA,NA
"57",2014,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2012,"Total",131321,NA,NA,NA,NA
"58",2014,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2012,"Total",590347,NA,NA,NA,NA
"59",2014,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2012,"Total",67864,NA,NA,NA,NA
"60",2014,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2012,"Total",526363,NA,NA,NA,NA
"61",2014,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2012,"Total",74194,NA,NA,NA,NA
"62",2014,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2012,"Total",246778,NA,NA,NA,NA
"63",2014,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2012,"Total",635812,NA,NA,NA,NA
