"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","ProgramElement","ProgramElementTitle","LineNumber","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"33",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","33  ","0603005A","Combat Vehicle and Automotive Advanced Technology","33  ","Y","Y","U",2012,"Total",142833,NA,NA,NA,NA
"34",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","34  ","0603006A","Space Application Advanced Technology","34  ","Y","Y","U",2012,"Total",4158,NA,NA,NA,NA
"35",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","35  ","0603007A","Manpower, Personnel and Training Advanced Technology","35  ","Y","Y","U",2012,"Total",10063,NA,NA,NA,NA
"36",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","36  ","0603008A","Electronic Warfare Advanced Technology","36  ","Y","Y","U",2012,"Total",67673,NA,NA,NA,NA
"37",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","37  ","0603009A","TRACTOR HIKE","37  ","Y","Y","U",2012,"Total",8142,NA,NA,NA,NA
"38",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","38  ","0603015A","Next Generation Training & Simulation Systems","38  ","Y","Y","U",2012,"Total",14970,NA,NA,NA,NA
"39",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","39  ","0603020A","TRACTOR ROSE","39  ","Y","Y","U",2012,"Total",12577,NA,NA,NA,NA
"40",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","40  ","0603105A","Military HIV Research","40  ","Y","Y","U",2012,"Total",22552,NA,NA,NA,NA
"41",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","41  ","0603125A","Combating Terrorism - Technology Development","41  ","Y","Y","U",2012,"Total",21939,NA,NA,NA,NA
"42",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","42  ","0603130A","TRACTOR NAIL","42  ","Y","Y","U",2012,"Total",4271,NA,NA,NA,NA
"43",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","43  ","0603131A","TRACTOR EGGS","43  ","Y","Y","U",2012,"Total",2257,NA,NA,NA,NA
"44",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","44  ","0603270A","Electronic Warfare Technology","44  ","Y","Y","U",2012,"Total",23046,NA,NA,NA,NA
"45",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","45  ","0603313A","Missile and Rocket Advanced Technology","45  ","Y","Y","U",2012,"Total",87749,NA,NA,NA,NA
"46",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","46  ","0603322A","TRACTOR CAGE","46  ","Y","Y","U",2012,"Total",10299,NA,NA,NA,NA
"47",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","47  ","0603461A","High Performance Computing Modernization Program","47  ","Y","Y","U",2012,"Total",176533,NA,NA,NA,NA
"48",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","48  ","0603606A","Landmine Warfare and Barrier Advanced Technology","48  ","Y","Y","U",2012,"Total",30687,NA,NA,NA,NA
"49",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","49  ","0603607A","Joint Service Small Arms Program","49  ","Y","Y","U",2012,"Total",7473,NA,NA,NA,NA
"50",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","50  ","0603710A","Night Vision Advanced Technology","50  ","Y","Y","U",2012,"Total",41283,NA,NA,NA,NA
"51",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","51  ","0603728A","Environmental Quality Technology Demonstrations","51  ","Y","Y","U",2012,"Total",15247,NA,NA,NA,NA
"52",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","52  ","0603734A","Military Engineering Advanced Technology","52  ","Y","Y","U",2012,"Total",40496,NA,NA,NA,NA
"53",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development","53  ","0603772A","Advanced Tactical Computer Science and Sensor Technology","53  ","Y","Y","U",2012,"Total",29937,NA,NA,NA,NA
"54",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","54  ","0603305A","Army Missle Defense Systems Integration","54  ","Y","Y","U",2012,"Total",23463,NA,NA,NA,NA
"55",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","55  ","0603308A","Army Space Systems Integration","55  ","Y","Y","U",2012,"Total",9557,NA,NA,NA,NA
