"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivityTitle","BudgetLineItem","LineNumber","LineNumber","SAG","IncludeInTOA","Classified","FiscalYear","OriginType","Var.16","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"1",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Maneuver Units","010","010","111","Y","U",NA,"",11,NA,NA,NA,NA,NA
"2",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Modular Support Brigades","020","020","112","Y","U",NA,"",11,NA,NA,NA,NA,NA
"3",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Echelons Above Brigade","030","030","113","Y","U",NA,"",11,NA,NA,NA,NA,NA
"4",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Theater Level Assets","040","040","114","Y","U",NA,"",11,NA,NA,NA,NA,NA
"5",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Land Forces Operations Support","050","050","115","Y","U",NA,"",11,NA,NA,NA,NA,NA
"6",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Aviation Assets","060","060","116","Y","U",NA,"",11,NA,NA,NA,NA,NA
"7",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","Force Readiness Operations Support","070","070","121","Y","U",NA,"",12,NA,NA,NA,NA,NA
"8",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Systems Readiness","080","080","122","Y","U",NA,"",12,NA,NA,NA,NA,NA
"9",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Depot Maintenance","090","090","123","Y","U",NA,"",12,NA,NA,NA,NA,NA
"10",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Base Operations Support","100","100","131","Y","U",NA,"",13,NA,NA,NA,NA,NA
"11",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Facilities Sustainment, Restoration & Modernization","110","110","132","Y","U",NA,"",13,NA,NA,NA,NA,NA
"12",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Management and Operational Headquarters","120","120","133","Y","U",NA,"",13,NA,NA,NA,NA,NA
"13",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Combatant Commanders Core Operations","130","130","134","Y","U",NA,"",13,NA,NA,NA,NA,NA
"14",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Additional Activities","140","140","135","Y","U",NA,"",13,NA,NA,NA,NA,NA
"15",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Commanders Emergency Response Program","150","150","136","Y","U",NA,"",13,NA,NA,NA,NA,NA
"16",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","RESET","160","160","137","Y","U",NA,"",13,NA,NA,NA,NA,NA
"17",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Combatant Commands Direct Mission Support","170","170","138","Y","U",NA,"",13,NA,NA,NA,NA,NA
"18",2017,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","Strategic Mobility","180","180","211","Y","U",NA,"",21,NA,NA,NA,NA,NA
"19",2017,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","Army Prepositioned Stocks","190","190","212","Y","U",NA,"",21,NA,NA,NA,NA,NA
"20",2017,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","Industrial Preparedness","200","200","213","Y","U",NA,"",21,NA,NA,NA,NA,NA
"21",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","Officer Acquisition","210","210","311","Y","U",NA,"",31,NA,NA,NA,NA,NA
"22",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","Recruit Training","220","220","312","Y","U",NA,"",31,NA,NA,NA,NA,NA
"23",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","One Station Unit Training","230","230","313","Y","U",NA,"",31,NA,NA,NA,NA,NA
"24",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","Senior Reserve Officers Training Corps","240","240","314","Y","U",NA,"",31,NA,NA,NA,NA,NA
"25",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Specialized Skill Training","250","250","321","Y","U",NA,"",32,NA,NA,NA,NA,NA
"26",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Flight Training","260","260","322","Y","U",NA,"",32,NA,NA,NA,NA,NA
"27",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Professional Development Education","270","270","323","Y","U",NA,"",32,NA,NA,NA,NA,NA
"28",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Training Support","280","280","324","Y","U",NA,"",32,NA,NA,NA,NA,NA
"29",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Recruiting and Advertising","290","290","331","Y","U",NA,"",33,NA,NA,NA,NA,NA
"30",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Examining","300","300","332","Y","U",NA,"",33,NA,NA,NA,NA,NA
