"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineNumber","LineItem","LineItemTitle","CostType","CostTypeTitle","LineNumber","AddOrNonAdd","Classified","FiscalYear","OriginType","ActualTotal","PBtotal","PBtype","QuantActualTotal","QuantPBtotal","QuantPBtype"
"23",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","20 ","0430A00025","MQ-1 Weaponization - UAS","A","Weapon System Cost","20 ","Add","U",2010,"Total",3786,NA,NA,0,NA,NA
"24",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","21 ","1032AZ2000","Guardrail Mods (MIP)","A","Weapon System Cost","21 ","Add","U",2010,"Total",111537,NA,NA,0,NA,NA
"25",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","22 ","1036AZ2001","Multi Sensor ABN Recon (MIP)","A","Weapon System Cost","22 ","Add","U",2010,"Total",121037,NA,NA,0,NA,NA
"26",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","23 ","2706AA6605","AH-64 Mods","A","Weapon System Cost","23 ","Add","U",2010,"Total",625449,NA,NA,0,NA,NA
"27",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","23 ","2706AA6605","AH-64 Mods","B","Less: Advance Procurement (PY)","23 ","Add","U",2010,"Total",-47800,NA,NA,0,NA,NA
"28",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","24 ","3264AA0252","CH-47 Cargo Helicopter Mods (MYP)","A","Weapon System Cost","24 ","Add","U",2010,"Total",143479,NA,NA,0,NA,NA
"29",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","24 ","3264AA0252","CH-47 Cargo Helicopter Mods (MYP)","B","Less: Advance Procurement (PY)","24 ","Add","U",2010,"Total",-49473,NA,NA,0,NA,NA
"30",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","25 ","4194AA0270","Utility/Cargo Airplane Mods","A","Weapon System Cost","25 ","Add","U",2010,"Total",31425,NA,NA,0,NA,NA
"31",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","26 ","5310AA0560","Aircraft Long Range Mods","A","Weapon System Cost","26 ","Add","U",2010,"Total",820,NA,NA,0,NA,NA
"32",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","27 ","6949AA0480","Utility Helicopter Mods","A","Weapon System Cost","27 ","Add","U",2010,"Total",139228,NA,NA,0,NA,NA
"33",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","28 ","7542AZ2200","KIOWA WARRIOR","A","Weapon System Cost","28 ","Add","U",2010,"Total",174854,NA,NA,0,NA,NA
