"","SourceFiscalYear","AccountDSI","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"337",2012,"0130","D","Defense Health Program","DHP","01","Operation & Maintenance","Defense Health Program","070","070","","Base Operations/Communications","Y","Y","U",2010,"Total",1872782,NA,NA,NA,NA
"338",2012,"0130","D","Defense Health Program","DHP","02","RDT&E","Defensewide Activities","080","080","","Defense Health Program","Y","Y","U",2010,"Total",1443630,NA,NA,NA,NA
"339",2012,"0130","D","Defense Health Program","DHP","03","Procurement","Defensewide Activities","090","090","","Defense Health Program","Y","Y","U",2010,"Total",524737,NA,NA,NA,NA
"340",2012,"0130","D","Defense Health Program","DHP","20","Undistributed","Undistributed","100","100","","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"341",2012,"0819","D","Overseas Humanitarian, Disaster and Civic Aid","DSCA","01","Humanitarian Assistance","Defensewide Activities","010","010","","Overseas Humanitarian, Disaster And Civic Aid","Y","Y","U",2010,"Total",884731,NA,NA,NA,NA
"342",2012,"0819","D","Overseas Humanitarian, Disaster and Civic Aid","DSCA","20","Undistributed","Undistributed","020","020","","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"343",2012,"0134","D","Former Soviet Union (FSU) Threat Reduction","DTRA","01","Former Soviet Union (FSU) Threat Reduction","Defensewide Activities","010","010","","Former Soviet Union (Fsu) Threat Reduction","Y","Y","U",2010,"Total",423560,NA,NA,NA,NA
"344",2012,"0134","D","Former Soviet Union (FSU) Threat Reduction","DTRA","20","Undistributed","Undistributed","020","020","","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"345",2012,"0111","D","DoD Acquisition Workforce Development Fund","AT&L","01","ACQ WORKFORCE DEV FD","Acq Workforce Dev Fd","010","010","","Acq Workforce Dev Fd","Y","Y","U",2010,"Total",99469,NA,NA,NA,NA
"346",2012,"0111","D","DoD Acquisition Workforce Development Fund","AT&L","20","Undistributed","Undistributed","020","020","","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"347",2012,"0105","D","Drug Interdiction & Ctr-Drug Activities, Def","DEPS","01","Operating Forces","Defensewide Activities","010","010","","Drug Interdiction And Counter-Drug Activities, Defense","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"348",2012,"0105","D","Drug Interdiction & Ctr-Drug Activities, Def","DEPS","20","Undistributed","Undistributed","020","020","","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"349",2012,"0810","A","Environmental Restoration, Army","ARMY","01","Environmental Restoration, Army","Defense Environmental Restoration Fund","030","030","","Environmental Restoration, Army","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"350",2012,"0810","A","Environmental Restoration, Army","ARMY","20","Environmental Restoration, Army","Undistributed","040","040","","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"351",2012,"0810","N","Environmental Restoration, Navy","NAVY","02","Environmental Restoration, Navy","Administration","050","050","","Environmental Restoration, Navy","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"352",2012,"0810","N","Environmental Restoration, Navy","NAVY","20","Environmental Restoration, Navy","Undistributed","060","060","","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"353",2012,"0810","F","Environmental Restoration, Air Force","AF","03","Environmental Restoration, Air Force","Administration","070","070","","Environmental Restoration, Air Force","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"354",2012,"0810","F","Environmental Restoration, Air Force","AF","20","Environmental Restoration, Air Force","Undistributed","080","080","","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"355",2012,"0810","D","Environmental Restoration, Defense","UNDD","04","Environmental Restoration, Defense","Administration","090","090","","Environmental Restoration, Defense","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"356",2012,"0810","D","Environmental Restoration, Defense","UNDD","20","Environmental Restoration, Defense","Undistributed","100","100","","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"357",2012,"0811","D","Environmental Restoration Formerly Used Sites","UNDD","05","Environmental Restoration Used Sites","Administration","110","110","","Environmental Restoration Formerly Used Sites","Y","Y","U",2010,"Total",1036,NA,NA,NA,NA
"358",2012,"0811","D","Environmental Restoration Formerly Used Sites","UNDD","20","Undistributed","Undistributed","120","120","","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"359",2012,"0118","D","Overseas Contingency Operations Transfer Fund","UNDD","01","Overseas Contingency Operations Transfer Fund","Administration","130","130","","Overseas Contingency Operations Transfer Fund","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"360",2012,"0118","D","Overseas Contingency Operations Transfer Fund","UNDD","20","Undistributed","Undistributed","140","140","","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"361",2012,"1236","N","Payment to Kaho'olawe Island Fund","NAVY","01","Payment to Kaho'olawe Island Fund","Logistics Operations And Technical Support","150","150","","Payment To Kaho'Olawe Island Fund","Y","Y","U",2010,"Total",4,NA,NA,NA,NA
"362",2012,"0838","D","Support Of International Sporting Comptns, Def","ARMY","01","Operations Support","Administration","160","160","","Support Of International Sporting Competitions, Defense","Y","Y","U",2010,"Total",1745,NA,NA,NA,NA
"363",2012,"0833","D","Emergency Response Fund, Defense","UNDD","01","Increased Situational Awareness","Administration","170","170","","Emergency Response Fund, Defense","Y","Y","U",2010,"Total",22909,NA,NA,NA,NA
"364",2012,"4965","D","Emergency Response Fund","UNDD","20","Undistributed","Administration","180","180","","Emergency Response Fund","Y","Y","U",2010,"Total",2,NA,NA,NA,NA
"365",2012,"5286","A","National Science Center, Army","ARMY","10","Concept Obligations","National Science Center, Army","190","190","","National Science Center, Army","N","N","U",2010,"Total",0,NA,NA,NA,NA
"366",2012,"5188","D","Disposal of DoD Real Property","AF","10","Concept Obligations","Disposal Of Dod Real Property","","","","Disposal Of DoD Real Property","N","N","U",2010,"Total",0,NA,NA,NA,NA
"367",2012,"5188","D","Disposal of DoD Real Property","ARMY","10","Concept Obligations","Disposal Of Dod Real Property","200","200","","Disposal Of DoD Real Property","N","N","U",2010,"Total",0,NA,NA,NA,NA
"368",2012,"5188","D","Disposal of DoD Real Property","NAVY","10","Concept Obligations","Disposal Of Dod Real Property","","","","Disposal Of DoD Real Property","N","N","U",2010,"Total",0,NA,NA,NA,NA
"369",2012,"5188","D","Disposal of DoD Real Property","UNDD","10","Concept Obligations","Disposal Of Dod Real Property","","","","Disposal Of DoD Real Property","N","N","U",2010,"Total",16357,NA,NA,NA,NA
"370",2012,"5188","D","Disposal of DoD Real Property","UNDD","20","Undistributed","Undistributed","210","210","","Adj to Match Continuing Resolution","N","N","U",2010,"Total",0,NA,NA,NA,NA
"371",2012,"5189","D","Lease of DoD Real Property","AF","10","Concept Obligations","Lease Of Dod Real Property","","","","Lease Of DoD Real Property","N","N","U",2010,"Total",0,NA,NA,NA,NA
"372",2012,"5189","D","Lease of DoD Real Property","ARMY","10","Concept Obligations","Lease Of Dod Real Property","220","220","","Lease Of DoD Real Property","N","N","U",2010,"Total",0,NA,NA,NA,NA
"373",2012,"5189","D","Lease of DoD Real Property","NAVY","10","Concept Obligations","Lease Of Dod Real Property","","","","Lease Of DoD Real Property","N","N","U",2010,"Total",0,NA,NA,NA,NA
"374",2012,"5189","D","Lease of DoD Real Property","UNDD","10","Concept Obligations","Lease Of Dod Real Property","","","","Lease Of DoD Real Property","N","N","U",2010,"Total",14195,NA,NA,NA,NA
"375",2012,"5189","D","Lease of DoD Real Property","UNDD","20","Undistributed","Undistributed","230","230","","Adj to Match Continuing Resolution","N","N","U",2010,"Total",0,NA,NA,NA,NA
"376",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA
"377",2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA
"378",2012,"by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA
"379",2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA
"380",2012,"level for each appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA
"381",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","Y","U",2011,"Base",NA,NA,2071379,NA,NA
"382",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2011,"Base",NA,NA,218027,NA,NA
"383",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2011,"Base",NA,NA,1473617,NA,NA
"384",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2011,"Base",NA,NA,1514129,NA,NA
"385",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2011,"Base",NA,NA,2665769,NA,NA
"386",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2011,"Base",NA,NA,1710081,NA,NA
"387",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2011,"Base",NA,NA,4802571,NA,NA
"388",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2011,"Base",NA,NA,1135621,NA,NA
"389",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2011,"Base",NA,NA,1695709,NA,NA
"390",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2011,"Base",NA,NA,14408820,NA,NA
"391",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration, & Modernization","Y","Y","U",2011,"Base",NA,NA,4764274,NA,NA
"392",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management And Operational Hq","Y","Y","U",2011,"Base",NA,NA,742969,NA,NA
"393",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","130","130","134","Combatant Commanders Core Operations","Y","Y","U",2011,"Base",NA,NA,319584,NA,NA
"394",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","140","140","135","Additional Activities","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"395",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","150","150","136","CommanderS Emergency Response Program","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"396",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","160","160","137","RESET","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"397",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","170","170","138","Combatant Commanders Ancillary Missions","Y","Y","U",2011,"Base",NA,NA,885555,NA,NA
"398",2012,"2020","A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","180","180","211","Strategic Mobility","Y","Y","U",2011,"Base",NA,NA,634882,NA,NA
"399",2012,"2020","A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","190","190","212","Army Prepositioning Stocks","Y","Y","U",2011,"Base",NA,NA,194770,NA,NA
"400",2012,"2020","A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","200","200","213","Industrial Preparedness","Y","Y","U",2011,"Base",NA,NA,10927,NA,NA
"401",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","210","210","311","Officer Acquisition","Y","Y","U",2011,"Base",NA,NA,247467,NA,NA
"402",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","220","220","312","Recruit Training","Y","Y","U",2011,"Base",NA,NA,142315,NA,NA
"403",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","230","230","313","One Station Unit Training","Y","Y","U",2011,"Base",NA,NA,120442,NA,NA
"404",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","240","240","314","Senior Reserve Officers Training Corps","Y","Y","U",2011,"Base",NA,NA,913163,NA,NA
"405",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills And Advanced Training","250","250","321","Specialized Skill Training","Y","Y","U",2011,"Base",NA,NA,2062227,NA,NA
"406",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills And Advanced Training","260","260","322","Flight Training","Y","Y","U",2011,"Base",NA,NA,1992898,NA,NA
"407",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills And Advanced Training","270","270","323","Professional Development Education","Y","Y","U",2011,"Base",NA,NA,311676,NA,NA
"408",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills And Advanced Training","280","280","324","Training Support","Y","Y","U",2011,"Base",NA,NA,1324377,NA,NA
"409",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","290","290","331","Recruiting And Advertising","Y","Y","U",2011,"Base",NA,NA,1036363,NA,NA
"410",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","300","300","332","Examining","Y","Y","U",2011,"Base",NA,NA,291643,NA,NA
"411",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","310","310","333","Off-Duty And Voluntary Education","Y","Y","U",2011,"Base",NA,NA,459436,NA,NA
"412",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","320","320","334","Civilian Education And Training","Y","Y","U",2011,"Base",NA,NA,420575,NA,NA
"413",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","330","330","335","Junior ROTC","Y","Y","U",2011,"Base",NA,NA,334041,NA,NA
"414",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Security Programs","340","340","411","Security Programs","Y","Y","U",2011,"Base",NA,NA,1962857,NA,NA
"415",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","350","350","421","Servicewide Transportation","Y","Y","U",2011,"Base",NA,NA,1120066,NA,NA
"416",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","360","360","422","Central Supply Activities","Y","Y","U",2011,"Base",NA,NA,1276090,NA,NA
"417",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","370","370","423","Logistic Support Activities","Y","Y","U",2011,"Base",NA,NA,959899,NA,NA
"418",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","380","380","424","Ammunition Management","Y","Y","U",2011,"Base",NA,NA,828726,NA,NA
"419",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","390","390","431","Administration","Y","Y","U",2011,"Base",NA,NA,1738064,NA,NA
"420",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","400","400","432","Servicewide Communications","Y","Y","U",2011,"Base",NA,NA,2911592,NA,NA
"421",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","410","410","433","Manpower Management","Y","Y","U",2011,"Base",NA,NA,701965,NA,NA
"422",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","420","420","434","Other Personnel Support","Y","Y","U",2011,"Base",NA,NA,498792,NA,NA
"423",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","430","430","435","Other Service Support","Y","Y","U",2011,"Base",NA,NA,2182978,NA,NA
"424",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","440","440","436","Army Claims Activities","Y","Y","U",2011,"Base",NA,NA,392373,NA,NA
"425",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","450","450","437","Real Estate Management","Y","Y","U",2011,"Base",NA,NA,321310,NA,NA
"426",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support Of Other Nations","460","460","441","Support Of NATO Operations","Y","Y","U",2011,"Base",NA,NA,881053,NA,NA
"427",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support Of Other Nations","470","470","442","Misc. Support Of Other Nations","Y","Y","U",2011,"Base",NA,NA,36538,NA,NA
"428",2012,"2020","A","Operation & Maintenance, Army","ARMY","20","Undistributed","Undistributed","480","480","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"Base",NA,NA,-3226320,NA,NA
"429",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","Y","U",2011,"Base",NA,NA,2446,NA,NA
"430",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2011,"Base",NA,NA,23684,NA,NA
"431",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2011,"Base",NA,NA,879233,NA,NA
"432",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2011,"Base",NA,NA,320582,NA,NA
"433",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2011,"Base",NA,NA,1060742,NA,NA
"434",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2011,"Base",NA,NA,134281,NA,NA
"435",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2011,"Base",NA,NA,746650,NA,NA
"436",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2011,"Base",NA,NA,206242,NA,NA
"437",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2011,"Base",NA,NA,261118,NA,NA
"438",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2011,"Base",NA,NA,1101195,NA,NA
"439",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration, & Modernization","Y","Y","U",2011,"Base",NA,NA,447399,NA,NA
"440",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","135","Additional Activities","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"441",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Logistics Operations","130","130","421","Servicewide Transportation","Y","Y","U",2011,"Base",NA,NA,24264,NA,NA
"442",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","140","140","431","Administration","Y","Y","U",2011,"Base",NA,NA,142499,NA,NA
"443",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","150","150","432","Servicewide Communications","Y","Y","U",2011,"Base",NA,NA,7245,NA,NA
"444",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","160","160","433","Manpower Management","Y","Y","U",2011,"Base",NA,NA,17639,NA,NA
"445",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","170","170","434","Recruiting And Advertising","Y","Y","U",2011,"Base",NA,NA,118062,NA,NA
"446",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","20","Undistributed","Undistributed","180","180","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"Base",NA,NA,-264873,NA,NA
"447",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","Y","U",2011,"Base",NA,NA,1566763,NA,NA
"448",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2011,"Base",NA,NA,323126,NA,NA
"449",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2011,"Base",NA,NA,1179289,NA,NA
"450",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2011,"Base",NA,NA,485115,NA,NA
"451",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2011,"Base",NA,NA,69210,NA,NA
"452",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2011,"Base",NA,NA,1628297,NA,NA
"453",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2011,"Base",NA,NA,1106602,NA,NA
"454",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2011,"Base",NA,NA,236763,NA,NA
"455",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2011,"Base",NA,NA,739112,NA,NA
"456",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2011,"Base",NA,NA,1811953,NA,NA
"457",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration, & Modernization","Y","Y","U",2011,"Base",NA,NA,1206999,NA,NA
"458",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management And Operational Hq","Y","Y","U",2011,"Base",NA,NA,1049574,NA,NA
"459",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","130","130","135","Additional Activities","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"460",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Logistics Operations","140","140","421","Servicewide Transportation","Y","Y","U",2011,"Base",NA,NA,34494,NA,NA
"461",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","150","150","431","Administration","Y","Y","U",2011,"Base",NA,NA,356719,NA,NA
"462",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","160","160","432","Servicewide Communications","Y","Y","U",2011,"Base",NA,NA,93533,NA,NA
"463",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","170","170","433","Manpower Management","Y","Y","U",2011,"Base",NA,NA,15567,NA,NA
"464",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","180","180","434","Recruiting And Advertising","Y","Y","U",2011,"Base",NA,NA,854516,NA,NA
"465",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","20","Undistributed","Undistributed","190","190","CR11","Adj to Match Continuing Resolution","Y","Y","U",2011,"Base",NA,NA,-387776,NA,NA
"466",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","010","010","ES01","Infrastructure","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"467",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","020","020","ES02","Equipment And Transportation","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"468",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","030","030","ES03","Training And Operations","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"469",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","040","040","ES04","Sustainment","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"470",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","060","060","ES05","Infrastructure","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"471",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","070","070","ES06","Equipment And Transportation","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"472",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","080","080","ES07","Training And Operations","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"473",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","090","090","ES08","Sustainment","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"474",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","110","110","ES10","Sustainment","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"475",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","120","120","ES11","Training And Operations","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"476",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","130","130","ES12","Infrastructure","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"477",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","140","140","ES14","Coin Activities","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
"478",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","150","150","ES16","Equipment And Transportation","Y","Y","U",2011,"Base",NA,NA,0,NA,NA
