"","SourceFiscalYear","AccountDSI","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"32",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","320","320","334","Civilian Education And Training","Y","Y","U",2010,"Total",213701,NA,NA,NA,NA
"33",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","330","330","335","Junior ROTC","Y","Y","U",2010,"Total",148950,NA,NA,NA,NA
"34",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Security Programs","340","340","411","Security Programs","Y","Y","U",2010,"Total",2587944,NA,NA,NA,NA
"35",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","350","350","421","Servicewide Transportation","Y","Y","U",2010,"Total",5244414,NA,NA,NA,NA
"36",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","360","360","422","Central Supply Activities","Y","Y","U",2010,"Total",607942,NA,NA,NA,NA
"37",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","370","370","423","Logistic Support Activities","Y","Y","U",2010,"Total",491071,NA,NA,NA,NA
"38",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","380","380","424","Ammunition Management","Y","Y","U",2010,"Total",357840,NA,NA,NA,NA
"39",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","390","390","431","Administration","Y","Y","U",2010,"Total",1160817,NA,NA,NA,NA
"40",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","400","400","432","Servicewide Communications","Y","Y","U",2010,"Total",1410823,NA,NA,NA,NA
"41",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","410","410","433","Manpower Management","Y","Y","U",2010,"Total",378584,NA,NA,NA,NA
"42",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","420","420","434","Other Personnel Support","Y","Y","U",2010,"Total",291817,NA,NA,NA,NA
"43",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","430","430","435","Other Service Support","Y","Y","U",2010,"Total",1832247,NA,NA,NA,NA
"44",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","440","440","436","Army Claims Activities","Y","Y","U",2010,"Total",214062,NA,NA,NA,NA
"45",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","450","450","437","Real Estate Management","Y","Y","U",2010,"Total",128393,NA,NA,NA,NA
"46",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support Of Other Nations","460","460","441","Support Of NATO Operations","Y","Y","U",2010,"Total",425313,NA,NA,NA,NA
"47",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support Of Other Nations","470","470","442","Misc. Support Of Other Nations","Y","Y","U",2010,"Total",14114,NA,NA,NA,NA
"48",2012,"2020","A","Operation & Maintenance, Army","ARMY","20","Undistributed","Undistributed","480","480","CR11","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"49",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","Y","U",2010,"Total",1299,NA,NA,NA,NA
"50",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2010,"Total",9771,NA,NA,NA,NA
