"","FiscalYear","AccountDSI","OriginType","SourceFiscalYear","EnactedTotal","EnactedType"
"290","2011","0810A","OCO",2011,0,0
"291","2011","0810A","Total",2011,0,0
"292","2011","0810D","Base",2011,0,0
"293","2011","0810D","OCO",2011,0,0
"294","2011","0810D","Total",2011,0,0
"295","2011","0810F","Base",2011,0,0
"296","2011","0810F","OCO",2011,0,0
"297","2011","0810F","Total",2011,0,0
"298","2011","0810N","Base",2011,0,0
"299","2011","0810N","OCO",2011,0,0
"300","2011","0810N","Total",2011,0,0
"301","2011","0811D","Base",2011,0,0
"302","2011","0811D","OCO",2011,0,0
"303","2011","0811D","Total",2011,0,0
"304","2011","0819D","Base",2011,0,0
"305","2011","0819D","OCO",2011,0,0
"306","2011","0819D","Total",2011,0,0
"307","2011","0833D","Base",2011,0,0
"308","2011","0833D","OCO",2011,0,0
"309","2011","0833D","Total",2011,0,0
"310","2011","0838D","Base",2011,0,0
"311","2011","0838D","OCO",2011,0,0
"312","2011","0838D","Total",2011,0,0
"313","2011","1000N","Base",2017,0,0
"314","2011","1000N","OCO",2017,0,0
"315","2011","1000N","Total",2017,0,0
"316","2011","1001N","Base",2017,0,0
"317","2011","1001N","OCO",2017,0,0
"318","2011","1001N","Total",2017,0,0
"319","2011","1002N","Base",2017,0,0
"320","2011","1002N","OCO",2017,0,0
"321","2011","1002N","Total",2017,0,0
"322","2011","1003N","Base",2017,0,0
"323","2011","1003N","OCO",2017,0,0
"324","2011","1003N","Total",2017,0,0
"325","2011","1004A","Base",2017,0,0
"326","2011","1004A","OCO",2017,0,0
"327","2011","1004A","Total",2017,0,0
"328","2011","1005A","Base",2017,0,0
"329","2011","1005A","OCO",2017,0,0
"330","2011","1005A","Total",2017,0,0
"331","2011","1006A","Base",2017,0,0
"332","2011","1006A","OCO",2017,0,0
"333","2011","1006A","Total",2017,0,0
"334","2011","1007F","Base",2017,0,0
"335","2011","1007F","OCO",2017,0,0
"336","2011","1007F","Total",2017,0,0
"337","2011","1008F","Base",2017,0,0
"338","2011","1008F","OCO",2017,0,0
"339","2011","1008F","Total",2017,0,0
"340","2011","1009F","Base",2017,0,0
"341","2011","1009F","OCO",2017,0,0
"342","2011","1009F","Total",2017,0,0
"343","2011","1105N","Base",2017,0,0
"344","2011","1105N","OCO",2017,0,0
"345","2011","1105N","Total",2017,0,0
"346","2011","1106N","Base",2011,0,0
"347","2011","1106N","OCO",2011,0,0
"348","2011","1106N","Total",2011,0,0
"349","2011","1107N","Base",2011,0,0
"350","2011","1107N","OCO",2011,0,0
"351","2011","1107N","Total",2011,0,0
"352","2011","1108N","Base",2017,0,0
"353","2011","1108N","OCO",2017,0,0
"354","2011","1108N","Total",2017,0,0
"355","2011","1109N","Base",2011,0,0
"356","2011","1109N","OCO",2011,0,0
"357","2011","1109N","Total",2011,0,0
"358","2011","1116N","Base",2011,0,0
"359","2011","1116N","OCO",2011,0,0
"360","2011","1116N","Total",2011,0,0
"361","2011","1117N","Base",2011,0,0
"362","2011","1117N","OCO",2011,0,0
"363","2011","1117N","Total",2011,0,0
"364","2011","1236N","Base",2011,0,0
"365","2011","1236N","OCO",2011,0,0
"366","2011","1236N","Total",2011,0,0
"367","2011","1319N","Base",2011,0,0
"368","2011","1319N","OCO",2011,0,0
"369","2011","1319N","Total",2011,0,0
"370","2011","1320N","Base",2011,0,0
"371","2011","1320N","OCO",2011,0,0
"372","2011","1320N","Total",2011,0,0
"373","2011","1405N","Base",2017,0,0
"374","2011","1405N","OCO",2017,0,0
"375","2011","1405N","Total",2017,0,0
"376","2011","1453N","Base",2017,0,0
"377","2011","1453N","OCO",2017,0,0
"378","2011","1453N","Total",2017,0,0
"379","2011","1506N","Base",2011,0,0
"380","2011","1506N","OCO",2011,0,0
"381","2011","1506N","Total",2011,0,0
"382","2011","1507N","Base",2011,0,0
"383","2011","1507N","OCO",2011,0,0
"384","2011","1507N","Total",2011,0,0
"385","2011","1508N","Base",2011,0,0
"386","2011","1508N","OCO",2011,0,0
"387","2011","1508N","Total",2011,0,0
"388","2011","1611N","Base",2011,0,0
"389","2011","1611N","OCO",2011,0,0
"390","2011","1611N","Total",2011,0,0
"391","2011","1804N","Base",2011,0,0
"392","2011","1804N","OCO",2011,0,0
"393","2011","1804N","Total",2011,0,0
"394","2011","1805N","Base",2011,0,0
"395","2011","1805N","OCO",2011,0,0
"396","2011","1805N","Total",2011,0,0
"397","2011","1806N","Base",2011,0,0
"398","2011","1806N","OCO",2011,0,0
"399","2011","1806N","Total",2011,0,0
"400","2011","1807N","Base",2011,0,0
"401","2011","1807N","OCO",2011,0,0
"402","2011","1807N","Total",2011,0,0
"403","2011","1810N","Base",2011,0,0
"404","2011","1810N","OCO",2011,0,0
"405","2011","1810N","Total",2011,0,0
"406","2011","2010A","Base",2017,0,0
"407","2011","2010A","OCO",2017,0,0
"408","2011","2010A","Total",2017,0,0
"409","2011","2020A","Base",2011,0,0
"410","2011","2020A","OCO",2011,0,0
"411","2011","2020A","Total",2011,0,0
"412","2011","2022A","Base",2011,0,0
"413","2011","2022A","OCO",2011,0,0
"414","2011","2022A","Total",2011,0,0
"415","2011","2031A","Base",2011,0,0
"416","2011","2031A","OCO",2011,0,0
"417","2011","2031A","Total",2011,0,0
"418","2011","2032A","Base",2011,0,0
"419","2011","2032A","OCO",2011,0,0
"420","2011","2032A","Total",2011,0,0
"421","2011","2033A","Base",2011,0,0
"422","2011","2033A","OCO",2011,0,0
"423","2011","2033A","Total",2011,0,0
"424","2011","2034A","Base",2011,0,0
"425","2011","2034A","OCO",2011,0,0
"426","2011","2034A","Total",2011,0,0
"427","2011","2035A","Base",2011,0,0
"428","2011","2035A","OCO",2011,0,0
"429","2011","2035A","Total",2011,0,0
"430","2011","2040A","Base",2011,0,0
"431","2011","2040A","OCO",2011,0,0
"432","2011","2040A","Total",2011,0,0
"433","2011","2041A","Base",2011,0,0
"434","2011","2041A","OCO",2011,0,0
"435","2011","2041A","Total",2011,0,0
"436","2011","2060A","Base",2017,0,0
"437","2011","2060A","OCO",2017,0,0
"438","2011","2060A","Total",2017,0,0
"439","2011","2065A","Base",2011,0,0
"440","2011","2065A","OCO",2011,0,0
"441","2011","2065A","Total",2011,0,0
"442","2011","2066A","Base",2011,0,0
"443","2011","2066A","OCO",2011,0,0
"444","2011","2066A","Total",2011,0,0
"445","2011","2070A","Base",2017,0,0
"446","2011","2070A","OCO",2017,0,0
"447","2011","2070A","Total",2017,0,0
"448","2011","2080A","Base",2011,0,0
"449","2011","2080A","OCO",2011,0,0
"450","2011","2080A","Total",2011,0,0
"451","2011","2081A","Base",2011,0,0
"452","2011","2081A","OCO",2011,0,0
"453","2011","2081A","Total",2011,0,0
"454","2011","2091A","Base",2011,0,0
"455","2011","2091A","OCO",2011,0,0
"456","2011","2091A","Total",2011,0,0
"457","2011","2092A","Base",2011,0,0
"458","2011","2092A","OCO",2011,0,0
"459","2011","2092A","Total",2011,0,0
"460","2011","2093A","Base",2011,0,0
"461","2011","2093A","OCO",2011,0,0
"462","2011","2093A","Total",2011,0,0
"463","2011","2095A","Base",2011,0,0
"464","2011","2095A","OCO",2011,0,0
"465","2011","2095A","Total",2011,0,0
"466","2011","3010F","Base",2011,0,0
"467","2011","3010F","OCO",2011,0,0
"468","2011","3010F","Total",2011,0,0
"469","2011","3011F","Base",2011,0,0
"470","2011","3011F","OCO",2011,0,0
"471","2011","3011F","Total",2011,0,0
"472","2011","3020F","Base",2011,0,0
"473","2011","3020F","OCO",2011,0,0
"474","2011","3020F","Total",2011,0,0
"475","2011","3024F","Base",2011,0,0
"476","2011","3024F","OCO",2011,0,0
"477","2011","3024F","Total",2011,0,0
"478","2011","3080F","Base",2011,0,0
"479","2011","3080F","OCO",2011,0,0
"480","2011","3080F","Total",2011,0,0
"481","2011","3400F","Base",2011,0,0
"482","2011","3400F","OCO",2011,0,0
"483","2011","3400F","Total",2011,0,0
"484","2011","3404F","Base",2011,0,0
"485","2011","3404F","OCO",2011,0,0
"486","2011","3404F","Total",2011,0,0
"487","2011","3500F","Base",2017,0,0
"488","2011","3500F","OCO",2017,0,0
"489","2011","3500F","Total",2017,0,0
"490","2011","3600F","Base",2011,0,0
"491","2011","3600F","OCO",2011,0,0
"492","2011","3600F","Total",2011,0,0
"493","2011","3605F","Base",2011,0,0
"494","2011","3605F","OCO",2011,0,0
"495","2011","3605F","Total",2011,0,0
"496","2011","3700F","Base",2017,0,0
"497","2011","3700F","OCO",2017,0,0
"498","2011","3700F","Total",2017,0,0
"499","2011","3740F","Base",2011,0,0
"500","2011","3740F","OCO",2011,0,0
"501","2011","3740F","Total",2011,0,0
"502","2011","3744F","Base",2011,0,0
"503","2011","3744F","OCO",2011,0,0
"504","2011","3744F","Total",2011,0,0
"505","2011","3840F","Base",2011,0,0
"506","2011","3840F","OCO",2011,0,0
"507","2011","3840F","Total",2011,0,0
"508","2011","3844F","Base",2011,0,0
"509","2011","3844F","OCO",2011,0,0
"510","2011","3844F","Total",2011,0,0
"511","2011","3850F","Base",2017,0,0
"512","2011","3850F","OCO",2017,0,0
"513","2011","3850F","Total",2017,0,0
"514","2011","4557N","Base",2011,0,0
"515","2011","4557N","OCO",2011,0,0
"516","2011","4557N","Total",2011,0,0
"517","2011","4640D","Base",2011,0,0
"518","2011","4640D","OCO",2011,0,0
"519","2011","4640D","Total",2011,0,0
"520","2011","493001A","Base",2011,0,0
"521","2011","493001A","OCO",2011,0,0
"522","2011","493001A","Total",2011,0,0
"523","2011","493002N","Base",2011,0,0
"524","2011","493002N","OCO",2011,0,0
"525","2011","493002N","Total",2011,0,0
"526","2011","493003F","Base",2011,0,0
"527","2011","493003F","OCO",2011,0,0
"528","2011","493003F","Total",2011,0,0
"529","2011","493004D","Base",2011,0,0
"530","2011","493004D","OCO",2011,0,0
"531","2011","493004D","Total",2011,0,0
"532","2011","493005D","Base",2011,0,0
"533","2011","493005D","OCO",2011,0,0
"534","2011","493005D","Total",2011,0,0
"535","2011","5185N","Base",2011,0,0
"536","2011","5185N","OCO",2011,0,0
"537","2011","5185N","Total",2011,0,0
"538","2011","5188D","Base",2011,0,0
"539","2011","5188D","OCO",2011,0,0
"540","2011","5188D","Total",2011,0,0
"541","2011","5189D","Base",2011,0,0
"542","2011","5189D","OCO",2011,0,0
"543","2011","5189D","Total",2011,0,0
"544","2011","5193D","Base",2011,0,0
"545","2011","5193D","OCO",2011,0,0
"546","2011","5193D","Total",2011,0,0
"547","2011","5286A","Base",2011,0,0
"548","2011","5286A","OCO",2011,0,0
"549","2011","5286A","Total",2011,0,0
"550","2011","Unlabeled","OCO",2011,0,0
"551","2011","Unlabeled","Total",2011,0,0
"552","2010","Unlabeled","Base",2012,0,0
"553","2010","Unlabeled","OCO",2012,0,0
"554","2010","","Total",2012,0,0
"555","2010","* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level","Total",2012,0,0
"556","2010","** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding","Total",2012,0,0
"557","2010","0100","Total",2012,0,0
"558","2010","0104","Total",2012,0,0
"559","2010","0105","Total",2012,0,0
"560","2010","0107","Total",2012,0,0
"561","2010","0107D","Total",2012,0,0
"562","2010","0111","Total",2012,0,0
"563","2010","0118","Total",2012,0,0
"564","2010","0130","Total",2012,0,0
"565","2010","0130D","Total",2012,0,0
"566","2010","0134","Total",2012,0,0
"567","2010","0144D","Total",2012,0,0
"568","2010","0300D","Total",2012,0,0
"569","2010","0303D","Total",2012,0,0
"570","2010","0350D","Total",2012,0,0
"571","2010","0360D","Total",2012,0,0
"572","2010","0390D","Total",2012,0,0
"573","2010","0400D","Total",2012,0,0
"574","2010","0460D","Total",2012,0,0
"575","2010","0810","Total",2012,0,0
"576","2010","0811","Total",2012,0,0
"577","2010","0819","Total",2012,0,0
"578","2010","0833","Total",2012,0,0
"579","2010","0838","Total",2012,0,0
"580","2010","1106","Total",2012,0,0
"581","2010","1107","Total",2012,0,0
"582","2010","1109N","Total",2012,0,0
"583","2010","1236","Total",2012,0,0
"584","2010","1319N","Total",2012,0,0
"585","2010","1506N","Total",2012,0,0
"586","2010","1507N","Total",2012,0,0
"587","2010","1508N","Total",2012,0,0
"588","2010","1611N","Total",2012,0,0
"589","2010","1804","Total",2012,0,0
"590","2010","1806","Total",2012,0,0
"591","2010","1810N","Total",2012,0,0
"592","2010","2020","Total",2012,0,0
"593","2010","2031A","Total",2012,0,0
"594","2010","2032A","Total",2012,0,0
"595","2010","2033A","Total",2012,0,0
"596","2010","2034A","Total",2012,0,0
"597","2010","2035A","Total",2012,0,0
"598","2010","2040A","Total",2012,0,0
"599","2010","2065","Total",2012,0,0
"600","2010","2080","Total",2012,0,0
"601","2010","2091","Total",2012,0,0
"602","2010","2092","Total",2012,0,0
"603","2010","2093A","Total",2012,0,0
"604","2010","2096","Total",2012,0,0
"605","2010","3010F","Total",2012,0,0
"606","2010","3011F","Total",2012,0,0
"607","2010","3020F","Total",2012,0,0
"608","2010","3024F","Total",2012,0,0
"609","2010","3080F","Total",2012,0,0
"610","2010","3400","Total",2012,0,0
"611","2010","3600F","Total",2012,0,0
"612","2010","3740","Total",2012,0,0
"613","2010","3840","Total",2012,0,0
"614","2010","4557N","Total",2012,0,0
"615","2010","4640D","Total",2012,0,0
"616","2010","493001A","Total",2012,0,0
"617","2010","493002N","Total",2012,0,0
"618","2010","493003F","Total",2012,0,0
"619","2010","493004D","Total",2012,0,0
"620","2010","493005D","Total",2012,0,0
"621","2010","4965","Total",2012,0,0
"622","2010","5188","Total",2012,0,0
"623","2010","5189","Total",2012,0,0
"624","2010","5286","Total",2012,0,0
"625","2010","by appropriation.","Total",2012,0,0
"626","2010","level for each appropriation.","Total",2012,0,0
"627","2010","Unlabeled","Total",2012,0,0
"628","2011","","Base",2012,0,0
"629","2011","* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level","Base",2012,0,0
"630","2011","** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding","Base",2012,0,0
"631","2011","0100","Base",2012,0,56393146
"632","2011","0104","Base",2012,0,27828
"633","2011","0105","Base",2012,0,2316452
"634","2011","0107","Base",2012,0,576200
"635","2011","0107D","Base",2012,0,0
"636","2011","0111","Base",2012,0,823748
"637","2011","0118","Base",2012,0,0
"638","2011","0130","Base",2012,0,58494356
"639","2011","0130D","Base",2012,0,972549
"640","2011","0134","Base",2012,0,847120
"641","2011","0144D","Base",2012,0,0
"642","2011","0300D","Base",2012,0,0
"643","2011","0303D","Base",2012,0,0
"644","2011","0350D","Base",2012,0,0
"645","2011","0360D","Base",2012,0,0
"646","2011","0390D","Base",2012,0,810640
"647","2011","0400D","Base",2012,0,41250190
"648","2011","0460D","Base",2012,0,376474
"649","2011","0810","Base",2012,0,2426162
"650","2011","0811","Base",2012,0,584664
"651","2011","0819","Base",2012,0,219462
"652","2011","0833","Base",2012,0,0
"653","2011","0838","Base",2012,0,0
"654","2011","1106","Base",2012,0,11064302
"655","2011","1107","Base",2012,0,445788
"656","2011","1109N","Base",2012,0,0
"657","2011","1236","Base",2012,0,0
"658","2011","1319N","Base",2012,0,39816972
"659","2011","1506N","Base",2012,0,0
"660","2011","1507N","Base",2012,0,0
"661","2011","1508N","Base",2012,0,0
"662","2011","1611N","Base",2012,0,0
"663","2011","1804","Base",2012,0,69341474
"664","2011","1806","Base",2012,0,2544198
"665","2011","1810N","Base",2012,0,0
"666","2011","2020","Base",2012,0,61491290
"667","2011","2031A","Base",2012,0,0
"668","2011","2032A","Base",2012,0,0
"669","2011","2033A","Base",2012,0,0
"670","2011","2034A","Base",2012,0,0
"671","2011","2035A","Base",2012,0,0
"672","2011","2040A","Base",2012,0,22829028
