"","FiscalYear","AccountDSI","OriginType","SourceFiscalYear","EnactedTotal","EnactedType"
"1","2009","0100D","Total",2011,0,0
"2","2009","0104D","Total",2011,0,0
"3","2009","0105D","Total",2011,0,0
"4","2009","0107D","Total",2011,0,0
"5","2009","0111D","Total",2011,0,0
"6","2009","0112D","Total",2011,0,0
"7","2009","0118D","Total",2011,0,0
"8","2009","0130D","Total",2011,0,0
"9","2009","0134D","Total",2011,0,0
"10","2009","0144D","Total",2011,0,0
"11","2009","0150D","Total",2011,0,0
"12","2009","0300D","Total",2011,0,0
"13","2009","0350D","Total",2011,0,0
"14","2009","0360D","Total",2011,0,0
"15","2009","0390D","Total",2011,0,0
"16","2009","0400D","Total",2011,0,0
"17","2009","0401D","Total",2011,0,0
"18","2009","0460D","Total",2011,0,0
"19","2009","0810A","Total",2011,0,0
"20","2009","0810D","Total",2011,0,0
"21","2009","0810F","Total",2011,0,0
"22","2009","0810N","Total",2011,0,0
"23","2009","0811D","Total",2011,0,0
"24","2009","0819D","Total",2011,0,0
"25","2009","0833D","Total",2011,0,0
"26","2009","0838D","Total",2011,0,0
"27","2009","1000N","Total",2017,0,0
"28","2009","1001N","Total",2017,0,0
"29","2009","1002N","Total",2017,0,0
"30","2009","1003N","Total",2017,0,0
"31","2009","1004A","Total",2017,0,0
"32","2009","1005A","Total",2017,0,0
"33","2009","1006A","Total",2017,0,0
"34","2009","1007F","Total",2017,0,0
"35","2009","1008F","Total",2017,0,0
"36","2009","1009F","Total",2017,0,0
"37","2009","1105N","Total",2017,0,0
"38","2009","1106N","Total",2011,0,0
"39","2009","1107N","Total",2011,0,0
"40","2009","1108N","Total",2017,0,0
"41","2009","1109N","Total",2011,0,0
"42","2009","1116N","Total",2011,0,0
"43","2009","1117N","Total",2011,0,0
"44","2009","1236N","Total",2011,0,0
"45","2009","1319N","Total",2011,0,0
"46","2009","1320N","Total",2011,0,0
"47","2009","1405N","Total",2017,0,0
"48","2009","1453N","Total",2017,0,0
"49","2009","1506N","Total",2011,0,0
"50","2009","1507N","Total",2011,0,0
"51","2009","1508N","Total",2011,0,0
"52","2009","1611N","Total",2011,0,0
"53","2009","1804N","Total",2011,0,0
"54","2009","1805N","Total",2011,0,0
"55","2009","1806N","Total",2011,0,0
"56","2009","1807N","Total",2011,0,0
"57","2009","1810N","Total",2011,0,0
"58","2009","2010A","Total",2017,0,0
"59","2009","2020A","Total",2011,0,0
"60","2009","2022A","Total",2011,0,0
"61","2009","2031A","Total",2011,0,0
"62","2009","2032A","Total",2011,0,0
"63","2009","2033A","Total",2011,0,0
"64","2009","2034A","Total",2011,0,0
"65","2009","2035A","Total",2011,0,0
"66","2009","2040A","Total",2011,0,0
"67","2009","2041A","Total",2011,0,0
"68","2009","2060A","Total",2017,0,0
"69","2009","2065A","Total",2011,0,0
"70","2009","2066A","Total",2011,0,0
"71","2009","2070A","Total",2017,0,0
"72","2009","2080A","Total",2011,0,0
"73","2009","2081A","Total",2011,0,0
"74","2009","2091A","Total",2011,0,0
"75","2009","2092A","Total",2011,0,0
"76","2009","2093A","Total",2011,0,0
"77","2009","2095A","Total",2011,0,0
"78","2009","3010F","Total",2011,0,0
"79","2009","3011F","Total",2011,0,0
"80","2009","3020F","Total",2011,0,0
"81","2009","3024F","Total",2011,0,0
"82","2009","3080F","Total",2011,0,0
"83","2009","3400F","Total",2011,0,0
"84","2009","3404F","Total",2011,0,0
"85","2009","3500F","Total",2017,0,0
"86","2009","3600F","Total",2011,0,0
"87","2009","3605F","Total",2011,0,0
"88","2009","3700F","Total",2017,0,0
"89","2009","3740F","Total",2011,0,0
"90","2009","3744F","Total",2011,0,0
"91","2009","3840F","Total",2011,0,0
"92","2009","3844F","Total",2011,0,0
"93","2009","3850F","Total",2017,0,0
"94","2009","4557N","Total",2011,0,0
"95","2009","4640D","Total",2011,0,0
"96","2009","493001A","Total",2011,0,0
"97","2009","493002N","Total",2011,0,0
"98","2009","493003F","Total",2011,0,0
"99","2009","493004D","Total",2011,0,0
"100","2009","493005D","Total",2011,0,0
"101","2009","5185N","Total",2011,0,0
"102","2009","5188D","Total",2011,0,0
"103","2009","5189D","Total",2011,0,0
"104","2009","5193D","Total",2011,0,0
"105","2009","5286A","Total",2011,0,0
"106","2009","Unlabeled","Total",2011,0,0
"107","2010","0100D","Total",2011,36875894,0
"108","2010","0104D","Total",2011,13914,0
"109","2010","0105D","Total",2011,1598829,0
"110","2010","0107D","Total",2011,296976,0
"111","2010","0111D","Total",2011,99874,0
"112","2010","0112D","Total",2011,0,0
"113","2010","0118D","Total",2011,5350000,0
"114","2010","0130D","Total",2011,30637220,0
"115","2010","0134D","Total",2011,423560,0
"116","2010","0144D","OCO",2011,0,0
"117","2010","0144D","Total",2011,13746000,0
"118","2010","0150D","Total",2011,0,0
"119","2010","0300D","OCO",2011,0,0
"120","2010","0300D","Total",2011,9067648,0
"121","2010","0350D","OCO",2011,0,0
"122","2010","0350D","Total",2011,1900000,0
"123","2010","0360D","OCO",2011,0,0
"124","2010","0360D","Total",2011,300562,0
"125","2010","0390D","OCO",2011,0,0
"126","2010","0390D","Total",2011,3121520,0
"127","2010","0400D","Total",2011,20759429,0
"128","2010","0401D","Total",2011,0,0
"129","2010","0460D","Total",2011,188237,0
"130","2010","0810A","Total",2011,422832,0
"131","2010","0810D","Total",2011,11086,0
"132","2010","0810F","Total",2011,493654,0
"133","2010","0810N","Total",2011,285509,0
"134","2010","0811D","Total",2011,292332,0
"135","2010","0819D","Total",2011,109731,0
"136","2010","0833D","Total",2011,0,0
"137","2010","0838D","Total",2011,0,0
"138","2010","1000N","Total",2017,1825661,0
"139","2010","1001N","Total",2017,1136146,0
"140","2010","1002N","Total",2017,234278,0
"141","2010","1003N","Total",2017,128897,0
"142","2010","1004A","Total",2017,3123620,0
"143","2010","1005A","Total",2017,694313,0
"144","2010","1006A","Total",2017,1216585,0
"145","2010","1007F","Total",2017,1836211,0
"146","2010","1008F","Total",2017,225191,0
"147","2010","1009F","Total",2017,374928,0
"148","2010","1105N","Total",2017,13662111,0
"149","2010","1106N","Total",2011,10034582,0
"150","2010","1107N","Total",2011,310235,0
"151","2010","1108N","Total",2017,646095,0
"152","2010","1109N","OCO",2011,0,0
"153","2010","1109N","Total",2011,4820018,0
"154","2010","1116N","Total",2011,0,0
"155","2010","1117N","Total",2011,0,0
"156","2010","1236N","Total",2011,0,0
"157","2010","1319N","Total",2011,19972506,0
"158","2010","1320N","Total",2011,0,0
"159","2010","1405N","Total",2017,1948978,0
"160","2010","1453N","Total",2017,26718128,0
"161","2010","1506N","OCO",2011,0,0
"162","2010","1506N","Total",2011,38878030,0
"163","2010","1507N","OCO",2011,0,0
"164","2010","1507N","Total",2011,6795832,0
"165","2010","1508N","OCO",2011,0,0
"166","2010","1508N","Total",2011,2948276,0
"167","2010","1611N","OCO",2011,0,0
"168","2010","1611N","Total",2011,27677432,0
"169","2010","1804N","Total",2011,42460764,0
"170","2010","1805N","Total",2011,0,0
"171","2010","1806N","Total",2011,1402000,0
"172","2010","1807N","Total",2011,0,0
"173","2010","1810N","OCO",2011,0,0
"174","2010","1810N","Total",2011,11330938,0
"175","2010","2010A","Total",2017,52580261,0
"176","2010","2020A","Total",2011,90284464,0
"177","2010","2022A","Total",2011,0,0
"178","2010","2031A","OCO",2011,0,0
"179","2010","2031A","Total",2011,12632660,0
"180","2010","2032A","OCO",2011,0,0
"181","2010","2032A","Total",2011,3446296,0
"182","2010","2033A","OCO",2011,0,0
"183","2010","2033A","Total",2011,6996138,0
"184","2010","2034A","OCO",2011,0,0
"185","2010","2034A","Total",2011,4830816,0
"186","2010","2035A","OCO",2011,0,0
"187","2010","2035A","Total",2011,28713408,0
"188","2010","2040A","Total",2011,11534438,0
"189","2010","2041A","Total",2011,0,0
"190","2010","2060A","Total",2017,8405055,0
"191","2010","2065A","Total",2011,6678408,0
"192","2010","2066A","Total",2011,0,0
"193","2010","2070A","Total",2017,4619968,0
"194","2010","2080A","Total",2011,2885929,0
"195","2010","2081A","Total",2011,0,0
"196","2010","2091A","Total",2011,9166769,0
"197","2010","2092A","Total",2011,1e+06,0
"198","2010","2093A","OCO",2011,0,0
"199","2010","2093A","Total",2011,3767120,0
"200","2010","2095A","Total",2011,7e+05,0
"201","2010","3010F","OCO",2011,0,0
"202","2010","3010F","Total",2011,27981934,0
"203","2010","3011F","OCO",2011,0,0
"204","2010","3011F","Total",2011,2111794,0
"205","2010","3020F","OCO",2011,0,0
"206","2010","3020F","Total",2011,12025218,0
"207","2010","3024F","Total",2011,291715,0
"208","2010","3080F","OCO",2011,0,0
"209","2010","3080F","Total",2011,39334758,0
"210","2010","3400F","Total",2011,46362979,0
"211","2010","3404F","Total",2011,0,0
"212","2010","3500F","Total",2017,27935580,0
"213","2010","3600F","Total",2011,28169372,0
"214","2010","3605F","Total",2011,0,0
"215","2010","3700F","Total",2017,1610526,0
"216","2010","3740F","Total",2011,3349006,0
"217","2010","3744F","Total",2011,0,0
"218","2010","3840F","Total",2011,6325996,0
"219","2010","3844F","Total",2011,0,0
"220","2010","3850F","Total",2017,2949247,0
"221","2010","4557N","Total",2011,1667945,0
"222","2010","4640D","Total",2011,0,0
"223","2010","493001A","Total",2011,47159,0
"224","2010","493002N","Total",2011,155290,0
"225","2010","493003F","Total",2011,817860,0
"226","2010","493004D","Total",2011,1309836,0
"227","2010","493005D","Total",2011,507854,0
"228","2010","5185N","Total",2011,0,0
"229","2010","5188D","Total",2011,8347,0
"230","2010","5189D","Total",2011,19550,0
"231","2010","5193D","Total",2011,1227,0
"232","2010","5286A","Total",2011,25,0
"233","2010","Unlabeled","OCO",2011,0,4816151
"234","2010","Unlabeled","Total",2011,98251023,0
"235","2011","0100D","Base",2011,0,0
"236","2011","0100D","OCO",2011,0,0
"237","2011","0100D","Total",2011,0,0
"238","2011","0104D","Base",2011,0,0
"239","2011","0104D","OCO",2011,0,0
"240","2011","0104D","Total",2011,0,0
"241","2011","0105D","Base",2011,0,0
"242","2011","0105D","OCO",2011,0,0
"243","2011","0105D","Total",2011,0,0
"244","2011","0107D","Base",2011,0,0
"245","2011","0107D","OCO",2011,0,0
"246","2011","0107D","Total",2011,0,0
"247","2011","0111D","Base",2011,0,0
"248","2011","0111D","OCO",2011,0,0
"249","2011","0111D","Total",2011,0,0
"250","2011","0112D","Base",2011,0,0
"251","2011","0112D","OCO",2011,0,0
"252","2011","0112D","Total",2011,0,0
"253","2011","0118D","Base",2011,0,0
"254","2011","0118D","OCO",2011,0,0
"255","2011","0118D","Total",2011,0,0
"256","2011","0130D","Base",2011,0,0
"257","2011","0130D","OCO",2011,0,0
"258","2011","0130D","Total",2011,0,0
"259","2011","0134D","Base",2011,0,0
"260","2011","0134D","OCO",2011,0,0
"261","2011","0134D","Total",2011,0,0
"262","2011","0144D","Base",2011,0,0
"263","2011","0144D","OCO",2011,0,0
"264","2011","0144D","Total",2011,0,0
"265","2011","0150D","Base",2011,0,0
"266","2011","0150D","OCO",2011,0,0
"267","2011","0150D","Total",2011,0,0
"268","2011","0300D","Base",2011,0,0
"269","2011","0300D","OCO",2011,0,0
"270","2011","0300D","Total",2011,0,0
"271","2011","0350D","Base",2011,0,0
"272","2011","0350D","OCO",2011,0,0
"273","2011","0350D","Total",2011,0,0
"274","2011","0360D","Base",2011,0,0
"275","2011","0360D","OCO",2011,0,0
"276","2011","0360D","Total",2011,0,0
"277","2011","0390D","Base",2011,0,0
"278","2011","0390D","OCO",2011,0,0
"279","2011","0390D","Total",2011,0,0
"280","2011","0400D","Base",2011,0,0
"281","2011","0400D","OCO",2011,0,0
"282","2011","0400D","Total",2011,0,0
"283","2011","0401D","Base",2011,0,0
"284","2011","0401D","OCO",2011,0,0
"285","2011","0401D","Total",2011,0,0
"286","2011","0460D","Base",2011,0,0
"287","2011","0460D","OCO",2011,0,0
"288","2011","0460D","Total",2011,0,0
"289","2011","0810A","Base",2011,0,0
