"","SourceFiscalYear","FiscalYear","OriginType","AccountDSI","EnactedTotal","EnactedType"
"1",2011,"2009","Total","0100D",0,0
"2",2011,"2009","Total","0104D",0,0
"3",2011,"2009","Total","0105D",0,0
"4",2011,"2009","Total","0107D",0,0
"5",2011,"2009","Total","0111D",0,0
"6",2011,"2009","Total","0112D",0,0
"7",2011,"2009","Total","0118D",0,0
"8",2011,"2009","Total","0130D",0,0
"9",2011,"2009","Total","0134D",0,0
"10",2011,"2009","Total","0144D",0,0
"11",2011,"2009","Total","0150D",0,0
"12",2011,"2009","Total","0300D",0,0
"13",2011,"2009","Total","0350D",0,0
"14",2011,"2009","Total","0360D",0,0
"15",2011,"2009","Total","0390D",0,0
"16",2011,"2009","Total","0400D",0,0
"17",2011,"2009","Total","0401D",0,0
"18",2011,"2009","Total","0460D",0,0
"19",2011,"2009","Total","0810A",0,0
"20",2011,"2009","Total","0810D",0,0
"21",2011,"2009","Total","0810F",0,0
"22",2011,"2009","Total","0810N",0,0
"23",2011,"2009","Total","0811D",0,0
"24",2011,"2009","Total","0819D",0,0
"25",2011,"2009","Total","0833D",0,0
"26",2011,"2009","Total","0838D",0,0
"27",2011,"2009","Total","1106N",0,0
"28",2011,"2009","Total","1107N",0,0
"29",2011,"2009","Total","1109N",0,0
"30",2011,"2009","Total","1116N",0,0
"31",2011,"2009","Total","1117N",0,0
"32",2011,"2009","Total","1236N",0,0
"33",2011,"2009","Total","1319N",0,0
"34",2011,"2009","Total","1320N",0,0
"35",2011,"2009","Total","1506N",0,0
"36",2011,"2009","Total","1507N",0,0
"37",2011,"2009","Total","1508N",0,0
"38",2011,"2009","Total","1611N",0,0
"39",2011,"2009","Total","1804N",0,0
"40",2011,"2009","Total","1805N",0,0
"41",2011,"2009","Total","1806N",0,0
"42",2011,"2009","Total","1807N",0,0
"43",2011,"2009","Total","1810N",0,0
"44",2011,"2009","Total","2020A",0,0
"45",2011,"2009","Total","2022A",0,0
"46",2011,"2009","Total","2031A",0,0
"47",2011,"2009","Total","2032A",0,0
"48",2011,"2009","Total","2033A",0,0
"49",2011,"2009","Total","2034A",0,0
"50",2011,"2009","Total","2035A",0,0
"51",2011,"2009","Total","2040A",0,0
"52",2011,"2009","Total","2041A",0,0
"53",2011,"2009","Total","2065A",0,0
"54",2011,"2009","Total","2066A",0,0
"55",2011,"2009","Total","2080A",0,0
"56",2011,"2009","Total","2081A",0,0
"57",2011,"2009","Total","2091A",0,0
"58",2011,"2009","Total","2092A",0,0
"59",2011,"2009","Total","2093A",0,0
"60",2011,"2009","Total","2095A",0,0
"61",2011,"2009","Total","3010F",0,0
"62",2011,"2009","Total","3011F",0,0
"63",2011,"2009","Total","3020F",0,0
"64",2011,"2009","Total","3024F",0,0
"65",2011,"2009","Total","3080F",0,0
"66",2011,"2009","Total","3400F",0,0
"67",2011,"2009","Total","3404F",0,0
"68",2011,"2009","Total","3600F",0,0
"69",2011,"2009","Total","3605F",0,0
"70",2011,"2009","Total","3740F",0,0
"71",2011,"2009","Total","3744F",0,0
"72",2011,"2009","Total","3840F",0,0
"73",2011,"2009","Total","3844F",0,0
"74",2011,"2009","Total","4557N",0,0
"75",2011,"2009","Total","4640D",0,0
"76",2011,"2009","Total","493001A",0,0
"77",2011,"2009","Total","493002N",0,0
"78",2011,"2009","Total","493003F",0,0
"79",2011,"2009","Total","493004D",0,0
"80",2011,"2009","Total","493005D",0,0
"81",2011,"2009","Total","5185N",0,0
"82",2011,"2009","Total","5188D",0,0
"83",2011,"2009","Total","5189D",0,0
"84",2011,"2009","Total","5193D",0,0
"85",2011,"2009","Total","5286A",0,0
"86",2011,"2009","Total","Unlabeled",0,0
