"","SourceFiscalYear","FiscalYear","OriginType","AccountDSI","EnactedTotal","EnactedType"
"1",2014,2012,"Base","Unlabeled",0,0
"2",2014,2012,"OCO","Unlabeled",0,0
"3",2014,2012,"Total","",0,0
"4",2014,2012,"Total","   by appropriation.",0,0
"5",2014,2012,"Total","*  Reflects the FY 2013 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",0,0
"6",2014,2012,"Total","0100D",0,0
"7",2014,2012,"Total","0104D",0,0
"8",2014,2012,"Total","0105D",0,0
"9",2014,2012,"Total","0107D",0,0
"10",2014,2012,"Total","0111D",0,0
"11",2014,2012,"Total","0118D",0,0
"12",2014,2012,"Total","0130D",0,0
"13",2014,2012,"Total","0134D",0,0
"14",2014,2012,"Total","0144D",0,0
"15",2014,2012,"Total","0300D",0,0
"16",2014,2012,"Total","0303D",0,0
"17",2014,2012,"Total","0350D",0,0
"18",2014,2012,"Total","0360D",0,0
"19",2014,2012,"Total","0390D",0,0
"20",2014,2012,"Total","0400D",0,0
"21",2014,2012,"Total","0460D",0,0
"22",2014,2012,"Total","0462D",0,0
"23",2014,2012,"Total","0810A",0,0
"24",2014,2012,"Total","0810D",0,0
"25",2014,2012,"Total","0810F",0,0
"26",2014,2012,"Total","0810N",0,0
"27",2014,2012,"Total","0811D",0,0
"28",2014,2012,"Total","0819D",0,0
"29",2014,2012,"Total","0833D",0,0
"30",2014,2012,"Total","0838D",0,0
"31",2014,2012,"Total","1106N",0,0
"32",2014,2012,"Total","1107N",0,0
"33",2014,2012,"Total","1109N",0,0
"34",2014,2012,"Total","1319N",0,0
"35",2014,2012,"Total","1506N",0,0
"36",2014,2012,"Total","1507N",0,0
"37",2014,2012,"Total","1508N",0,0
"38",2014,2012,"Total","1611N",0,0
"39",2014,2012,"Total","1804N",0,0
"40",2014,2012,"Total","1806N",0,0
"41",2014,2012,"Total","1810N",0,0
"42",2014,2012,"Total","2020A",0,0
"43",2014,2012,"Total","2031A",0,0
"44",2014,2012,"Total","2032A",0,0
"45",2014,2012,"Total","2033A",0,0
"46",2014,2012,"Total","2034A",0,0
"47",2014,2012,"Total","2035A",0,0
"48",2014,2012,"Total","2040A",0,0
"49",2014,2012,"Total","2065A",0,0
"50",2014,2012,"Total","2080A",0,0
"51",2014,2012,"Total","2091A",0,0
"52",2014,2012,"Total","2093A",0,0
"53",2014,2012,"Total","2096A",0,0
"54",2014,2012,"Total","3010F",0,0
"55",2014,2012,"Total","3011F",0,0
"56",2014,2012,"Total","3020F",0,0
"57",2014,2012,"Total","3080F",0,0
"58",2014,2012,"Total","3400F",0,0
"59",2014,2012,"Total","3600F",0,0
"60",2014,2012,"Total","3740F",0,0
"61",2014,2012,"Total","3840F",0,0
"62",2014,2012,"Total","4557N",0,0
"63",2014,2012,"Total","493001A",0,0
"64",2014,2012,"Total","493002N",0,0
"65",2014,2012,"Total","493003F",0,0
"66",2014,2012,"Total","493004D",0,0
"67",2014,2012,"Total","493005D",0,0
"68",2014,2012,"Total","5188D",0,0
"69",2014,2012,"Total","5189D",0,0
"70",2014,2012,"Total","5286A",0,0
"71",2014,2012,"Total","Unlabeled",0,0
"72",2014,2013,"Base","",0,0
"73",2014,2013,"Base","   by appropriation.",0,0
"74",2014,2013,"Base","*  Reflects the FY 2013 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",0,0
"75",2014,2013,"Base","0100D",0,30631995
"76",2014,2013,"Base","0104D",0,13946
"77",2014,2013,"Base","0105D",0,1217023
"78",2014,2013,"Base","0107D",0,349042
"79",2014,2013,"Base","0111D",0,675694
"80",2014,2013,"Base","0118D",0,0
"81",2014,2013,"Base","0130D",0,33342236
"82",2014,2013,"Base","0134D",0,511329
"83",2014,2013,"Base","0144D",0,0
"84",2014,2013,"Base","0300D",0,0
"85",2014,2013,"Base","0303D",0,0
"86",2014,2013,"Base","0350D",0,0
"87",2014,2013,"Base","0360D",0,0
"88",2014,2013,"Base","0390D",0,647351
"89",2014,2013,"Base","0400D",0,19278139
"90",2014,2013,"Base","0460D",0,189188
"91",2014,2013,"Base","0462D",0,312660
"92",2014,2013,"Base","0810A",0,348149
"93",2014,2013,"Base","0810D",0,10782
"94",2014,2013,"Base","0810F",0,528669
"95",2014,2013,"Base","0810N",0,310557
"96",2014,2013,"Base","0811D",0,328493
"97",2014,2013,"Base","0819D",0,108321
"98",2014,2013,"Base","0833D",0,0
"99",2014,2013,"Base","0838D",0,0
"100",2014,2013,"Base","1106N",0,5576860
"101",2014,2013,"Base","1107N",0,273104
"102",2014,2013,"Base","1109N",0,0
"103",2014,2013,"Base","1319N",0,17848141
"104",2014,2013,"Base","1506N",0,0
"105",2014,2013,"Base","1507N",0,0
"106",2014,2013,"Base","1508N",0,0
"107",2014,2013,"Base","1611N",0,0
"108",2014,2013,"Base","1804N",0,38394135
"109",2014,2013,"Base","1806N",0,1313121
"110",2014,2013,"Base","1810N",0,0
"111",2014,2013,"Base","2020A",0,30745239
"112",2014,2013,"Base","2031A",0,0
"113",2014,2013,"Base","2032A",0,0
"114",2014,2013,"Base","2033A",0,0
"115",2014,2013,"Base","2034A",0,0
"116",2014,2013,"Base","2035A",0,0
