"ID","SourceFiscalYear","AccountDSI","TreasuryAgencyCode","MainAccountCode","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","BSA","BSA.Title","LineItem","LineItemTitle","CostType","CostTypeTitle","AddOrNonAdd","Classified","Category","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","QuantPBtotal","QuantPBtype","QuantEnactedTotal","QuantEnactedType","QuantSpecialTotal","QuantActualTotal"
,2011,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","1  ","10",,"8485A11000","Joint Cargo Aircraft (JCA)","A","Weapon System Cost","Add","U",,2009,"Total",,,,,,261681,,,,,,7
,2011,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","2  ","10",,"9462A02700","C-12 CARGO AIRPLANE","A","Weapon System Cost","Add","U",,2009,"Total",,,,,,0,,,,,,0
,2011,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","3  ","10",,"9662A02005","AERIAL COMMON SENSOR (ACS) (MIP)","A","Weapon System Cost","Add","U",,2009,"Total",,,,,,0,,,,,,0
,2011,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","4  ","10",,"9670A00005","MQ-1 UAV","A","Weapon System Cost","Add","U",,2009,"Total",,,,,,0,,,,,,0
,2011,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","5  ","10",,"9675A00010","RQ-11 (RAVEN)","A","Weapon System Cost","Add","U",,2009,"Total",,,,,,0,,,,,,0
,2011,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","6  ","10",,"9680A00015"," BCT UNMANNED AERIAL VEH (UAVS) INCR 1","A","Weapon System Cost","Add","U",,2009,"Total",,,,,,0,,,,,,0
,2011,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","8  ","20",,"4742A05001","HELICOPTER, LIGHT UTILITY (LUH)","A","Weapon System Cost","Add","U",,2009,"Total",,,,,,276359,,,,,,44
,2011,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","9  ","20",,"5757A05111","Ah-64 Apache Block III","A","Weapon System Cost","Add","U",,2009,"Total",,,,,,0,,,,,,0
,2011,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","9  ","20",,"5757A05111","Ah-64 Apache Block III","B","Less: Advance Procurement (PY)","Add","U",,2009,"Total",,,,,,0,,,,,,0
,2011,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","10 ","20",,"5757A05111","Ah-64 Apache Block III","C","Advance Procurement (CY)","Add","U",,2009,"Total",,,,,,0,,,,,,0
,2011,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","11 ","20",,"6772AA0005","Uh-60 Blackhawk (MYP)","A","Weapon System Cost","Add","U",,2009,"Total",,,,,,1091504,,,,,,66
