"","SourceFiscalYear","AccountDSI","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype","SpecialTotal","SpecialType"
"1",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","U",2010,"Total",899844,NA,NA,NA,NA,NA,NA
"2",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","U",2010,"Total",93117,NA,NA,NA,NA,NA,NA
"3",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","U",2010,"Total",616524,NA,NA,NA,NA,NA,NA
"4",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","U",2010,"Total",663050,NA,NA,NA,NA,NA,NA
"5",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","U",2010,"Total",1103992,NA,NA,NA,NA,NA,NA
"6",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","U",2010,"Total",557380,NA,NA,NA,NA,NA,NA
"7",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","U",2010,"Total",2412740,NA,NA,NA,NA,NA,NA
"8",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","U",2010,"Total",622499,NA,NA,NA,NA,NA,NA
"9",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","U",2010,"Total",661421,NA,NA,NA,NA,NA,NA
"10",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","U",2010,"Total",9063707,NA,NA,NA,NA,NA,NA
