"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype","SpecialTotal","SpecialType"
"1",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","010","200","Prepositioned War Reserve Stocks","Y","U",2010,"Total",49891,NA,NA,NA,NA,NA,NA
"2",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","020","ES01","Prepositioned War Reserve Stocks","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"3",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","U",2010,"Total",954333,NA,NA,NA,NA,NA,NA
"4",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","U",2010,"Total",119702,NA,NA,NA,NA,NA,NA
"5",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","U",2010,"Total",29654,NA,NA,NA,NA,NA,NA
"6",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","Y","U",2010,"Total",1434,NA,NA,NA,NA,NA,NA
"7",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2010,"Total",96086,NA,NA,NA,NA,NA,NA
"8",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","060","0230","DoD Mobilization Alterations","Y","U",2010,"Total",63982,NA,NA,NA,NA,NA,NA
"9",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","070","0250","TAH Maintenance","Y","U",2010,"Total",37519,NA,NA,NA,NA,NA,NA
"10",2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","080","0300","Strategic Sealift Support","Y","U",2010,"Total",4780,NA,NA,NA,NA,NA,NA
"11",2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","090","0900","Research And Development","Y","U",2010,"Total",72773,NA,NA,NA,NA,NA,NA
"12",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","100","0500","Ready Reserve Force","Y","U",2010,"Total",274691,NA,NA,NA,NA,NA,NA
"13",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","110","0510","MARAD Ship Financing Guarantee Program","Y","U",2010,"Total",29914,NA,NA,NA,NA,NA,NA
"14",2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","120","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"15",2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","010","ES17","Fuel Costs","Y","U",2010,"Total",203544,NA,NA,NA,NA,NA,NA
"16",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","010","200","Transportation Fallen Heroes","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"17",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","020","210","Container Deconsolidation","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"18",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","030","220","War Reserve Material","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"19",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","040","ES17","Fuel Costs","Y","U",2010,"Total",926794,NA,NA,NA,NA,NA,NA
"20",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","010","110","Defense Coalition Support","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"21",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","020","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"22",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","020","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"23",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","010","ES08","Defense Logistics Agency (DLA)","Y","U",2010,"Total",56635,NA,NA,NA,NA,NA,NA
"24",2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"25",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","030","010","Supply Chain Management - Def","Y","U",2010,"Total",66757,NA,NA,NA,NA,NA,NA
"26",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","040","010","Energy Management - Def","Y","U",2010,"Total",384462,NA,NA,NA,NA,NA,NA
"27",2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","010","ES11","Working Capital Fund, DECA","Y","U",2010,"Total",1309836,NA,NA,NA,NA,NA,NA
"28",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA,NA,NA
"29",2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA,NA,NA
"30",2012,"by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA,NA,NA
"31",2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA,NA,NA
"32",2012,"level for each appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Total",NA,NA,NA,NA,NA,NA,NA
"33",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","010","200","Prepositioned War Reserve Stocks","Y","U",2011,"Base",NA,NA,54636,NA,NA,NA,NA
"34",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","020","ES01","Prepositioned War Reserve Stocks","Y","U",2011,"Base",NA,NA,0,NA,NA,NA,NA
"35",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","U",2011,"Base",NA,NA,0,NA,NA,NA,NA
"36",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","U",2011,"Base",NA,NA,380000,NA,NA,NA,NA
"37",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","U",2011,"Base",NA,NA,31202,NA,NA,NA,NA
"38",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","Y","U",2011,"Base",NA,NA,1463,NA,NA,NA,NA
