"","SourceFiscalYear","AccountDSI","AccountTitle","MilDeptDW","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","EnactedTotal","EnactedType","PBtotal","PBtype","SAG","SAG.Title","FiscalYear","BudgetSubActivityTitle","BudgetLineItem","ActualTotal"
"27",2012,"2020","Operation & Maintenance, Army","A","ARMY",3,"Training and Recruiting","Basic Skills And Advanced Training",270,NA,NA,NA,NA,"323","Professional Development Education",2010,"","",159623
"28",2012,"2020","Operation & Maintenance, Army","A","ARMY",3,"Training and Recruiting","Basic Skills And Advanced Training",280,NA,NA,NA,NA,"324","Training Support",2010,"","",688529
"29",2012,"2020","Operation & Maintenance, Army","A","ARMY",3,"Training and Recruiting","Recruiting And Other Training & Education",290,NA,NA,NA,NA,"331","Recruiting And Advertising",2010,"","",543335
"30",2012,"2020","Operation & Maintenance, Army","A","ARMY",3,"Training and Recruiting","Recruiting And Other Training & Education",300,NA,NA,NA,NA,"332","Examining",2010,"","",159283
"31",2012,"2020","Operation & Maintenance, Army","A","ARMY",3,"Training and Recruiting","Recruiting And Other Training & Education",310,NA,NA,NA,NA,"333","Off-Duty And Voluntary Education",2010,"","",240941
"32",2012,"2020","Operation & Maintenance, Army","A","ARMY",3,"Training and Recruiting","Recruiting And Other Training & Education",320,NA,NA,NA,NA,"334","Civilian Education And Training",2010,"","",213701
"33",2012,"2020","Operation & Maintenance, Army","A","ARMY",3,"Training and Recruiting","Recruiting And Other Training & Education",330,NA,NA,NA,NA,"335","Junior ROTC",2010,"","",148950
"34",2012,"2020","Operation & Maintenance, Army","A","ARMY",4,"Admin & Srvwide Activities","Security Programs",340,NA,NA,NA,NA,"411","Security Programs",2010,"","",2587944
"35",2012,"2020","Operation & Maintenance, Army","A","ARMY",4,"Admin & Srvwide Activities","Logistics Operations",350,NA,NA,NA,NA,"421","Servicewide Transportation",2010,"","",5244414
"36",2012,"2020","Operation & Maintenance, Army","A","ARMY",4,"Admin & Srvwide Activities","Logistics Operations",360,NA,NA,NA,NA,"422","Central Supply Activities",2010,"","",607942
"37",2012,"2020","Operation & Maintenance, Army","A","ARMY",4,"Admin & Srvwide Activities","Logistics Operations",370,NA,NA,NA,NA,"423","Logistic Support Activities",2010,"","",491071
"38",2012,"2020","Operation & Maintenance, Army","A","ARMY",4,"Admin & Srvwide Activities","Logistics Operations",380,NA,NA,NA,NA,"424","Ammunition Management",2010,"","",357840
"39",2012,"2020","Operation & Maintenance, Army","A","ARMY",4,"Admin & Srvwide Activities","Servicewide Support",390,NA,NA,NA,NA,"431","Administration",2010,"","",1160817
"40",2012,"2020","Operation & Maintenance, Army","A","ARMY",4,"Admin & Srvwide Activities","Servicewide Support",400,NA,NA,NA,NA,"432","Servicewide Communications",2010,"","",1410823
"41",2012,"2020","Operation & Maintenance, Army","A","ARMY",4,"Admin & Srvwide Activities","Servicewide Support",410,NA,NA,NA,NA,"433","Manpower Management",2010,"","",378584
"42",2012,"2020","Operation & Maintenance, Army","A","ARMY",4,"Admin & Srvwide Activities","Servicewide Support",420,NA,NA,NA,NA,"434","Other Personnel Support",2010,"","",291817
"43",2012,"2020","Operation & Maintenance, Army","A","ARMY",4,"Admin & Srvwide Activities","Servicewide Support",430,NA,NA,NA,NA,"435","Other Service Support",2010,"","",1832247
"44",2012,"2020","Operation & Maintenance, Army","A","ARMY",4,"Admin & Srvwide Activities","Servicewide Support",440,NA,NA,NA,NA,"436","Army Claims Activities",2010,"","",214062
"45",2012,"2020","Operation & Maintenance, Army","A","ARMY",4,"Admin & Srvwide Activities","Servicewide Support",450,NA,NA,NA,NA,"437","Real Estate Management",2010,"","",128393
"46",2012,"2020","Operation & Maintenance, Army","A","ARMY",4,"Admin & Srvwide Activities","Support Of Other Nations",460,NA,NA,NA,NA,"441","Support Of NATO Operations",2010,"","",425313
"47",2012,"2020","Operation & Maintenance, Army","A","ARMY",4,"Admin & Srvwide Activities","Support Of Other Nations",470,NA,NA,NA,NA,"442","Misc. Support Of Other Nations",2010,"","",14114
"48",2012,"2020","Operation & Maintenance, Army","A","ARMY",20,"Undistributed","Undistributed",480,NA,NA,NA,NA,"CR11","Adj to Match Continuing Resolution",2010,"","",0
"49",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",1,"Operating Forces","Land Forces",10,NA,NA,NA,NA,"111","Maneuver Units",2010,"","",1299
"50",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",1,"Operating Forces","Land Forces",20,NA,NA,NA,NA,"112","Modular Support Brigades",2010,"","",9771
"51",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",1,"Operating Forces","Land Forces",30,NA,NA,NA,NA,"113","Echelons Above Brigade",2010,"","",423447
"52",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",1,"Operating Forces","Land Forces",40,NA,NA,NA,NA,"114","Theater Level Assets",2010,"","",148435
"53",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",1,"Operating Forces","Land Forces",50,NA,NA,NA,NA,"115","Land Forces Operations Support",2010,"","",531960
"54",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",1,"Operating Forces","Land Forces",60,NA,NA,NA,NA,"116","Aviation Assets",2010,"","",60332
"55",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",1,"Operating Forces","Land Forces Readiness",70,NA,NA,NA,NA,"121","Force Readiness Operations Support",2010,"","",322755
"56",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",1,"Operating Forces","Land Forces Readiness",80,NA,NA,NA,NA,"122","Land Forces Systems Readiness",2010,"","",108480
"57",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",1,"Operating Forces","Land Forces Readiness",90,NA,NA,NA,NA,"123","Land Forces Depot Maintenance",2010,"","",122244
"58",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",1,"Operating Forces","Land Forces Readiness Support",100,NA,NA,NA,NA,"131","Base Operations Support",2010,"","",518822
"59",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",1,"Operating Forces","Land Forces Readiness Support",110,NA,NA,NA,NA,"132","Facilities Sustainment, Restoration, & Modernization",2010,"","",208285
"60",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",1,"Operating Forces","Land Forces Readiness Support",120,NA,NA,NA,NA,"135","Additional Activities",2010,"","",234316
"61",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",4,"Admin & Srvwd Activities","Logistics Operations",130,NA,NA,NA,NA,"421","Servicewide Transportation",2010,"","",9263
"62",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",4,"Admin & Srvwd Activities","Servicewide Support",140,NA,NA,NA,NA,"431","Administration",2010,"","",74943
