IsUndefinitizedAction,Customer,fiscal_year, obligatedamount , transactioncount , contactcount 
NULL,Defense,1987," (171,000)", 2 , 2 
NULL,Defense,1988," 7,652,670 ", 57 , 45 
NULL,Defense,1989," 1,636,683,946 "," 2,813 "," 2,006 "
NULL,Defense,1990," 120,350,129,405 "," 217,182 "," 98,811 "
NULL,Defense,1991," 136,154,193,844 "," 249,091 "," 104,038 "
NULL,Defense,1992," 123,406,660,550 "," 240,574 "," 96,456 "
NULL,Defense,1993," 121,373,382,142 "," 227,903 "," 91,540 "
NULL,Defense,1994," 117,161,902,725 "," 227,779 "," 87,998 "
NULL,Defense,1995," 116,592,014,868 "," 237,463 "," 87,813 "
NULL,Defense,1996," 118,448,779,098 "," 257,471 "," 95,181 "
NULL,Defense,1997," 115,982,151,879 "," 253,065 "," 95,163 "
NULL,Defense,1998," 116,965,882,167 "," 256,361 "," 91,278 "
NULL,Defense,1999," 122,185,036,488 "," 268,065 "," 91,762 "
NULL,Defense,2000," 5,769,539,650 "," 5,872 "," 3,473 "
NULL,Defense,2001," 1,898,189 ", 141 , 128 
NULL,Defense,2002," 28,102,108 ", 181 , 166 
NULL,Defense,2003," 2,240,293 ", 206 , 195 
NULL,Defense,2004, -   , 606 , 225 
NULL,Defense,2005," 24,589,913,294 "," 29,840 "," 18,662 "
NULL,Defense,2006," 43,920 ", 337 , 211 
NULL,Defense,2007," 11,724,286,700 "," 26,745 "," 17,409 "
NULL,Defense,2008," 11,189,763 "," 1,326 ", 795 
NULL,Defense,2009," 63,543,792 "," 3,682 "," 1,077 "
NULL,Defense,2010," 950,532,744 "," 6,042 "," 1,726 "
NULL,Defense,2011," 1,617,699,587 "," 4,942 "," 2,004 "
NULL,Defense,2012," 3,771,437,346 "," 7,195 "," 3,837 "
NULL,Defense,2013," 698,324,570 "," 8,264 "," 5,247 "
NULL,Defense,2014," 853,610,209 "," 17,011 "," 9,373 "
NULL,Defense,2015," 945,853,694 "," 22,316 "," 14,662 "
NULL,Defense,2016," 817,430,443 "," 31,775 "," 18,607 "
NULL,Defense,2017," 1,187,137,382 "," 64,964 "," 40,828 "
NULL,Defense,2018," 322,458,416 "," 3,736 "," 3,438 "
0,Defense,2000," 117,214,396,117 "," 313,206 "," 235,175 "
0,Defense,2001," 134,018,528,224 "," 340,614 "," 258,016 "
0,Defense,2002," 160,787,061,153 "," 494,080 "," 371,888 "
0,Defense,2003," 202,465,002,911 "," 618,567 "," 470,263 "
0,Defense,2004," 218,568,550,731 "," 744,870 "," 571,548 "
0,Defense,2005," 228,924,691,234 "," 1,378,789 "," 1,092,217 "
0,Defense,2006," 280,109,128,223 "," 1,348,637 "," 1,075,693 "
0,Defense,2007," 296,887,657,927 "," 1,425,837 "," 1,097,353 "
0,Defense,2008," 361,092,338,299 "," 1,571,740 "," 1,198,887 "
0,Defense,2009," 364,901,826,472 "," 1,489,361 "," 1,116,569 "
0,Defense,2010," 337,841,821,492 "," 1,520,813 "," 1,120,808 "
0,Defense,2011," 351,705,324,525 "," 1,509,131 "," 1,095,136 "
0,Defense,2012," 330,165,762,407 "," 1,420,838 "," 1,048,294 "
0,Defense,2013," 289,204,737,755 "," 1,291,257 "," 959,677 "
0,Defense,2014," 273,946,771,743 "," 1,312,108 "," 994,272 "
0,Defense,2015," 268,571,460,885 "," 3,167,897 "," 2,840,237 "
0,Defense,2016," 271,660,650,774 "," 3,613,470 "," 3,284,103 "
0,Defense,2017," 281,850,199,821 "," 3,573,573 "," 3,249,099 "
0,Defense,2018," 319,190,125,384 "," 4,199,016 "," 3,868,392 "
0,Defense,2019," 349,225,313,080 "," 4,297,385 "," 3,946,030 "
1,Defense,2000," 9,177,040,538 "," 1,136 ", 574 
1,Defense,2001," 9,944,427,503 "," 1,172 ", 541 
1,Defense,2002," 8,943,680,359 "," 1,449 ", 636 
1,Defense,2003," 9,064,114,009 "," 1,575 ", 636 
1,Defense,2004," 11,057,160,036 "," 1,956 ", 702 
1,Defense,2005," 11,989,917,373 "," 2,566 ", 867 
1,Defense,2006," 14,974,390,755 "," 3,203 "," 1,306 "
1,Defense,2007," 19,354,648,970 "," 7,755 "," 3,193 "
1,Defense,2008," 16,551,454,228 "," 9,889 "," 4,655 "
1,Defense,2009," 16,116,839,957 "," 12,932 "," 7,159 "
1,Defense,2010," 23,386,424,064 "," 22,653 "," 12,626 "
1,Defense,2011," 14,851,041,303 "," 16,183 "," 11,020 "
1,Defense,2012," 23,337,812,955 "," 14,775 "," 9,664 "
1,Defense,2013," 16,358,732,677 "," 12,345 "," 8,404 "
1,Defense,2014," 8,248,682,722 "," 10,882 "," 7,468 "
1,Defense,2015," 4,347,035,761 "," 2,486 "," 2,125 "
1,Defense,2016," 25,554,236,864 "," 16,098 "," 10,870 "
1,Defense,2017," 37,591,769,336 "," 18,136 "," 12,726 "
1,Defense,2018," 38,987,659,314 "," 23,875 "," 18,291 "
1,Defense,2019," 32,005,978,715 "," 22,309 "," 17,218 "
