"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivityTitle","BudgetLineItem","LineNumber","LineNumber","SAG","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"1",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Maneuver Units","010","010","111","Y","Y","U",2015,"Total",1238906,NA,NA,NA,NA
"2",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Modular Support Brigades","020","020","112","Y","Y","U",2015,"Total",61989,NA,NA,NA,NA
"3",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Echelons Above Brigade","030","030","113","Y","Y","U",2015,"Total",490788,NA,NA,NA,NA
"4",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Theater Level Assets","040","040","114","Y","Y","U",2015,"Total",2055110,NA,NA,NA,NA
"5",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Land Forces Operations Support","050","050","115","Y","Y","U",2015,"Total",1463038,NA,NA,NA,NA
"6",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Aviation Assets","060","060","116","Y","Y","U",2015,"Total",1355420,NA,NA,NA,NA
"7",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","Force Readiness Operations Support","070","070","121","Y","Y","U",2015,"Total",4920152,NA,NA,NA,NA
"8",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Systems Readiness","080","080","122","Y","Y","U",2015,"Total",576005,NA,NA,NA,NA
"9",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Depot Maintenance","090","090","123","Y","Y","U",2015,"Total",948392,NA,NA,NA,NA
"10",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Base Operations Support","100","100","131","Y","Y","U",2015,"Total",8003055,NA,NA,NA,NA
"11",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Facilities Sustainment, Restoration & Modernization","110","110","132","Y","Y","U",2015,"Total",2413286,NA,NA,NA,NA
"12",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Management and Operational Headquarters","120","120","133","Y","Y","U",2015,"Total",404186,NA,NA,NA,NA
"13",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Combatant Commanders Core Operations","130","130","134","Y","Y","U",2015,"Total",180229,NA,NA,NA,NA
"14",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Additional Activities","140","140","135","Y","Y","U",2015,"Total",7140690,NA,NA,NA,NA
"15",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Commanders Emergency Response Program","150","150","136","Y","Y","U",2015,"Total",3707,NA,NA,NA,NA
"16",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","RESET","160","160","137","Y","Y","U",2015,"Total",2550115,NA,NA,NA,NA
"17",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Combatant Commands Direct Mission Support","170","170","138","Y","Y","U",2015,"Total",428829,NA,NA,NA,NA
"18",2017,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","Strategic Mobility","180","180","211","Y","Y","U",2015,"Total",299873,NA,NA,NA,NA
"19",2017,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","Army Prepositioned Stocks","190","190","212","Y","Y","U",2015,"Total",213376,NA,NA,NA,NA
"20",2017,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","Industrial Preparedness","200","200","213","Y","Y","U",2015,"Total",86026,NA,NA,NA,NA
"21",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","Officer Acquisition","210","210","311","Y","Y","U",2015,"Total",127833,NA,NA,NA,NA
"22",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","Recruit Training","220","220","312","Y","Y","U",2015,"Total",40554,NA,NA,NA,NA
"23",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","One Station Unit Training","230","230","313","Y","Y","U",2015,"Total",40362,NA,NA,NA,NA
"24",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","Senior Reserve Officers Training Corps","240","240","314","Y","Y","U",2015,"Total",412849,NA,NA,NA,NA
"25",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Specialized Skill Training","250","250","321","Y","Y","U",2015,"Total",904019,NA,NA,NA,NA
"26",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Flight Training","260","260","322","Y","Y","U",2015,"Total",874712,NA,NA,NA,NA
"27",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Professional Development Education","270","270","323","Y","Y","U",2015,"Total",171503,NA,NA,NA,NA
"28",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Training Support","280","280","324","Y","Y","U",2015,"Total",595888,NA,NA,NA,NA
"29",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Recruiting and Advertising","290","290","331","Y","Y","U",2015,"Total",592456,NA,NA,NA,NA
"30",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Examining","300","300","332","Y","Y","U",2015,"Total",167136,NA,NA,NA,NA
"31",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Off-Duty and Voluntary Education","310","310","333","Y","Y","U",2015,"Total",202006,NA,NA,NA,NA
"32",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Civilian Education and Training","320","320","334","Y","Y","U",2015,"Total",143807,NA,NA,NA,NA
"33",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Junior Reserve Officer Training Corps","330","330","335","Y","Y","U",2015,"Total",175316,NA,NA,NA,NA
"34",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","Servicewide Transportation","350","350","421","Y","Y","U",2015,"Total",2160469,NA,NA,NA,NA
"35",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","Central Supply Activities","360","360","422","Y","Y","U",2015,"Total",695300,NA,NA,NA,NA
"36",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","Logistic Support Activities","370","370","423","Y","Y","U",2015,"Total",588302,NA,NA,NA,NA
"37",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","Ammunition Management","380","380","424","Y","Y","U",2015,"Total",466529,NA,NA,NA,NA
"38",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Administration","390","390","431","Y","Y","U",2015,"Total",469106,NA,NA,NA,NA
"39",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Servicewide Communications","400","400","432","Y","Y","U",2015,"Total",1728976,NA,NA,NA,NA
"40",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Manpower Management","410","410","433","Y","Y","U",2015,"Total",285598,NA,NA,NA,NA
"41",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Other Personnel Support","420","420","434","Y","Y","U",2015,"Total",430516,NA,NA,NA,NA
"42",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Other Service Support","430","430","435","Y","Y","U",2015,"Total",1161421,NA,NA,NA,NA
"43",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Army Claims Activities","440","440","436","Y","Y","U",2015,"Total",193978,NA,NA,NA,NA
"44",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Real Estate Management","450","450","437","Y","Y","U",2015,"Total",429127,NA,NA,NA,NA
"45",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Financial Management and Audit Readiness","460","460","438","Y","Y","U",2015,"Total",192351,NA,NA,NA,NA
"46",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support of Other Nations","International Military Headquarters","470","470","441","Y","Y","U",2015,"Total",432021,NA,NA,NA,NA
"47",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support of Other Nations","Misc. Support of Other Nations","480","480","442","Y","Y","U",2015,"Total",24375,NA,NA,NA,NA
"48",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Closed Account Adjustments","Closed Account Adjustments","490","490","451","Y","Y","U",2015,"Total",16298,NA,NA,NA,NA
"49",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Closed Account Adjustments","Foreign Currency Fluctuation","500","500","471","Y","Y","U",2015,"Total",-137147,NA,NA,NA,NA
"50",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Closed Account Adjustments","Defense Environmental Restoration Account (DERA)","510","510","493","Y","Y","U",2015,"Total",497999,NA,NA,NA,NA
"51",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Judgment Fund","Judgment Fund","520","520","461","Y","Y","U",2015,"Total",450,NA,NA,NA,NA
"52",2017,"2020A","Operation & Maintenance, Army","","04","Admin & Srvwide Activities","","Classified Programs","","","9999","Y","Y","U",2015,"Total",2278466,NA,NA,NA,NA
"53",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Modular Support Brigades","010","010","112","Y","Y","U",2015,"Total",13043,NA,NA,NA,NA
"54",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Echelons Above Brigade","020","020","113","Y","Y","U",2015,"Total",524796,NA,NA,NA,NA
"55",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Theater Level Assets","030","030","114","Y","Y","U",2015,"Total",102246,NA,NA,NA,NA
"56",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Land Forces Operations Support","040","040","115","Y","Y","U",2015,"Total",552230,NA,NA,NA,NA
"57",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Aviation Assets","050","050","116","Y","Y","U",2015,"Total",67712,NA,NA,NA,NA
"58",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","Force Readiness Operations Support","060","060","121","Y","Y","U",2015,"Total",329700,NA,NA,NA,NA
"59",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Systems Readiness","070","070","122","Y","Y","U",2015,"Total",78516,NA,NA,NA,NA
"60",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Depot Maintenance","080","080","123","Y","Y","U",2015,"Total",59447,NA,NA,NA,NA
"61",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","Base Operations Support","090","090","131","Y","Y","U",2015,"Total",537497,NA,NA,NA,NA
"62",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","Facilities Sustainment, Restoration & Modernization","100","100","132","Y","Y","U",2015,"Total",264123,NA,NA,NA,NA
"63",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","Management and Operational Headquarters","110","110","133","Y","Y","U",2015,"Total",46000,NA,NA,NA,NA
"64",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Logistics Operations","Servicewide Transportation","120","120","421","Y","Y","U",2015,"Total",10608,NA,NA,NA,NA
"65",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Administration","130","130","431","Y","Y","U",2015,"Total",20090,NA,NA,NA,NA
"66",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Servicewide Communications","140","140","432","Y","Y","U",2015,"Total",4190,NA,NA,NA,NA
"67",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Manpower Management","150","150","433","Y","Y","U",2015,"Total",15630,NA,NA,NA,NA
"68",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Recruiting and Advertising","160","160","434","Y","Y","U",2015,"Total",49909,NA,NA,NA,NA
"69",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Closed Account Adjustments","Closed Account Adjustments","170","170","451","Y","Y","U",2015,"Total",362,NA,NA,NA,NA
"70",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Maneuver Units","010","010","111","Y","Y","U",2015,"Total",725505,NA,NA,NA,NA
"71",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Modular Support Brigades","020","020","112","Y","Y","U",2015,"Total",141259,NA,NA,NA,NA
"72",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Echelons Above Brigade","030","030","113","Y","Y","U",2015,"Total",713810,NA,NA,NA,NA
"73",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Theater Level Assets","040","040","114","Y","Y","U",2015,"Total",94171,NA,NA,NA,NA
"74",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Land Forces Operations Support","050","050","115","Y","Y","U",2015,"Total",18924,NA,NA,NA,NA
"75",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Aviation Assets","060","060","116","Y","Y","U",2015,"Total",904114,NA,NA,NA,NA
