"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivityTitle","BudgetLineItem","LineNumber","LineNumber","SAG","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"12",2017,"493003F","Working Capital Fund, Air Force","AF","01","Transportation","Working Capital Fund","Fuel Costs","010","010","ES17","U",2015,"Total",7580,NA,NA,NA,NA
"13",2017,"493003F","Working Capital Fund, Air Force","AF","03","Supply Management","Working Capital Fund","Supplies and Materials","020","020","110","U",2015,"Total",61717,NA,NA,NA,NA
"14",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","06","Energy Management - Defense","Working Capital Fund Support","Energy Management - Def","010","010","010","U",2015,"Total",47000,NA,NA,NA,NA
"15",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","08","Supply Chain Management - Defense","Working Capital Fund Support","Supply Chain Management - Def","020","020","010","U",2015,"Total",83643,NA,NA,NA,NA
"16",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","Defense Logistics Agency (DLA)","030","030","ES08","U",2015,"Total",0,NA,NA,NA,NA
"17",2017,"493004D","Working Capital Fund, DECA","DECA","02","Commissary Operations","Working Capital Fund Support","Working Capital Fund, DECA","010","010","ES12","U",2015,"Total",1307269,NA,NA,NA,NA
"18",2017,"493001A","Working Capital Fund, Army","ARMY","01","Industrial Operations","Army Arsenals Initiative","Industrial Operations","010","010","100","U",2016,"Base",NA,NA,145000,NA,NA
"19",2017,"493001A","Working Capital Fund, Army","ARMY","04","Supply Management - Army","Army Supply Management","Supply Management - Army","020","020","400","U",2016,"Base",NA,NA,50432,NA,NA
"20",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","LMSR","010","010","0100","U",2016,"Base",NA,NA,0,NA,NA
"21",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","MPF MLP","020","020","0401","U",2016,"Base",NA,NA,0,NA,NA
"22",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","Post Delivery and Outfitting","030","030","5000","U",2016,"Base",NA,NA,15456,NA,NA
"23",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","National Def Sealift Vessel","040","040","0200","U",2016,"Base",NA,NA,0,NA,NA
"24",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","LG Med Spd Ro/Ro Maintenance","050","050","0220","U",2016,"Base",NA,NA,124493,NA,NA
"25",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","DoD Mobilization Alterations","060","060","0230","U",2016,"Base",NA,NA,8243,NA,NA
"26",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","TAH Maintenance","070","070","0250","U",2016,"Base",NA,NA,27784,NA,NA
"27",2017,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","Research And Development","080","080","0900","U",2016,"Base",NA,NA,25197,NA,NA
"28",2017,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Forces","Ready Reserve and Prepositioning Force","Ready Reserve Force","090","090","0500","U",2016,"Base",NA,NA,272991,NA,NA
"29",2017,"493003F","Working Capital Fund, Air Force","AF","01","Transportation","Working Capital Fund","Fuel Costs","010","010","ES17","U",2016,"Base",NA,NA,0,NA,NA
"30",2017,"493003F","Working Capital Fund, Air Force","AF","03","Supply Management","Working Capital Fund","Supplies and Materials","020","020","110","U",2016,"Base",NA,NA,62898,NA,NA
"31",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","06","Energy Management - Defense","Working Capital Fund Support","Energy Management - Def","010","010","010","U",2016,"Base",NA,NA,0,NA,NA
"32",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","08","Supply Chain Management - Defense","Working Capital Fund Support","Supply Chain Management - Def","020","020","010","U",2016,"Base",NA,NA,45084,NA,NA
"33",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","Defense Logistics Agency (DLA)","030","030","ES08","U",2016,"Base",NA,NA,0,NA,NA
"34",2017,"493004D","Working Capital Fund, DECA","DECA","02","Commissary Operations","Working Capital Fund Support","Working Capital Fund, DECA","010","010","ES12","U",2016,"Base",NA,NA,1435354,NA,NA
"35",2017,"493001A","Working Capital Fund, Army","ARMY","01","Industrial Operations","Army Arsenals Initiative","Industrial Operations","010","010","100","U",2016,"OCO",NA,NA,0,NA,NA
"36",2017,"493001A","Working Capital Fund, Army","ARMY","04","Supply Management - Army","Army Supply Management","Supply Management - Army","020","020","400","U",2016,"OCO",NA,NA,0,NA,NA
"37",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","LMSR","010","010","0100","U",2016,"OCO",NA,NA,0,NA,NA
"38",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","MPF MLP","020","020","0401","U",2016,"OCO",NA,NA,0,NA,NA
"39",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","Post Delivery and Outfitting","030","030","5000","U",2016,"OCO",NA,NA,0,NA,NA
"40",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","National Def Sealift Vessel","040","040","0200","U",2016,"OCO",NA,NA,0,NA,NA
"41",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","LG Med Spd Ro/Ro Maintenance","050","050","0220","U",2016,"OCO",NA,NA,0,NA,NA
"42",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","DoD Mobilization Alterations","060","060","0230","U",2016,"OCO",NA,NA,0,NA,NA
"43",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","TAH Maintenance","070","070","0250","U",2016,"OCO",NA,NA,0,NA,NA
"44",2017,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","Research And Development","080","080","0900","U",2016,"OCO",NA,NA,0,NA,NA
"45",2017,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Forces","Ready Reserve and Prepositioning Force","Ready Reserve Force","090","090","0500","U",2016,"OCO",NA,NA,0,NA,NA
"46",2017,"493003F","Working Capital Fund, Air Force","AF","01","Transportation","Working Capital Fund","Fuel Costs","010","010","ES17","U",2016,"OCO",NA,NA,2500,NA,NA
"47",2017,"493003F","Working Capital Fund, Air Force","AF","03","Supply Management","Working Capital Fund","Supplies and Materials","020","020","110","U",2016,"OCO",NA,NA,0,NA,NA
"48",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","06","Energy Management - Defense","Working Capital Fund Support","Energy Management - Def","010","010","010","U",2016,"OCO",NA,NA,47000,NA,NA
"49",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","08","Supply Chain Management - Defense","Working Capital Fund Support","Supply Chain Management - Def","020","020","010","U",2016,"OCO",NA,NA,39350,NA,NA
"50",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","Defense Logistics Agency (DLA)","030","030","ES08","U",2016,"OCO",NA,NA,0,NA,NA
"51",2017,"493004D","Working Capital Fund, DECA","DECA","02","Commissary Operations","Working Capital Fund Support","Working Capital Fund, DECA","010","010","ES12","U",2016,"OCO",NA,NA,0,NA,NA
"52",2017,"493001A","Working Capital Fund, Army","ARMY","01","Industrial Operations","Army Arsenals Initiative","Industrial Operations","010","010","100","U",2016,"Total",NA,145000,NA,NA,NA
"53",2017,"493001A","Working Capital Fund, Army","ARMY","04","Supply Management - Army","Army Supply Management","Supply Management - Army","020","020","400","U",2016,"Total",NA,50432,NA,NA,NA
"54",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","LMSR","010","010","0100","U",2016,"Total",NA,0,NA,NA,NA
"55",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","MPF MLP","020","020","0401","U",2016,"Total",NA,0,NA,NA,NA
"56",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","Post Delivery and Outfitting","030","030","5000","U",2016,"Total",NA,15456,NA,NA,NA
"57",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","National Def Sealift Vessel","040","040","0200","U",2016,"Total",NA,0,NA,NA,NA
"58",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","LG Med Spd Ro/Ro Maintenance","050","050","0220","U",2016,"Total",NA,124493,NA,NA,NA
"59",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","DoD Mobilization Alterations","060","060","0230","U",2016,"Total",NA,8243,NA,NA,NA
"60",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","TAH Maintenance","070","070","0250","U",2016,"Total",NA,27784,NA,NA,NA
"61",2017,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","Research And Development","080","080","0900","U",2016,"Total",NA,25197,NA,NA,NA
"62",2017,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Forces","Ready Reserve and Prepositioning Force","Ready Reserve Force","090","090","0500","U",2016,"Total",NA,272991,NA,NA,NA
"63",2017,"493003F","Working Capital Fund, Air Force","AF","01","Transportation","Working Capital Fund","Fuel Costs","010","010","ES17","U",2016,"Total",NA,2500,NA,NA,NA
"64",2017,"493003F","Working Capital Fund, Air Force","AF","03","Supply Management","Working Capital Fund","Supplies and Materials","020","020","110","U",2016,"Total",NA,62898,NA,NA,NA
"65",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","06","Energy Management - Defense","Working Capital Fund Support","Energy Management - Def","010","010","010","U",2016,"Total",NA,47000,NA,NA,NA
"66",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","08","Supply Chain Management - Defense","Working Capital Fund Support","Supply Chain Management - Def","020","020","010","U",2016,"Total",NA,84434,NA,NA,NA
"67",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","Defense Logistics Agency (DLA)","030","030","ES08","U",2016,"Total",NA,0,NA,NA,NA
"68",2017,"493004D","Working Capital Fund, DECA","DECA","02","Commissary Operations","Working Capital Fund Support","Working Capital Fund, DECA","010","010","ES12","U",2016,"Total",NA,1435354,NA,NA,NA
"69",2017,"493001A","Working Capital Fund, Army","ARMY","01","Industrial Operations","Army Arsenals Initiative","Industrial Operations","010","010","100","U",2017,"Base",NA,NA,NA,NA,0
"70",2017,"493001A","Working Capital Fund, Army","ARMY","04","Supply Management - Army","Army Supply Management","Supply Management - Army","020","020","400","U",2017,"Base",NA,NA,NA,NA,56469
"71",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","LMSR","010","010","0100","U",2017,"Base",NA,NA,NA,NA,0
"72",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","MPF MLP","020","020","0401","U",2017,"Base",NA,NA,NA,NA,0
"73",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","Post Delivery and Outfitting","030","030","5000","U",2017,"Base",NA,NA,NA,NA,0
"74",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","National Def Sealift Vessel","040","040","0200","U",2017,"Base",NA,NA,NA,NA,0
"75",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","LG Med Spd Ro/Ro Maintenance","050","050","0220","U",2017,"Base",NA,NA,NA,NA,0
"76",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","DoD Mobilization Alterations","060","060","0230","U",2017,"Base",NA,NA,NA,NA,0
"77",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","TAH Maintenance","070","070","0250","U",2017,"Base",NA,NA,NA,NA,0
"78",2017,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","Research And Development","080","080","0900","U",2017,"Base",NA,NA,NA,NA,0
"79",2017,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Forces","Ready Reserve and Prepositioning Force","Ready Reserve Force","090","090","0500","U",2017,"Base",NA,NA,NA,NA,0
"80",2017,"493003F","Working Capital Fund, Air Force","AF","01","Transportation","Working Capital Fund","Fuel Costs","010","010","ES17","U",2017,"Base",NA,NA,NA,NA,0
"81",2017,"493003F","Working Capital Fund, Air Force","AF","03","Supply Management","Working Capital Fund","Supplies and Materials","020","020","110","U",2017,"Base",NA,NA,NA,NA,63967
"82",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","06","Energy Management - Defense","Working Capital Fund Support","Energy Management - Def","010","010","010","U",2017,"Base",NA,NA,NA,NA,0
"83",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","08","Supply Chain Management - Defense","Working Capital Fund Support","Supply Chain Management - Def","020","020","010","U",2017,"Base",NA,NA,NA,NA,37132
"84",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","Defense Logistics Agency (DLA)","030","030","ES08","U",2017,"Base",NA,NA,NA,NA,0
"85",2017,"493004D","Working Capital Fund, DECA","DECA","02","Commissary Operations","Working Capital Fund Support","Working Capital Fund, DECA","010","010","ES12","U",2017,"Base",NA,NA,NA,NA,1214045
"86",2017,"493001A","Working Capital Fund, Army","ARMY","01","Industrial Operations","Army Arsenals Initiative","Industrial Operations","010","010","100","U",2017,"OCO",NA,NA,NA,NA,0
"87",2017,"493001A","Working Capital Fund, Army","ARMY","04","Supply Management - Army","Army Supply Management","Supply Management - Army","020","020","400","U",2017,"OCO",NA,NA,NA,NA,46833
"88",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","LMSR","010","010","0100","U",2017,"OCO",NA,NA,NA,NA,0
"89",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","MPF MLP","020","020","0401","U",2017,"OCO",NA,NA,NA,NA,0
"90",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","Post Delivery and Outfitting","030","030","5000","U",2017,"OCO",NA,NA,NA,NA,0
"91",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","National Def Sealift Vessel","040","040","0200","U",2017,"OCO",NA,NA,NA,NA,0
"92",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","LG Med Spd Ro/Ro Maintenance","050","050","0220","U",2017,"OCO",NA,NA,NA,NA,0
"93",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","DoD Mobilization Alterations","060","060","0230","U",2017,"OCO",NA,NA,NA,NA,0
"94",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","TAH Maintenance","070","070","0250","U",2017,"OCO",NA,NA,NA,NA,0
"95",2017,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","Research And Development","080","080","0900","U",2017,"OCO",NA,NA,NA,NA,0
"96",2017,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Forces","Ready Reserve and Prepositioning Force","Ready Reserve Force","090","090","0500","U",2017,"OCO",NA,NA,NA,NA,0
"97",2017,"493003F","Working Capital Fund, Air Force","AF","01","Transportation","Working Capital Fund","Fuel Costs","010","010","ES17","U",2017,"OCO",NA,NA,NA,NA,0
"98",2017,"493003F","Working Capital Fund, Air Force","AF","03","Supply Management","Working Capital Fund","Supplies and Materials","020","020","110","U",2017,"OCO",NA,NA,NA,NA,0
"99",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","06","Energy Management - Defense","Working Capital Fund Support","Energy Management - Def","010","010","010","U",2017,"OCO",NA,NA,NA,NA,0
"100",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","08","Supply Chain Management - Defense","Working Capital Fund Support","Supply Chain Management - Def","020","020","010","U",2017,"OCO",NA,NA,NA,NA,0
"101",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","Defense Logistics Agency (DLA)","030","030","ES08","U",2017,"OCO",NA,NA,NA,NA,93800
"102",2017,"493004D","Working Capital Fund, DECA","DECA","02","Commissary Operations","Working Capital Fund Support","Working Capital Fund, DECA","010","010","ES12","U",2017,"OCO",NA,NA,NA,NA,0
"103",2017,"493001A","Working Capital Fund, Army","ARMY","01","Industrial Operations","Army Arsenals Initiative","Industrial Operations","010","010","100","U",2017,"Total",NA,NA,NA,0,NA
"104",2017,"493001A","Working Capital Fund, Army","ARMY","04","Supply Management - Army","Army Supply Management","Supply Management - Army","020","020","400","U",2017,"Total",NA,NA,NA,103302,NA
"105",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","LMSR","010","010","0100","U",2017,"Total",NA,NA,NA,0,NA
"106",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","MPF MLP","020","020","0401","U",2017,"Total",NA,NA,NA,0,NA
"107",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","Post Delivery and Outfitting","030","030","5000","U",2017,"Total",NA,NA,NA,0,NA
"108",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","National Def Sealift Vessel","040","040","0200","U",2017,"Total",NA,NA,NA,0,NA
"109",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","LG Med Spd Ro/Ro Maintenance","050","050","0220","U",2017,"Total",NA,NA,NA,0,NA
"110",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","DoD Mobilization Alterations","060","060","0230","U",2017,"Total",NA,NA,NA,0,NA
"111",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","TAH Maintenance","070","070","0250","U",2017,"Total",NA,NA,NA,0,NA
"112",2017,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","Research And Development","080","080","0900","U",2017,"Total",NA,NA,NA,0,NA
"113",2017,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Forces","Ready Reserve and Prepositioning Force","Ready Reserve Force","090","090","0500","U",2017,"Total",NA,NA,NA,0,NA
"114",2017,"493003F","Working Capital Fund, Air Force","AF","01","Transportation","Working Capital Fund","Fuel Costs","010","010","ES17","U",2017,"Total",NA,NA,NA,0,NA
"115",2017,"493003F","Working Capital Fund, Air Force","AF","03","Supply Management","Working Capital Fund","Supplies and Materials","020","020","110","U",2017,"Total",NA,NA,NA,63967,NA
"116",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","06","Energy Management - Defense","Working Capital Fund Support","Energy Management - Def","010","010","010","U",2017,"Total",NA,NA,NA,0,NA
"117",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","08","Supply Chain Management - Defense","Working Capital Fund Support","Supply Chain Management - Def","020","020","010","U",2017,"Total",NA,NA,NA,37132,NA
"118",2017,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","Defense Logistics Agency (DLA)","030","030","ES08","U",2017,"Total",NA,NA,NA,93800,NA
"119",2017,"493004D","Working Capital Fund, DECA","DECA","02","Commissary Operations","Working Capital Fund Support","Working Capital Fund, DECA","010","010","ES12","U",2017,"Total",NA,NA,NA,1214045,NA
