"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivityTitle","BudgetLineItem","LineNumber","LineNumber","SAG","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"1",2017,"493001A","Working Capital Fund, Army","ARMY","01","Industrial Operations","Army Arsenals Initiative","Industrial Operations","010","010","100","U",2015,"Total",225000,NA,NA,NA,NA
"2",2017,"493001A","Working Capital Fund, Army","ARMY","04","Supply Management - Army","Army Supply Management","Supply Management - Army","020","020","400","U",2015,"Total",26495,NA,NA,NA,NA
"3",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","LMSR","010","010","0100","U",2015,"Total",1195,NA,NA,NA,NA
"4",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","MPF MLP","020","020","0401","U",2015,"Total",16083,NA,NA,NA,NA
"5",2017,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","Post Delivery and Outfitting","030","030","5000","U",2015,"Total",19899,NA,NA,NA,NA
"6",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","National Def Sealift Vessel","040","040","0200","U",2015,"Total",2443,NA,NA,NA,NA
"7",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","LG Med Spd Ro/Ro Maintenance","050","050","0220","U",2015,"Total",105880,NA,NA,NA,NA
"8",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","DoD Mobilization Alterations","060","060","0230","U",2015,"Total",21937,NA,NA,NA,NA
"9",2017,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","TAH Maintenance","070","070","0250","U",2015,"Total",27669,NA,NA,NA,NA
"10",2017,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","Research And Development","080","080","0900","U",2015,"Total",21620,NA,NA,NA,NA
"11",2017,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Forces","Ready Reserve and Prepositioning Force","Ready Reserve Force","090","090","0500","U",2015,"Total",291195,NA,NA,NA,NA
